room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,rating,reviewCount,isSuperHost,isVerified,yearHosting,SYSTEM_COOKING_BASICS,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_ELEVATOR,SYSTEM_BEACH,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_DRYER,SYSTEM_HAIRDRYER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_JACUZZI,SYSTEM_REFRIGERATOR,SYSTEM_POOL,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_VIEW_CITY,SYSTEM_LOCK_ON_DOOR,SYSTEM_LUGGAGE_DROP,SYSTEM_CALENDAR,SYSTEM_VIEW_OCEAN,SYSTEM_FIREPLACE,SYSTEM_GYM
827428411839388582,https://www.airbnb.com.vn/rooms/827428411839388582,Bạc Liêu,9,9.2940027,105.7215663,REGULAR,,Phòng đơn (2 giường),private_room,False,,/ đêm,397.779,₫397.779,2.0,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757083825832485181,https://www.airbnb.com.vn/rooms/757083825832485181,Côn Đảo,20,8.69791,106.61245,REGULAR,,Vườn của Kim,private_room,False,,/ đêm,540.000,₫540.000,2.0,True,True,True,True,True,,False,False,"4,83",12,False,True,4,True,False,,,,,,,,,,,,,,,,,,,,,
23837710,https://www.airbnb.com.vn/rooms/23837710,Thành phố Bạc Liêu,5,9.28628,105.72717,REGULAR,,Chung cư Vinh Friendly,private_room,False,,/ đêm,1.017,₫1.017.083,2.0,True,,True,True,True,,False,,"5,0",5,False,False,5,,False,True,,,,,,,,,,,,,,,,,,,,
598167601332844525,https://www.airbnb.com.vn/rooms/598167601332844525,Côn Đảo,5,8.70213,106.61554,REGULAR,,Cắm trại trên đảo Côn Đảo trong lều vải độc đáo!,private_room,False,,/ đêm,342.353,₫342.353,2.0,True,,True,,,,False,False,"4,63",8,,,,True,,,True,True,True,True,True,,,,,,,,,,,,,,,
48338629,https://www.airbnb.com.vn/rooms/48338629,Côn Đảo,9,8.6819,106.60411,REGULAR,,Sala Hotel ConDao - Phòng Deluxe Queen Bed F101,private_room,False,,/ đêm,516.805,₫516.805,2.0,True,True,True,True,,,False,False,"5,0",4,,,,True,,,,True,True,,,True,,,,,,,,,,,,,,
41414293,https://www.airbnb.com.vn/rooms/41414293,Côn Đảo,7,8.68827,106.60911,REGULAR,,Phòng đôi tại Khách sạn boutique,private_room,False,,/ đêm,627.647,₫627.647,2.0,True,,True,True,True,,False,False,"4,5",4,,,,True,,,,,,,,True,True,,,,,,,,,,,,,
28708759,https://www.airbnb.com.vn/rooms/28708759,Côn Đảo,29,8.68565,106.60207,REGULAR,,Phiên Khúc homestay,private_room,False,,/ đêm,787.412,₫787.412,4.0,True,True,True,,True,,False,False,"4,88",78,True,True,5,True,False,,,,,True,,,,True,,,,,,,,,,,,
28746531,https://www.airbnb.com.vn/rooms/28746531,Côn Đảo,30,8.69003,106.61012,REGULAR,,Phòng gia đình Phiên Khúc homestay,private_room,False,,/ đêm,771.436,₫771.436,4.0,True,True,True,,True,,False,False,"4,88",52,True,True,5,,False,,,True,,True,,,True,,,,,,,,,,,,,
49116964,https://www.airbnb.com.vn/rooms/49116964,Côn Đảo,30,8.67956,106.60344,REGULAR,,Phòng Deluxe nhìn ra núi,private_room,False,,/ đêm,1.097,₫1.097.392,10.0,True,True,,True,True,,False,False,"4,33",3,,,,,,True,,,,,,,True,,,,,,,,,,,,,
21916820,https://www.airbnb.com.vn/rooms/21916820,Thành phố Bạc Liêu,12,9.27391,105.72526,REGULAR,,The Estella 2 phòng ngủ Hoa Lư Tp. Bạc Liêu,entire_home,False,,/ đêm,2.890,₫2.890.727,6.0,True,,,True,True,,False,,,,,,,True,,True,,True,True,,,True,,,True,,,,,,,,,,,
