room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,isSuperHost,isVerified,reviewCount,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_WORKSPACE,SYSTEM_PETS,rating,SYSTEM_FIREPLACE,SYSTEM_HAIRDRYER,SYSTEM_POOL,SYSTEM_ELEVATOR,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_DRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_BREAKFAST,SYSTEM_REFRIGERATOR,SYSTEM_MICROWAVE,SYSTEM_SAUNA,SYSTEM_VIEW_MOUNTAIN,SYSTEM_JACUZZI,SYSTEM_VIEW_CITY,SYSTEM_BEACH,SYSTEM_EV_CHARGER,SYSTEM_VIEW_OCEAN,SYSTEM_LOCK_ON_DOOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_MAPS_RESORT,SYSTEM_BATHTUB,SYSTEM_CABLE,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_FIREPIT
849785178607694698,https://www.airbnb.com.vn/rooms/849785178607694698,Thành phố Bắc Ninh,5,21.17725,106.06244,REGULAR,,phòng khách sạn 1 giường ngủ,private_room,False,True,2,5,False,,/ đêm,368.600,₫368.600,2.0,True,True,True,True,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876019788582312659,https://www.airbnb.com.vn/rooms/876019788582312659,Thành phố Bắc Ninh,5,21.17795,106.06244,REGULAR,,Cho thuê phòng nghỉ,private_room,,,,,False,,/ đêm,285.294,₫285.294,2.0,True,True,True,True,True,,True,,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
574822534067855700,https://www.airbnb.com.vn/rooms/574822534067855700,Thành phố Bắc Ninh,6,21.17527,106.06927,REGULAR,,"Căn hộ trung tâm, đầy đủ tiện nghi tại Bắc Ninh",entire_home,,,6,,False,,/ đêm,912.942,₫912.942,3.0,True,True,,True,True,True,True,,False,,True,,"5,0",True,True,,,,,,,,,,,,,,,,,,,,,,,,
851106334205325202,https://www.airbnb.com.vn/rooms/851106334205325202,Thành phố Bắc Ninh,15,21.165190607087222,106.05180604547728,REGULAR,,Green Pearl  1Br gần Hello Hotel Bắc Ninh,entire_home,,,,,False,,/ đêm,1.141,₫1.141.177,2.0,True,True,True,True,True,True,True,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
853143422949988058,https://www.airbnb.com.vn/rooms/853143422949988058,Thành phố Bắc Ninh,16,21.16454,106.0509,REGULAR,,Căn hộ Green 1br BacNinh,entire_home,,,3,,False,,/ đêm,1.008,₫1.008.230,3.0,True,True,,True,True,True,,,False,,True,,"5,0",,,,True,True,True,,,,,,,,,,,,,,,,,,,,
23429534,https://www.airbnb.com.vn/rooms/23429534,Thành phố Bắc Ninh,13,21.17422,106.0587,REPRESENTATIVE,,(1.2) HanaApt&Hotel/STUDIO ẤM CÚNG *cặp đôi * TRUNG TÂM THÀNH PHỐ,hotel_room,,,6,,False,,/ đêm,600.000,₫600.000,2.0,True,True,True,True,True,True,,,,,True,,"4,67",,,,True,,,True,True,,,,,,,,,,,,,,,,,,
37954734,https://www.airbnb.com.vn/rooms/37954734,Thành phố Bắc Ninh,1,21.18082,106.06528,REGULAR,,Soo Business Hotel Bac Ninh,private_room,,,,,False,,/ đêm,684.705,₫684.705,2.0,,True,True,True,True,True,,,,,True,,,True,True,,True,,,,,True,,,,,,,,,,,,,,,,,
851106234518402632,https://www.airbnb.com.vn/rooms/851106234518402632,Thành phố Bắc Ninh,30,21.16749,106.05464,REGULAR,,Bắc Ninh - Căn hộ Green Pearl Bắc Ninh 2BR,entire_home,,,,,False,,/ đêm,,,4.0,True,True,,True,True,True,True,,,,True,,,,True,,,,,,,,True,True,,,,,,,,,,,,,,,
889430691231292008,https://www.airbnb.com.vn/rooms/889430691231292008,Thành phố Bắc Ninh,8,21.165433777793325,106.05145712252647,REGULAR,,Green Pearl Bắc Ninh Apartment 2 phòng ngủ,entire_home,,,,,False,,/ đêm,,,4.0,True,True,True,True,True,True,,,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29172819,https://www.airbnb.com.vn/rooms/29172819,Minh Phú,30,21.29407,105.7855,REGULAR,,Nhà Bên Rừng (U Lesa) - Nhà Quả Thông Lớn,entire_home,,,30,,False,,/ đêm,2.518,₫2.518.800,2.0,True,True,True,,,True,,,False,False,,,"4,67",,True,,,,True,,True,,True,,,,,,,,,,,,,,,,
