room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_FLOWER,SYSTEM_HAIRDRYER,SYSTEM_MICROWAVE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_COOKING_BASICS,SYSTEM_WORKSPACE,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_SURVEILLANCE,SYSTEM_LOCK_ON_DOOR,SYSTEM_BATHTUB,SYSTEM_VIEW_OCEAN,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_FIREPLACE,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_FIREPIT,SYSTEM_BEACH,SYSTEM_DRYER,SYSTEM_TOYS,SYSTEM_CALENDAR,SYSTEM_POOL,SYSTEM_ELEVATOR,SYSTEM_CRIB,SYSTEM_HIGH_CHAIR,SYSTEM_GYM
41649095,https://www.airbnb.com.vn/rooms/41649095,"4,81",Bến Tre,30,10.22042,106.38236,REGULAR,,Cabin tre - Ẩn đi Bungalow,private_room,32,False,True,3,False,,/ đêm,592.271,₫592.271,4,True,True,True,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
43991763,https://www.airbnb.com.vn/rooms/43991763,"4,72",thành phố Bến Tre,30,10.219841158169755,106.38292152037002,REGULAR,,Coco House - Hide Away Bungalow,entire_home,18,,,,False,,/ đêm,570.589,₫570.589,4,True,True,,,,,,False,False,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,
691103153906907763,https://www.airbnb.com.vn/rooms/691103153906907763,"5,0",thành phố Bến Tre,24,10.2666437,106.3395663,REGULAR,,Dreamy Room - Nhà Mơ Homestay Bến Tre,private_room,8,True,True,7,False,,/ đêm,456.471,₫456.471,2,True,True,,,,,,False,False,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,
37143357,https://www.airbnb.com.vn/rooms/37143357,"4,94",thành phố Bến Tre,30,10.2021,106.44456,REGULAR,,Nhà nông trại Coco Happy,private_room,34,True,True,7,False,,/ đêm,351.818,₫351.818,6,True,True,True,True,,,,False,False,True,True,,,,True,True,,,,,,,,,,,,,,,,,,,
561233330059512549,https://www.airbnb.com.vn/rooms/561233330059512549,"5,0",thành phố Bến Tre,30,10.20741,106.39396,REGULAR,,Innerzen Mekong Riverside homestay Ben Tre,entire_home,12,,,,False,,/ đêm,2.050,₫2.050.010,4,True,True,,True,,,,False,False,True,True,,,,,,,True,True,,,,,,,,,,,,,,,,
14887208,https://www.airbnb.com.vn/rooms/14887208,"4,86",tp. Bến Tre,30,10.2274,106.39228,REGULAR,,Ba Danh Home,private_room,46,True,True,7,False,,/ đêm,376.588,₫376.588,2,True,,True,,,,,False,,True,,,,,,True,,,,True,True,True,True,True,,,,,,,,,,,
833598761009394855,https://www.airbnb.com.vn/rooms/833598761009394855,,Bến Tre,30,10.220326999864543,106.38247281224903,REGULAR,,Studio Cabin với tầm nhìn ra vườn,entire_home,,,,,False,,/ đêm,456.471,₫456.471,2,True,True,True,True,,,,False,False,True,True,,,,True,,,True,,,,,,,,,,,,,,,,,
711997373283060824,https://www.airbnb.com.vn/rooms/711997373283060824,"4,8",thành phố Bến Tre,18,10.26102,106.35755,REGULAR,,Fantasy Room - Nhà Mơ Homestay Bến Tre,private_room,5,True,True,7,False,,/ đêm,776.000,₫776.000,4,True,True,,,,,,False,False,True,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,
712030629719224095,https://www.airbnb.com.vn/rooms/712030629719224095,,thành phố Bến Tre,24,10.26952,106.32378,REGULAR,,Nhà nguyên căn - Nhà Mơ Homestay Bến Tre,entire_home,,,,,False,,/ đêm,1.597,₫1.597.648,10,True,True,,True,,,,False,False,True,True,True,,,True,,True,,,,,,,,,,,,,,,,,,
38537162,https://www.airbnb.com.vn/rooms/38537162,"4,43",thành phố Bến Tre,30,10.22506,106.35054,REGULAR,,Sunny Bungalows-Bến Tre ven sông,entire_home,14,,,,False,,/ đêm,646.667,₫646.667,3,True,True,,True,,,,False,False,,,True,True,,,,,,,True,,,,,True,,,,,,,,,,
