room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_VIEW_CITY,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,price,price_full,SYSTEM_PETS,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_PATIO_BALCONY,SYSTEM_SURVEILLANCE,SYSTEM_FLOWER,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_DRYER,SYSTEM_MAPS_RESORT,SYSTEM_JACUZZI,SYSTEM_VIEW_MOUNTAIN,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_DESERT_CACTUS,SYSTEM_BOAT_SAIL,SYSTEM_GOLF,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_BATHTUB,SYSTEM_FIREPIT
643082349785920167,https://www.airbnb.com.vn/rooms/643082349785920167,"4,77",Thành phố Phan Thiết,22,10.93739332446553,108.18403702229261,REGULAR,,♪ Chang 's Happy Corner ツ WINDY SEAVIEW MUI NE ♪,entire_home,26,False,,/ đêm,4.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34431634,https://www.airbnb.com.vn/rooms/34431634,"4,88",Thành phố Phan Thiết,17,10.9527,108.24523,REGULAR,,"Coconut Garden Villa 4 người, Mũi Né",entire_home,64,False,,/ đêm,4.0,,,,,True,,True,True,False,,660.207,₫660.207,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
40096060,https://www.airbnb.com.vn/rooms/40096060,"4,71",Thành phố Phan Thiết,15,10.93672,108.18406,REGULAR,,Studio hoàn toàn mới 2 phút đi bộ ra bãi biển,entire_home,24,False,,/ đêm,4.0,,,,True,,,True,,False,False,349.412,₫349.412,,,True,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
34488940,https://www.airbnb.com.vn/rooms/34488940,"4,82",Thành phố Phan Thiết,18,10.95382,108.24631,REGULAR,,"Biệt thự vườn dừa Lotus, 2 phòng ngủ, 6 dân tộc",entire_home,84,False,,/ đêm,6.0,,,,,True,,True,True,False,,695.897,₫695.897,True,True,True,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,
825153283823854186,https://www.airbnb.com.vn/rooms/825153283823854186,"5,0",Thành phố Phan Thiết,16,10.93817,108.18261,REGULAR,,Góc sâu của Chang,entire_home,3,False,,/ đêm,2.0,,,True,True,True,True,True,True,False,,,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
33410002,https://www.airbnb.com.vn/rooms/33410002,"4,72",Thành phố Phan Thiết,21,10.95231,108.2524,REGULAR,,Phòng Ngân sách Đẹp | 05,private_room,58,False,,/ đêm,2.0,,,,True,True,,True,,False,False,295.565,₫295.565,,True,True,True,,,,True,,,True,,,,,,,,,,,,,,,,,,,
40576144,https://www.airbnb.com.vn/rooms/40576144,"4,88",Thành phố Phan Thiết,14,10.93818,108.12975,REGULAR,,"Phòng Décembre Han 1 - Một nơi ấm cúng gọi là ""Nhà""",private_room,16,False,,/ đêm,2.0,,,,True,True,,True,,False,False,308.118,₫308.118,,,,,,True,,,,,True,True,True,3,True,True,True,,,,,,,,,,,,,
27557358,https://www.airbnb.com.vn/rooms/27557358,"4,64",Thành phố Phan Thiết,9,10.95029,108.25849,REGULAR,,Sky Guest House (double),private_room,97,False,,/ đêm,2.0,,,,True,True,,True,True,False,,513.530,₫513.530,,True,True,True,,,,,,,,,,,,True,,True,,,,,,,,,,,,
17761007,https://www.airbnb.com.vn/rooms/17761007,"4,79",,23,10.93785,108.18061,REGULAR,,Căn hộ Ocean Vista - cách bãi biển 2 phút,entire_home,29,False,,/ đêm,2.0,,,True,True,True,,True,,,,975.648,₫975.648,,True,True,,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,
15388906,https://www.airbnb.com.vn/rooms/15388906,"4,79",tp. Phan Thiết,13,10.93776,108.29428,REGULAR,,Connect 2,hotel_room,206,False,,/ đêm,2.0,,,,True,True,,True,,False,False,,,,,True,True,True,,,,,,True,,,,,,,,True,,,,,,,,,,,
