room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,price,price_full,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_ELEVATOR,SYSTEM_SNOWFLAKE,SYSTEM_SMOKING_ALLOWED,SYSTEM_DRYER,SYSTEM_FIREPLACE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_BREAKFAST
572815675718835625,https://www.airbnb.com.vn/rooms/572815675718835625,Thành phố Cà Mau,8,9.26521,105.01465,REGULAR,,KDL Hoa Rừng U Minh - Farmstay,entire_home,False,,/ đêm,4,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,
22134951,https://www.airbnb.com.vn/rooms/22134951,Cà Mau,6,9.16202,105.20151,REGULAR,,Chung cư 168 Lê Thành Tân Tạo,entire_home,False,,/ đêm,5,,True,True,,True,True,,False,False,2.738,₫2.738.825,True,True,True,True,,,,,,,,,,
21261151,https://www.airbnb.com.vn/rooms/21261151,Thành phố Cà Mau,10,9.17462,105.1465,REGULAR,,Văn Phòng cho thuê LandMark Building Quận Tân Bình,entire_home,False,,/ đêm,2,,True,True,,True,True,,False,False,2.810,₫2.810.426,,,True,True,True,True,,,,,,,,
40697263,https://www.airbnb.com.vn/rooms/40697263,Thành phố Cà Mau,2,9.19867,105.1286,REGULAR,,Khách Sạn Hưng Phú,private_room,False,,/ đêm,16,,True,True,,True,,,False,False,268.177,₫268.177,,,True,True,,True,True,,,,,,,
44564382,https://www.airbnb.com.vn/rooms/44564382,Cà Mau,9,9.19025,105.21245,REGULAR,,Chỗ ở đã được cải tạo hoàn toàn.,entire_home,False,,/ đêm,2,,True,True,,True,True,,,,1.150,₫1.150.915,True,,True,True,,True,,True,True,,,,,
22051929,https://www.airbnb.com.vn/rooms/22051929,Cà Mau,6,9.18571,105.16686,REGULAR,,Cho Thue Can Ho Cao Cap Hung Phat,entire_home,False,,/ đêm,4,,True,True,,True,True,,False,False,2.810,₫2.810.426,,True,True,True,True,,,,,,,,,
21858093,https://www.airbnb.com.vn/rooms/21858093,Cà Mau,6,9.15067,105.19716,REGULAR,,CH gần sông CM,entire_home,False,,/ đêm,1,,True,True,,True,True,,False,False,2.810,₫2.810.426,,True,True,True,,,,True,,,,,,
21825719,https://www.airbnb.com.vn/rooms/21825719,Thành phố Cà Mau,6,9.17638,105.16487,REGULAR,,CHO THUÊ NHÀ LTK-CÀ MAU,entire_home,False,,/ đêm,1,,True,True,,True,,,False,False,2.810,₫2.810.419,,,True,,,,,True,,,,,,
34111269,https://www.airbnb.com.vn/rooms/34111269,Thành phố Cà Mau,10,9.18089,105.15431,REGULAR,,cho thue nha 82-97 bui thi truong ca mau,entire_home,False,,/ đêm,4,,True,True,,,True,,False,False,2.890,₫2.890.707,,True,True,True,,,,True,,,,,,
14443135,https://www.airbnb.com.vn/rooms/14443135,tp. Cà Mau,9,9.1792,105.15498,REGULAR,,Phòng VIP w Air-con trong Trung tâm thành phố,private_room,False,,/ đêm,2,,,True,,True,,,False,,570.589,₫570.589,,,True,,True,True,True,,,False,False,True,True,
21892645,https://www.airbnb.com.vn/rooms/21892645,Thành phố Cà Mau,6,9.17835,105.15594,REGULAR,,CHO THUÊ NHÀ TRUNG TÂM THD,entire_home,False,,/ đêm,4,,True,True,,True,,,False,False,1.418,₫1.418.599,True,,True,True,,,,,,,,,,
23847818,https://www.airbnb.com.vn/rooms/23847818,Thành phố Cà Mau,8,9.13543,105.18515,REGULAR,,"Nhà cửa Cà Mau đầy đủ tiện nghi, cửa sổ lớn chia sẻ",entire_home,False,,/ đêm,1,,,,,,,,False,False,635.686,₫635.686,,,,,,,,,,,,,,
23930090,https://www.airbnb.com.vn/rooms/23930090,Quách Phẩm Bắc,7,8.92489,105.09727,REGULAR,,Căn hộ Quách Phẩm Bắc 2BR cho thuê,entire_home,False,,/ đêm,4,,True,True,,,,,False,False,910.037,₫910.037,,,True,True,True,True,,True,,,,,,True
23783852,https://www.airbnb.com.vn/rooms/23783852,Thành phố Cà Mau,6,9.20092,105.12918,REGULAR,,Nhà Lý Trên Trung tâm Cà Mau chung nhà,entire_home,False,,/ đêm,1,,True,True,,True,,,False,False,1.980,₫1.980.690,,,True,True,,True,,,,,,,,
26145697,https://www.airbnb.com.vn/rooms/26145697,Thành phố Cà Mau,8,9.17607,105.16312,REGULAR,,Anh Thu Hotel,entire_home,False,,/ đêm,2,,True,True,,True,True,,,,1.893,₫1.893.968,,True,True,,True,True,,,,,,,True,True
24823266,https://www.airbnb.com.vn/rooms/24823266,Thành phố Cà Mau,9,9.17818,105.14808,REGULAR,,44 Apartment Ba Trieu hai Ba Trung 622,entire_home,False,,/ đêm,4,,True,True,,True,True,,False,False,401.475,₫401.475,,True,True,True,True,,,,,,,,,
14443661,https://www.airbnb.com.vn/rooms/14443661,tp. Cà Mau,9,9.17814,105.15465,REGULAR,,Phòng Superior w Aircon tại Trung tâm thành phố,private_room,False,,/ đêm,2,,,True,,,,,False,,399.412,₫399.412,,,True,,True,True,True,,,,,,True,
