room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_TV,SYSTEM_DRYER,SYSTEM_BATHTUB,isSuperHost,isVerified,yearHosting,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_ELEVATOR,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_PATIO_BALCONY,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_POOL,SYSTEM_CALENDAR,SYSTEM_SMOKING_ALLOWED,SYSTEM_EV_CHARGER,SYSTEM_REFRIGERATOR,SYSTEM_MICROWAVE,SYSTEM_BREAKFAST,SYSTEM_FIREPLACE
37904078,https://www.airbnb.com.vn/rooms/37904078,"4,65",,30,10.03242,105.78672,REGULAR,,Toàn bộ quê hương phải của Gi ngay trung tâm Cần Thơ,entire_home,81,False,,/ đêm,747.412,₫747.412,4.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,
809622572315695205,https://www.airbnb.com.vn/rooms/809622572315695205,"5,0",Ninh Kiều,29,10.02691,105.75125,REGULAR,,"Nhà 1 phòng ngủ, đủ tiện nghi, ở trung tâm 1",entire_home,6,False,,/ đêm,313.310,₫313.310,2.0,True,True,True,True,True,True,,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,
37536131,https://www.airbnb.com.vn/rooms/37536131,"4,77",Ninh Kiều,30,9.997529029846191,105.71212768554688,REGULAR,,SÂN NHÀ VEN SÔNG YÊN BÌNH SỐNG CÙNG GIA ĐÌNH BẢN XỨ Ở ĐỒNG BẰNG SÔNG CỬU LONG,private_room,53,False,,/ đêm,755.459,₫755.459,2.0,,True,,True,True,True,,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,
549371695289833319,https://www.airbnb.com.vn/rooms/549371695289833319,"4,97",Quận Ninh Kiều,30,10.02388,105.75005,REGULAR,,"Ngôi nhà có hoa, nắng đẹp, trung tâm Cần Thơ",entire_home,69,False,,/ đêm,,,4.0,True,True,True,True,True,,,,False,False,True,,,True,,,,,,,,,,,,,,,,,,,,
656121159551893877,https://www.airbnb.com.vn/rooms/656121159551893877,"4,57",Ninh Kiều,17,10.0151048,105.768827,REGULAR,,Nhà Hué,entire_home,14,False,,/ đêm,627.647,₫627.647,6.0,True,True,True,True,True,,True,,False,False,,,True,,True,,,,,,,,,,,,,,,,,,,
757564357671731414,https://www.airbnb.com.vn/rooms/757564357671731414,"4,89",Ninh Kiều,29,10.03655,105.7786,REGULAR,,Yluna - Boutiqulink_,private_room,9,False,,/ đêm,800.000,₫800.000,2.0,,True,,True,,,True,True,False,False,,,True,,True,False,True,6,True,False,,,,,,,,,,,,,,
720625376524611593,https://www.airbnb.com.vn/rooms/720625376524611593,"5,0",Ninh Kiều,7,10.03305,105.78108,REGULAR,,Studio giường đôi tối đa BR3,private_room,6,False,,/ đêm,610.073,₫610.073,2.0,True,True,True,True,,True,,True,False,False,,,True,,,,,,,,True,,,,,,,,,,,,,
890137604035653823,https://www.airbnb.com.vn/rooms/890137604035653823,,An Cư,13,10.03734,105.77769,REGULAR,,Phòng studio mới ngay trung tâm thành phố,private_room,,False,,/ đêm,,,2.0,True,True,,True,,True,True,,False,,,,True,True,,,,,,,True,True,,,,,,,,,,,,
42783602,https://www.airbnb.com.vn/rooms/42783602,"4,72",Ninh Kiều,6,10.03429,105.78658,REGULAR,,54 Homestay - 303- Bến Ninh Kiều,private_room,18,False,,/ đêm,399.412,₫399.412,2.0,True,True,,True,True,True,True,,False,False,,,True,True,,,,,,,,,,,,,,,,,,,,
39562634,https://www.airbnb.com.vn/rooms/39562634,"4,73",,30,10.02936,105.78856,REGULAR,,Chỗ Nghi - Hoa Anh Đào,private_room,11,False,,/ đêm,399.412,₫399.412,2.0,,True,True,True,,True,True,,False,False,,,True,True,,,,,,,,,True,,,,,,,,,,,
20076897,https://www.airbnb.com.vn/rooms/20076897,"4,87",Cần Thơ,14,10.021087348994083,105.78440237494077,REGULAR,,Ngoi Sao: Phòng ban công 01,private_room,126,False,,/ đêm,,,2.0,,True,True,True,,,True,True,False,False,True,,True,,,,,,,,,,,True,,,,,,,,,,
732130756520377074,https://www.airbnb.com.vn/rooms/732130756520377074,"4,89",Ninh Kiều,18,10.03272,105.78526,REGULAR,,Nhà và căn hộ Cần Thơ,entire_home,9,False,,/ đêm,1.597,₫1.597.648,6.0,True,True,True,True,,True,True,,False,False,,,True,,,,,,,,,,True,,,,,,,,,,,
42783076,https://www.airbnb.com.vn/rooms/42783076,"4,33",Ninh Kiều,7,10.03393,105.78495,REGULAR,,54 Homestay- 103 - Bến Ninh Kiều,private_room,3,False,,/ đêm,399.412,₫399.412,2.0,True,True,,True,True,True,True,,False,,,,True,True,,False,True,5,,,,,,,True,,,,,,,,,
800351906959345364,https://www.airbnb.com.vn/rooms/800351906959345364,"4,6",Ninh Kiều,30,10.03695,105.78356,REGULAR,,Nhà nguyên căn 3 phòng ngủ gần bến Ninh Kiều,entire_home,5,False,,/ đêm,,,4.0,True,True,True,True,True,,,True,False,False,,,True,,,,,,,,,,,,,True,,,,,,,,
870991244356110364,https://www.airbnb.com.vn/rooms/870991244356110364,,Ninh Kiều,11,10.01149,105.74604,REGULAR,,MIHA Stay,private_room,,False,,/ đêm,,,2.0,True,True,True,True,,,,True,False,False,,,,,,False,True,,True,,,,,,True,,True,,,,,,,
40958532,https://www.airbnb.com.vn/rooms/40958532,"4,78",Bình Thủy,30,10.04948,105.7509,REGULAR,,"NẮNG XANH 3* Không gian xanh với thiên nhiên, gần công viên",private_room,9,False,,/ đêm,,,2.0,True,True,,True,True,True,True,,False,False,,,,,,False,True,3,,,,,,True,True,,,,,,,,,
41049835,https://www.airbnb.com.vn/rooms/41049835,"4,68",Cần Thơ,30,10.03422,105.77692,REGULAR,,STUDIO TROPIC 2 CÓ BAN CÔNG SAU,private_room,22,False,,/ đêm,627.647,₫627.647,2.0,True,True,,,,True,True,,,,True,,True,,,,,,,,,,True,,,,,,,,,,,
800217004581782685,https://www.airbnb.com.vn/rooms/800217004581782685,,Ninh Kiều,30,10.0277343,105.7526036,REGULAR,,Nhà 2 phòng ngủ đủ tiện nghi ở trung tâm,entire_home,,False,,/ đêm,400.553,₫400.553,4.0,True,True,True,True,True,,,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,
890073816505618157,https://www.airbnb.com.vn/rooms/890073816505618157,,An Cư,15,10.03688,105.77904,REGULAR,,Studio có ban công sang trọng ngay trung tâm TP,private_room,,False,,/ đêm,,,2.0,True,True,,True,,,True,,False,,,,True,,,,,,,,,True,True,,,,,True,,,,,,
42783454,https://www.airbnb.com.vn/rooms/42783454,"5,0",Ninh Kiều,7,10.03206,105.78681,REGULAR,,54 Homestay-203- Bến Ninh Kiều,private_room,10,False,,/ đêm,399.412,₫399.412,2.0,True,True,,True,True,True,,,False,False,,,True,True,,False,True,5,,,,,,,True,,,,,,,,,
661326156547162108,https://www.airbnb.com.vn/rooms/661326156547162108,"5,0",Ninh Kiều,10,10.03204547100382,105.7803127169609,REGULAR,,MIDMOST Double Studio BR1- nhìn ra phố,private_room,10,False,,/ đêm,589.989,₫589.989,2.0,True,True,True,True,,True,True,True,,,,,True,,,,,,,,True,True,,,,,,,,,,,,
809619594399336680,https://www.airbnb.com.vn/rooms/809619594399336680,,Ninh Kiều,21,10.02792,105.75295,REGULAR,,"Nhà 1 phòng ngủ, đủ tiện nghi, tại trung tâm 2",entire_home,,False,,/ đêm,329.800,₫329.800,2.0,True,True,True,True,True,True,,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,
29355889,https://www.airbnb.com.vn/rooms/29355889,"4,5",Ninh Kiều,9,10.04668,105.78015,REGULAR,,001-08 homestay,private_room,4,False,,/ đêm,268.177,₫268.177,1.0,True,True,,True,,True,,,False,,,,,True,,,,,,,,,True,,,,,,True,,,,,
37093286,https://www.airbnb.com.vn/rooms/37093286,"4,81",Nhơn Nghĩa,30,9.9786,105.72303,REGULAR,,Mekong Daniel Resort,entire_home,43,False,,/ đêm,615.604,₫615.604,2.0,True,True,True,True,True,,,True,False,,True,True,True,,,,,,,,,,,,,,,,,,,,,
47735448,https://www.airbnb.com.vn/rooms/47735448,"4,33",Cái Răng,16,10.01128,105.79197,REGULAR,,COASTAL,private_room,3,False,,/ đêm,400.000,₫400.000,2.0,,True,,True,,,True,True,False,False,,,,,,False,True,6,,,,,True,,True,,,,,,,,,
838839402716643187,https://www.airbnb.com.vn/rooms/838839402716643187,,Ninh Kiều,8,10.03261,105.78502,REGULAR,,Phòng: cách cầu cảng NinhKieu 300 m,private_room,,False,,/ đêm,296.706,₫296.706,2.0,True,True,True,True,True,True,True,,False,False,,,,,,False,True,,,,,,,,True,,,,,,,,,
888313076424569428,https://www.airbnb.com.vn/rooms/888313076424569428,,Ninh Kiều,7,10.04124,105.78623,REGULAR,,Maison de Léa - Homestay & Coffee Can Tho 2,entire_home,,False,,/ đêm,,,10.0,True,True,,,,True,True,True,False,False,True,,,,,,,,,,,True,,True,,,,,,,,,,
29351234,https://www.airbnb.com.vn/rooms/29351234,"4,97",Cần Thơ,19,10.03969,105.77479,REGULAR,,Tổ Nhỏ - Thăm quan Cần Thơ! Đi với gia đình tôi,private_room,32,False,,/ đêm,407.400,₫407.400,2.0,True,True,,,,True,True,,False,False,,,True,True,,True,True,6,,False,,True,,,,,,,,,,,,
798851649177539600,https://www.airbnb.com.vn/rooms/798851649177539600,,An Hòa,10,10.044957,105.7645489,REGULAR,,"Căn hộ 70m2, 2 phòng ngủ",entire_home,,False,,/ đêm,1.175,₫1.175.412,8.0,True,True,,True,,True,True,,False,False,,,True,,,,,,,,,,,,,,,,,,,,,
45952010,https://www.airbnb.com.vn/rooms/45952010,"4,33",Phú Thứ,15,10.01473,105.78533,REGULAR,,202 - 09 Homestay - BigC Cần Thơ,private_room,3,False,,/ đêm,308.118,₫308.118,2.0,True,True,,True,True,True,True,,False,False,,,True,True,,,,,,,,,,,,,,,,,,,,
36711854,https://www.airbnb.com.vn/rooms/36711854,,Ninh Kiều,10,10.04624,105.77822,REGULAR,,302-08 Gia đình bản xứ,private_room,1,False,,/ đêm,365.177,₫365.177,2.0,True,True,,True,True,True,True,,False,,,,True,True,,False,True,5,,False,,,,,,,,,,,,,,
758562915126312392,https://www.airbnb.com.vn/rooms/758562915126312392,,,22,10.00143,105.71064,REGULAR,,Một nơi nhỏ có hoa để tạo ra không gian yên bình.,private_room,,False,,/ đêm,402.235,₫402.235,16.0,True,True,True,True,,,,True,False,False,True,,,,,False,True,,,False,,,,,,,,,,,,,,
814939546067911143,https://www.airbnb.com.vn/rooms/814939546067911143,,Ninh Kiều,20,10.0247,105.77149,REGULAR,,Cửa sổ tầng 28-3 của Spring House,private_room,,False,,/ đêm,,,1.0,True,True,True,True,,,,True,False,False,,,True,,,True,True,,,,,,,,True,True,,,,,,,,
37440015,https://www.airbnb.com.vn/rooms/37440015,"4,5",Ninh Kiều,25,10.0291,105.78653,REGULAR,,TẦNG LỬNG SEN,hotel_room,16,False,,/ đêm,627.000,₫627.000,3.0,,True,,,,,True,,False,False,,,True,,,,,,,,,,True,,,,,,,,,,,
792450878965585726,https://www.airbnb.com.vn/rooms/792450878965585726,"4,33",An Lạc,5,10.050755362822226,105.74874194838713,REGULAR,,Phòng màu xám có tầm nhìn ra vườn,private_room,3,False,,/ đêm,330.941,₫330.941,2.0,True,True,True,True,True,,,True,False,False,,,,,,False,True,3,,,,,,,True,,,,,True,,,,
782547733320215135,https://www.airbnb.com.vn/rooms/782547733320215135,"5,0",Ninh Kiều,13,10.006167950036534,105.73993105441332,REGULAR,,Phòng view phố,private_room,3,False,,/ đêm,359.308,₫359.308,2.0,True,True,True,True,,,,True,False,False,True,,,,,True,True,7,,,,,,,True,True,,,,,,,,
678676747044342505,https://www.airbnb.com.vn/rooms/678676747044342505,,Ninh Kiều,8,10.0448876,105.785795,REGULAR,,Nhà phố có cửa sổ 30m2 - Winter Spring homestay,private_room,,False,,/ đêm,470.165,₫470.165,3.0,True,True,,True,True,,,True,False,False,True,,True,,,False,True,,,,,,,,True,,,,,,,,,
32509259,https://www.airbnb.com.vn/rooms/32509259,"4,87",Ninh Kiều,13,10.03442,105.78478,REGULAR,,MIDMOST Boutique BR9 - 5 phút đi bộ đến Ninh Kiều Quay,private_room,30,False,,/ đêm,433.191,₫433.191,2.0,,True,True,True,,,True,,False,False,,,,,,,,,,,,,True,,,,,,,,True,True,,
890107105909549916,https://www.airbnb.com.vn/rooms/890107105909549916,,An Cư,13,10.03894,105.77785,REGULAR,,Studio ấm cúng ngay bến Ninh Kiều trung tâm TP,private_room,,False,,/ đêm,,,2.0,True,True,,True,,,True,,False,,,,True,,,,,,,,True,True,True,,,,,,,,True,,,
