room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_PETS,SYSTEM_DRYER,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_OCEAN,SYSTEM_VIEW_MOUNTAIN,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_FIREPIT,SYSTEM_ELEVATOR,SYSTEM_FIREPLACE,SYSTEM_EV_CHARGER,SYSTEM_VIEW_CITY,SYSTEM_SMOKING_ALLOWED,SYSTEM_GYM
616768571533462336,https://www.airbnb.com.vn/rooms/616768571533462336,"4,95",Buon Ma Thuot,20,12.62115,108.03159,REGULAR,,Garden Village Studio - Thành phố Buôn Ma Thuột,private_room,21,False,,/ đêm,688.942,₫688.942,2.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,
875492997575350723,https://www.airbnb.com.vn/rooms/875492997575350723,,Thành phố Buôn Ma Thuột,12,12.7041926,108.0577667,REGULAR,,Căn hộ trung tâm Buôn Ma Thuột,entire_home,,False,,/ đêm,,,4.0,,True,True,True,True,True,,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,
879152246707077363,https://www.airbnb.com.vn/rooms/879152246707077363,,Thành phố Buôn Ma Thuột,14,12.6776855,108.0406821,REGULAR,,CoCun Homestay/Handmade/Artwork (2beds),private_room,1,False,,/ đêm,,,4.0,,,True,,True,True,,,False,False,,,,False,True,4,True,True,True,,,,,,,,,,,,,,,
628573735722562002,https://www.airbnb.com.vn/rooms/628573735722562002,"5,0",Buon Ma Thuot,22,12.621814335433307,108.03239440654959,REGULAR,,Quang cảnh vườn Bungalow - Thành phố Buôn Ma Thuột,private_room,8,False,,/ đêm,1.033,₫1.033.063,4.0,True,True,True,True,True,True,True,,False,False,,,,True,True,11,True,,,,,,,,,,,,,,,,,
26927272,https://www.airbnb.com.vn/rooms/26927272,"4,91",Thành phố Buôn Ma Thuột,30,12.6755,108.00528,REGULAR,,Sống cùng gia đình bản xứ vui vẻ,private_room,22,False,,/ đêm,,,2.0,,True,True,True,,,,,,,True,True,,False,True,5,,True,,True,True,True,False,,,,,,,,,,,
48352833,https://www.airbnb.com.vn/rooms/48352833,"5,0",Thành phố Buôn Ma Thuột,20,12.7073,108.05398,REGULAR,,"Akiko House, nguyên căn",entire_home,16,False,,/ đêm,2.054,₫2.054.119,6.0,,True,True,,True,True,,,False,False,True,True,,,,,,True,,,True,,,,,,,,,,,,,
843192555568841496,https://www.airbnb.com.vn/rooms/843192555568841496,,Buon Ma Thuot,30,12.75453,108.04128,REGULAR,,"Ngôi nhà yên bình với| khu vườn lớn, lạch, rau trái cây",private_room,2,False,,/ đêm,,,3.0,True,True,True,True,,,,,False,False,,,True,False,True,4,True,,,,,,,True,,,,,,,,,,
730126354008158252,https://www.airbnb.com.vn/rooms/730126354008158252,,Thành phố Buôn Ma Thuột,30,12.746832144489412,108.01679994910955,REGULAR,,Biệt thự 3 phòng ngủ với tầm nhìn xanh tại Buôn Ma Thuột,entire_home,,False,,/ đêm,3.081,₫3.081.178,16.0,,True,True,True,True,,,,False,False,,,True,,,,,,,,,,,,True,True,True,,,,,,,
54188671,https://www.airbnb.com.vn/rooms/54188671,"5,0",Thành phố Buôn Ma Thuột,5,12.67625,108.04191,REGULAR,,Studio tối thiểu (3),private_room,3,False,,/ đêm,365.177,₫365.177,2.0,,True,True,True,True,True,,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,
30751251,https://www.airbnb.com.vn/rooms/30751251,"4,36",Thành phố Buôn Ma Thuột,7,12.69006,108.05605,REGULAR,,Nhà đô thị - Phòng 1,private_room,47,False,,/ đêm,318.388,₫318.388,2.0,,True,True,,True,True,,,False,False,,True,,False,True,5,,True,,True,,,False,,,,,,,,,,,
46812927,https://www.airbnb.com.vn/rooms/46812927,"4,71",Thành phố Buôn Ma Thuột,13,12.67486,108.02893,REGULAR,,Homestay Huyền Thoại KPan - đậm chất Tây Nguyên!,private_room,7,False,,/ đêm,535.327,₫535.327,2.0,,True,True,True,True,,,,False,False,True,,,False,False,2,,,,True,,,False,,,True,,,,,,,,
776265517514138201,https://www.airbnb.com.vn/rooms/776265517514138201,,Buon Ma Thuot,13,12.740907541777727,108.12287762761116,REGULAR,,Nhiên Garden,private_room,,False,,/ đêm,798.824,₫798.824,2.0,,,True,,True,,,,False,False,,,True,,,,,,,,,,,True,,,,True,,,,,,
