room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,isSuperHost,isVerified,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_COOKING_BASICS,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_DRYER,rating,reviewCount,price,price_full,SYSTEM_VIEW_MOUNTAIN,SYSTEM_VIEW_OCEAN,SYSTEM_SNOWFLAKE,yearHosting,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_BREAKFAST,SYSTEM_FIREPLACE,SYSTEM_POOL,SYSTEM_FIREPIT,SYSTEM_ELEVATOR,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_SMOKING_ALLOWED,SYSTEM_JACUZZI,SYSTEM_EV_CHARGER,SYSTEM_BATHTUB,SYSTEM_GYM,SYSTEM_CALENDAR,SYSTEM_REFRIGERATOR,SYSTEM_HIGH_CHAIR,SYSTEM_MAPS_RESORT,SYSTEM_SKI
871232370058455122,https://www.airbnb.com.vn/rooms/871232370058455122,Thành phố Hà Giang,16,22.805310379326716,104.97586907202212,REGULAR,,Studio near Ha Giang bus station,private_room,False,True,False,,/ đêm,2,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873443798559383667,https://www.airbnb.com.vn/rooms/873443798559383667,Thành phố Hà Giang,11,22.81605105027045,104.98064560845391,REGULAR,,Su's Villa Hà Giang -Phòng khép kín & bàn làm việc,private_room,,,False,,/ đêm,2,,,,True,True,True,,True,False,False,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
699209610856861453,https://www.airbnb.com.vn/rooms/699209610856861453,Thành phố Hà Giang,15,22.801844818518667,104.97945170849562,REGULAR,,có chỗ đỗ xe miễn phí,private_room,,,False,,/ đêm,4,,,,True,True,True,,True,False,,True,True,,,"5,0",9,429.083,₫429.083,True,True,True,,,,,,,,,,,,,,,,,,,,
784384469401827787,https://www.airbnb.com.vn/rooms/784384469401827787,Hà Giang,29,22.788039628922743,104.96635347604752,REGULAR,,Bungalow có thể nhìn thấy núi ven sông,entire_home,,,False,,/ đêm,4,,,,True,True,True,True,True,False,False,,,,,"5,0",6,914.071,₫914.071,True,True,,,,,,,,,,,,,,,,,,,,,
38360695,https://www.airbnb.com.vn/rooms/38360695,Thành phố Hà Giang,30,22.79305,104.97046,REGULAR,,Phòng đôi có thể nhìn thấy núi.,private_room,True,True,False,,/ đêm,2,,,True,True,,True,True,,False,False,True,,,,"4,93",57,299.623,₫299.623,True,True,,4,False,,,,,,,,,,,,,,,,,,
745183878225323211,https://www.airbnb.com.vn/rooms/745183878225323211,Hà Giang,16,22.78707,104.9674,REGULAR,,Bungalow được làm bằng gỗ với mái nhà lá cọ,private_room,,,False,,/ đêm,2,,,,True,True,True,True,True,False,False,True,,,,"4,88",8,513.883,₫513.883,True,True,,,,,,,,,,,,,,,,,,,,,
830389421412800870,https://www.airbnb.com.vn/rooms/830389421412800870,Thành phố Hà Giang,6,22.80148,104.9804,REGULAR,,phù hợp cho các cặp đôi,private_room,True,True,False,,/ đêm,2,True,,,True,True,True,,True,False,,True,True,,,,2,302.412,₫302.412,,,True,3,,True,,,,,,,,,,,,,,,,,
35472252,https://www.airbnb.com.vn/rooms/35472252,Thành phố Ha Giang,18,22.81521,104.989,REGULAR,,Khách sạn lịch sử Hà Giang - Phòng đôi III,hotel_room,,,False,,/ đêm,2,,,,True,,True,,,False,False,,True,,,"5,0",11,855.883,₫855.883,,,True,,,True,True,,,,,,,,,,,,,,,,
874145218482745655,https://www.airbnb.com.vn/rooms/874145218482745655,Thành phố Hà Giang,15,22.8160235,104.980426,REGULAR,,Su's Villa Hà Giang-Phòng gia đình có bồn tắm,private_room,,,False,,/ đêm,4,,,,True,True,True,,True,False,False,True,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
664715758050751420,https://www.airbnb.com.vn/rooms/664715758050751420,Thành phố Hà Giang,30,22.8188741,104.9797631,REGULAR,,căn hộ với view thành phố và các dãy núi tuyệt đẹp,entire_home,,,False,,/ đêm,6,,True,,True,True,True,True,True,False,,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
10810414,https://www.airbnb.com.vn/rooms/10810414,Lao cai ,30,22.371359,104.519012,REGULAR,,Quế EcoLodge bungalow 1,private_room,True,True,False,,/ đêm,2,,,True,True,True,True,,,False,False,True,,,,"4,97",69,913.907,₫913.907,True,True,,8,False,,,,,,,,,,,,,,,,,,
861877459282342495,https://www.airbnb.com.vn/rooms/861877459282342495,Thành phố Hà Giang,5,22.80527,104.97578,REGULAR,,bắc cường motorbikes& home stay,private_room,,,False,,/ đêm,6,,,,True,True,True,,True,False,False,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
38992463,https://www.airbnb.com.vn/rooms/38992463,Thành phố Hà Giang,8,22.8492041,105.0102914,REGULAR,,Bungalow thân thiện với thiên nhiên,private_room,,,False,,/ đêm,2,,,,True,True,True,,True,False,False,,True,True,,,,399.412,₫399.412,,,True,,,,,,,,,,,,,,,,,,,,
797435495843517772,https://www.airbnb.com.vn/rooms/797435495843517772,Thành phố Hà Giang,8,22.8336135,104.9879625,REGULAR,,Hà Giang BackPacker Hostel 1,private_room,,,False,,/ đêm,2,,,,True,True,True,,,,,True,True,True,True,,,268.177,₫268.177,,True,True,,,,,True,,,,,,,,,,,,,,,
47891668,https://www.airbnb.com.vn/rooms/47891668,Quản Bạ District,30,23.06809,105.02787,REGULAR,,Khu nghỉ dưỡng làng Hmong,private_room,,,False,,/ đêm,16,,,,True,True,True,,,False,,,True,,True,,,1.141,₫1.141.177,True,,True,,,True,,,True,,,,,,,,,,,,,,
772322069124479874,https://www.airbnb.com.vn/rooms/772322069124479874,Bản Luốc,30,22.6804399,104.6762738,REGULAR,,Nername Lashboard Retreat 5- bao gồm bữa sáng,private_room,False,True,False,,/ đêm,2,True,,,True,,True,,True,False,False,True,,,,,2,530.000,₫530.000,,,,4,,,,,,True,,,,,,,,,,,,,
741183471428820924,https://www.airbnb.com.vn/rooms/741183471428820924,Du Già,9,22.929858243892042,105.21509282290936,REGULAR,,Tom 's Du Già homestay - Bungalow view núi.,private_room,,,False,,/ đêm,2,,,,True,,True,True,True,False,False,,True,True,,,,741.765,₫741.765,,,True,,,,,,,True,,,,,,,,,,,,,
