room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_JACUZZI,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,price,price_full,SYSTEM_VIEW_OCEAN,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_SURVEILLANCE,SYSTEM_BEACH,SYSTEM_WORKSPACE,SYSTEM_ELEVATOR,isSuperHost,isVerified,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_LOCK_ON_DOOR,SYSTEM_GYM,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_FLOWER
41479051,https://www.airbnb.com.vn/rooms/41479051,Thành phố Hải Dương,7,20.93459,106.24952,REGULAR,,Hai Duong Local family,private_room,False,,/ đêm,2,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,
41599798,https://www.airbnb.com.vn/rooms/41599798,Thành phố Hải Dương,18,20.9483,106.33627,REGULAR,,Apartel Suite (2br) trung tâm thành phố Hải Dương,entire_home,False,,/ đêm,4,True,True,True,,,,,False,,2.236,₫2.236.707,True,True,True,True,True,True,,,,,,,,,,,,
883660885975858256,https://www.airbnb.com.vn/rooms/883660885975858256,Hạ Long,9,20.757873426440717,106.29306795640932,REGULAR,,Căn hộ 5* ALaCarte Hạ Long,entire_home,False,,/ đêm,2,True,True,True,True,,,,False,,,,,True,,True,True,,True,True,,,,,,,,,,
37029814,https://www.airbnb.com.vn/rooms/37029814,Thành phố Hải Dương,10,20.93325,106.3295,REGULAR,,59 Bach Dang Le Thanh Nghi cho thue,entire_home,False,,/ đêm,4,True,True,,True,,,,False,False,2.810,₫2.810.426,,True,True,True,True,,,,True,,,,,,,,,
33866066,https://www.airbnb.com.vn/rooms/33866066,Thành phố Hải Dương,10,20.9374,106.3175,REGULAR,,Cho thue nha 71 đỗ ngọc du hải dương,entire_home,False,,/ đêm,4,True,True,,,,True,,False,False,2.810,₫2.810.419,,True,True,True,True,,,,True,,,,,,,,,
18098177,https://www.airbnb.com.vn/rooms/18098177,Thành phố Hải Dương,13,20.93648,106.33801,REGULAR,,#HaiDương house LTV,entire_home,False,,/ đêm,3,True,True,,True,,True,,,,2.890,₫2.890.727,,,True,True,,,,,,,,,,,,,,
37437750,https://www.airbnb.com.vn/rooms/37437750,Thành phố Hải Dương,10,20.93532,106.32196,REGULAR,,239 Truong My P. Pham Ngu Lao P203,entire_home,False,,/ đêm,4,True,True,,True,,,,False,False,2.837,₫2.837.164,,True,True,True,True,,,,True,,,,,,,,,
19275851,https://www.airbnb.com.vn/rooms/19275851,Thành phố Hải Dương,6,20.94354,106.33415,REGULAR,,! HAI DUONG,private_room,False,,/ đêm,1,True,True,,,,True,,False,False,2.944,₫2.944.250,,True,True,True,True,,,,,False,False,False,,,,,,
800197228202769885,https://www.airbnb.com.vn/rooms/800197228202769885,Chí Linh,6,21.11347,106.30234,REGULAR,,Ngôi nhà yên tĩnh giữa thiên nhiên,entire_home,False,,/ đêm,4,True,True,,,,True,True,False,False,513.530,₫513.530,True,True,,True,,,,True,,,,,,,,,,
37028426,https://www.airbnb.com.vn/rooms/37028426,Thành phố Hải Dương,10,20.93689,106.29745,REGULAR,,364 Nguyen Luong Bang P.Thanh Trung cho thue,entire_home,False,,/ đêm,4,True,True,,True,,,,False,False,2.890,₫2.890.707,,True,True,True,True,,,,True,,,,,,,,,
27474249,https://www.airbnb.com.vn/rooms/27474249,Thành phố Hải Dương,5,20.94258,106.32407,REGULAR,,147 - 125 Căn hộ Hải Dương ban công riêng đầy nắng,entire_home,False,,/ đêm,3,True,True,True,True,True,True,,,,615.615,₫615.615,,True,,,True,,,,True,,,,,,,,,
40566706,https://www.airbnb.com.vn/rooms/40566706,Viet Hong,11,20.95554,106.4251,REGULAR,,Trải nghiệm xinh đẹp trong nhà nghỉ nông trại của chúng tôi,private_room,False,,/ đêm,2,True,True,,,,True,,False,False,684.706,₫684.706,,True,,True,True,,,True,,False,True,,True,,,,,
37439740,https://www.airbnb.com.vn/rooms/37439740,Thành phố Hải Dương,10,20.94223,106.32076,REGULAR,,Centrosa Tue Tinh P. Bình Hàn,entire_home,False,,/ đêm,4,True,True,,True,,,,False,False,2.837,₫2.837.164,,True,True,True,True,,,,True,,,,,,,,,
23440568,https://www.airbnb.com.vn/rooms/23440568,Thành phố Hải Dương,12,20.93154,106.30154,REGULAR,,"121 Tran Van Giap, Thanh Binh, Hai Duong",private_room,False,,/ đêm,6,True,True,,True,True,,,False,False,268.177,₫268.177,,True,,True,,,,,,False,False,False,,True,,,,
22087818,https://www.airbnb.com.vn/rooms/22087818,Hải Dương,7,20.94269,106.33395,REGULAR,,P 136 căn hộ Flora Fuji CH DT  56m² 136,private_room,False,,/ đêm,5,True,True,True,True,,,,,,2.738,₫2.738.825,,True,True,True,True,,,,True,False,False,False,,,,,,
