room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_VIEW_CITY,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_FIREPLACE,SYSTEM_LUGGAGE_DROP,SYSTEM_REFRIGERATOR,SYSTEM_FLOWER,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_POOL,SYSTEM_SMOKING_ALLOWED,SYSTEM_PIANO,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_CRIB,SYSTEM_HIGH_CHAIR,SYSTEM_BREAKFAST,SYSTEM_VIEW_MOUNTAIN,SYSTEM_CALENDAR,SYSTEM_BATHTUB
36722199,https://www.airbnb.com.vn/rooms/36722199,"4,76",Thanh Nhàn,14,21.00339,105.86218,REGULAR,,Ngôi nhà ấm cúng trong cửa sổ rộng ở giữa - Góc nhìn thoáng mát. R #302,private_room,42,True,True,4,False,,/ đêm,321.127,₫321.127,2.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
34636213,https://www.airbnb.com.vn/rooms/34636213,"4,78",,13,21.03259,105.80813,REGULAR,,"H251 * Căn hộ 1 giường * Giặt ủi, vệ sinh miễn phí * Phòng tập thể dục *Lotte",entire_home,51,,,,False,,/ đêm,470.973,₫470.973,2.0,,True,True,,True,True,,,,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,
34748111,https://www.airbnb.com.vn/rooms/34748111,"4,9",Ba Đình,18,21.04581,105.8106,REGULAR,,Studio đẹp gần Westlake và nhiều đường phố chính,entire_home,79,,,,False,,/ đêm,374.640,₫374.640,2.0,,True,True,True,True,,,,False,False,,,,True,,True,True,True,,,,,,,,,,,,,,,,,,
737539223434077240,https://www.airbnb.com.vn/rooms/737539223434077240,"4,83",Hoàn Kiếm,11,21.02093,105.85956,REGULAR,,Ánh sáng mặt trời tự nhiên ở Hoàn Kiếm,private_room,23,False,True,9,False,,/ đêm,441.436,₫441.436,2.0,True,True,True,True,True,True,,True,False,,,,,True,,,,,True,,,,,,,,,,,,,,,,,
33349086,https://www.airbnb.com.vn/rooms/33349086,"4,63",Đống Đa,30,21.02791,105.84065,REGULAR,,"Cửa sổ siêu mỏng, khá rộng rãi, thông thoáng, ánh sáng tự nhiên ,2.",private_room,97,False,True,5,False,,/ đêm,,,2.0,True,,True,,True,True,,True,False,False,True,,,True,,,,,,True,,,,,,,,,,,,,,,,
891673992976938536,https://www.airbnb.com.vn/rooms/891673992976938536,,Tây Hồ,23,21.06232,105.83261,REGULAR,,Vitamin Home~Beauty daisy room,private_room,,,,,False,,/ đêm,,,2.0,,True,True,True,True,True,,,False,False,,,,True,,,,,True,,,,,,,,,,,,,,,,,
661914022530614120,https://www.airbnb.com.vn/rooms/661914022530614120,"4,98",Đống Đa,13,21.02345,105.83146,REGULAR,,Yue 越 HOMESTAY #2 @yueviet,private_room,62,True,True,2,False,,/ đêm,444.623,₫444.623,2.0,True,,True,True,,True,,,False,,True,,,True,,,,True,True,,True,,,,,,,,,,,,,,,
732151647948523523,https://www.airbnb.com.vn/rooms/732151647948523523,"4,48",Hoàn Kiếm,28,21.021208,105.8473892,REGULAR,,VequeHomestay/Villa03/Trung tâm/Máy giặt miễn phí/Yên tĩnh,entire_home,58,,,,False,,/ đêm,294.378,₫294.378,2.0,,,True,,True,True,,True,False,False,,,,,,,,True,,,,,,,,,,,,,,,,,,
21817589,https://www.airbnb.com.vn/rooms/21817589,"4,94",,30,21.0229,105.82366,REGULAR,,House of an Architect (Green Room),private_room,32,,,,False,,/ đêm,374.655,₫374.655,2.0,,True,True,True,,True,,True,False,False,,,,True,,,,,,,True,True,,,,,,,,,,,,,,
891764502403241424,https://www.airbnb.com.vn/rooms/891764502403241424,,Tây Hồ,16,21.08309,105.81966,REGULAR,,Vitamin Home~nice room w/balcony,private_room,,,,,False,,/ đêm,,,2.0,,True,True,True,True,True,,,False,False,,,,True,,,,,True,,,,,,,,,,,,,,,,,
