room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_TV,SYSTEM_EV_CHARGER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_VIEW_CITY,SYSTEM_BREAKFAST,SYSTEM_FLOWER,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_POOL,SYSTEM_DRYER,SYSTEM_FIREPLACE,SYSTEM_FIREPIT,SYSTEM_LUGGAGE_DROP,SYSTEM_PATIO_BALCONY,SYSTEM_SMOKING_ALLOWED,SYSTEM_ELEVATOR,SYSTEM_GYM,SYSTEM_CALENDAR,SYSTEM_REFRIGERATOR,SYSTEM_HIGH_CHAIR,SYSTEM_MAPS_RESORT,SYSTEM_SKI,SYSTEM_BATHTUB
27097061,https://www.airbnb.com.vn/rooms/27097061,"4,96",Lâm Thượng,30,22.22182,104.67142,REGULAR,,Trang trại Xoi - Trang trại tại thung lũng Lâm Thương,private_room,25,False,,/ đêm,313.824,₫313.824,16,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784384469401827787,https://www.airbnb.com.vn/rooms/784384469401827787,"5,0",Hà Giang,29,22.788039628922743,104.96635347604752,REGULAR,,Bungalow có thể nhìn thấy núi ven sông,entire_home,6,False,,/ đêm,914.071,₫914.071,4,,True,True,True,,True,,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
890090580630118450,https://www.airbnb.com.vn/rooms/890090580630118450,,Thành phố Hà Giang,13,22.81572,104.98022,REGULAR,,Su's Villa Hà Giang- Phòng giường đôi với ban công,private_room,,False,,/ đêm,,,2,True,True,True,True,,,True,,False,False,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
699209610856861453,https://www.airbnb.com.vn/rooms/699209610856861453,"5,0",Thành phố Hà Giang,15,22.801844818518667,104.97945170849562,REGULAR,,có chỗ đỗ xe miễn phí,private_room,9,False,,/ đêm,429.083,₫429.083,4,True,True,True,True,,,True,,False,,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
830389421412800870,https://www.airbnb.com.vn/rooms/830389421412800870,,Thành phố Hà Giang,6,22.80148,104.9804,REGULAR,,phù hợp cho các cặp đôi,private_room,2,False,,/ đêm,302.412,₫302.412,2,True,True,True,True,,,True,,False,,,,True,,True,True,True,3,True,True,,,,,,,,,,,,,,,,,,,
745183878225323211,https://www.airbnb.com.vn/rooms/745183878225323211,"4,88",Hà Giang,16,22.78707,104.9674,REGULAR,,Bungalow được làm bằng gỗ với mái nhà lá cọ,private_room,8,False,,/ đêm,513.883,₫513.883,2,True,True,True,True,,True,,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
664715758050751420,https://www.airbnb.com.vn/rooms/664715758050751420,,Thành phố Hà Giang,30,22.8188741,104.9797631,REGULAR,,căn hộ với view thành phố và các dãy núi tuyệt đẹp,entire_home,,False,,/ đêm,,,6,True,True,True,True,,True,True,,False,,True,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
35472252,https://www.airbnb.com.vn/rooms/35472252,"5,0",Thành phố Ha Giang,18,22.81521,104.989,REGULAR,,Khách sạn lịch sử Hà Giang - Phòng đôi III,hotel_room,11,False,,/ đêm,855.883,₫855.883,2,,True,,True,,,True,,False,False,,,,,True,,,,,True,,True,,,,,,,,,,,,,,,,,
38360695,https://www.airbnb.com.vn/rooms/38360695,"4,93",Thành phố Hà Giang,30,22.79305,104.97046,REGULAR,,Phòng đôi có thể nhìn thấy núi.,private_room,57,False,,/ đêm,299.623,₫299.623,2,True,True,,True,,True,,,False,False,True,True,,,,True,True,4,,,,,True,False,,,,,,,,,,,,,,,
874145218482745655,https://www.airbnb.com.vn/rooms/874145218482745655,,Thành phố Hà Giang,15,22.8160235,104.980426,REGULAR,,Su's Villa Hà Giang-Phòng gia đình có bồn tắm,private_room,,False,,/ đêm,,,4,True,True,True,True,,,True,,False,False,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
861877459282342495,https://www.airbnb.com.vn/rooms/861877459282342495,,Thành phố Hà Giang,5,22.80527,104.97578,REGULAR,,bắc cường motorbikes& home stay,private_room,,False,,/ đêm,,,6,,True,True,True,,,,,False,False,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
47891668,https://www.airbnb.com.vn/rooms/47891668,,Quản Bạ District,30,23.06809,105.02787,REGULAR,,Khu nghỉ dưỡng làng Hmong,private_room,,False,,/ đêm,1.141,₫1.141.177,16,,True,True,True,,,True,,False,,True,,,,True,,,,,True,,,,,True,True,,,,,,,,,,,,,
797435495843517772,https://www.airbnb.com.vn/rooms/797435495843517772,,Thành phố Hà Giang,8,22.8336135,104.9879625,REGULAR,,Hà Giang BackPacker Hostel 1,private_room,,False,,/ đêm,268.177,₫268.177,2,True,True,True,True,,,True,,,,,True,,True,True,,,,,,,,,,,True,True,,,,,,,,,,,,
741183471428820924,https://www.airbnb.com.vn/rooms/741183471428820924,,Du Già,9,22.929858243892042,105.21509282290936,REGULAR,,Tom 's Du Già homestay - Bungalow view núi.,private_room,,False,,/ đêm,741.765,₫741.765,2,,True,,True,,True,True,,False,False,,,True,True,True,,,,,,,,,,,,,True,,,,,,,,,,,
10810414,https://www.airbnb.com.vn/rooms/10810414,"4,97",Lao cai ,30,22.371359,104.519012,REGULAR,,Quế EcoLodge bungalow 1,private_room,69,False,,/ đêm,913.907,₫913.907,2,True,True,True,True,,,,,False,False,True,True,,,,True,True,8,,,,,True,False,,,,,,,,,,,,,,,
38992463,https://www.airbnb.com.vn/rooms/38992463,,Thành phố Hà Giang,8,22.8492041,105.0102914,REGULAR,,Bungalow thân thiện với thiên nhiên,private_room,,False,,/ đêm,399.412,₫399.412,2,,True,True,True,,,True,,False,False,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
