room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_MOUNTAIN,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_PATIO_BALCONY,SYSTEM_JACUZZI,SYSTEM_BATHTUB,SYSTEM_LUGGAGE_DROP,rating,reviewCount,SYSTEM_VIEW_CITY,SYSTEM_HAIRDRYER,SYSTEM_FIREPIT,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_TOYS,SYSTEM_SAUNA,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_NO_LOCK_ON_DOOR,yearHosting,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_REFRIGERATOR,SYSTEM_BOAT_SAIL,SYSTEM_GYM,SYSTEM_HIGH_CHAIR,SYSTEM_MAPS_RESORT
645149499802719970,https://www.airbnb.com.vn/rooms/645149499802719970,Ba Vì,25,21.06501706176817,105.32847723955541,REGULAR,,14 Pax Les Bois Ba Vi 5-BR Villa by HoLo - LB V1,entire_home,False,,/ đêm,3.423,₫3.423.531,14.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887383475254131539,https://www.airbnb.com.vn/rooms/887383475254131539,Thành phố Hòa Bình,25,20.77844,105.30903,REGULAR,,Phòng Beauty 2 trong Bảo tàng Văn hoá Nghệ thuật,private_room,False,,/ đêm,,,2.0,True,,True,True,,True,True,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881318002247719409,https://www.airbnb.com.vn/rooms/881318002247719409,Quốc Oai,19,20.9391989318816,105.5087598413229,REGULAR,,Perfect stay for your business trip to Hanoi,entire_home,False,,/ đêm,,,5.0,True,True,True,True,True,True,,True,False,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
887437437276934323,https://www.airbnb.com.vn/rooms/887437437276934323,Thành phố Hòa Bình,24,20.77939,105.31082,REGULAR,,Beauty Family 4 trong Bảo tàng Văn hoá Nghệ thuật,private_room,False,,/ đêm,,,4.0,True,,True,True,,True,True,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725175851045352203,https://www.airbnb.com.vn/rooms/725175851045352203,Thành phố Hòa Bình,6,20.827466300224117,105.3368067635071,REGULAR,,"Căn hộ dịch vụ trung tâm thoải mái, rộng rãi.",entire_home,False,,/ đêm,798.824,₫798.824,4.0,,,True,True,True,True,,True,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
862011049633254372,https://www.airbnb.com.vn/rooms/862011049633254372,Thủy Xuân Tiên,27,20.88348,105.56402,REGULAR,,Farmstay có bể bơi/Bi-a/Netflix/Camping,entire_home,False,,/ đêm,2.860,₫2.860.272,10.0,,,True,True,True,True,True,,,,,True,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,
887410216449222893,https://www.airbnb.com.vn/rooms/887410216449222893,Ba Vì,19,21.10169,105.3418,REGULAR,,Mường Dy Villas-Ba Vì,entire_home,False,,/ đêm,,,8.0,,,True,True,True,True,True,,False,False,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
799681142273894223,https://www.airbnb.com.vn/rooms/799681142273894223,Hà Nội,10,21.08483,105.40365,REGULAR,,BIGMO - Luxury Pool View Yard Bungalow Bavi,private_room,False,,/ đêm,520.589,₫520.589,2.0,,True,True,True,True,True,True,,False,False,,,True,,,,True,,,"4,5",6,,,,,,,,,,,,,,,,,,,,
650425451200538810,https://www.airbnb.com.vn/rooms/650425451200538810,,19,21.0650529984523,105.32845249378013,REGULAR,,Les Bois Ba Vi Bungalows By HoLo - LB B1,private_room,False,,/ đêm,485.000,₫485.000,2.0,,,True,True,True,True,True,True,False,False,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
42822581,https://www.airbnb.com.vn/rooms/42822581,Ba Vì,25,21.03619956970215,105.42884826660156,REGULAR,,Mango - Nhà xoài - OKia Treehouse Ba Vi,private_room,False,,/ đêm,,,2.0,True,,True,True,True,True,True,,False,False,True,,,,,,True,,,"4,5",19,,,,,,,,,,,,,,,,,,,,
884349234503370147,https://www.airbnb.com.vn/rooms/884349234503370147,Ba Vì Mountain Range,10,21.05738,105.36691,REGULAR,,Phong cách Bắc bộ truyền thống,entire_home,False,,/ đêm,,,,True,,True,True,True,True,True,,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783533518066877600,https://www.airbnb.com.vn/rooms/783533518066877600,Thủy Xuân Tiên,14,20.881925240873283,105.56767134314677,REGULAR,,Veque Farm 07,entire_home,False,,/ đêm,3.100,₫3.100.056,10.0,,,True,True,,True,True,,False,False,,True,,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,
754722750112003875,https://www.airbnb.com.vn/rooms/754722750112003875,Thành phố Hòa Bình,27,20.77783,105.31073,REGULAR,,Nhà trên cây trong Bảo tàng Văn hoá nghệ thuật,entire_home,False,,/ đêm,,,2.0,,,True,True,,True,True,,False,False,True,,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,
777976833667540710,https://www.airbnb.com.vn/rooms/777976833667540710,Hoa Binh,7,20.82859,105.33973,REGULAR,,3cuhómlink_Hoabinh,shared_room,False,,/ đêm,269.318,₫269.318,1.0,,,True,True,True,True,,,False,False,,True,True,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
