room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_WORKSPACE,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_VIEW_CITY,SYSTEM_WASHER,SYSTEM_TOYS,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_ELEVATOR,SYSTEM_EV_CHARGER,SYSTEM_FIREPLACE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_REFRIGERATOR,SYSTEM_CALENDAR,SYSTEM_BATHTUB,SYSTEM_GOLF,SYSTEM_JACUZZI,SYSTEM_SMOKING_ALLOWED,SYSTEM_POOL,SYSTEM_VIEW_MOUNTAIN,SYSTEM_CRIB,SYSTEM_FIREPIT,SYSTEM_BEACH,SYSTEM_HIGH_CHAIR,SYSTEM_PIANO
41733222,https://www.airbnb.com.vn/rooms/41733222,"5,0",Thành phố Huế,22,16.45548,107.56757,REGULAR,,"[Nhỏ An]- Phòng tường kính, tầm nhìn ra vườn",private_room,11,True,True,3,False,,/ đêm,376.588,₫376.588,2,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41074940,https://www.airbnb.com.vn/rooms/41074940,"4,63",Thành phố Huế,21,16.45623,107.58112,REGULAR,,D HOUSE HUE_Room#M_City Center,private_room,48,,,,False,,/ đêm,374.726,₫374.726,2,,,True,,True,True,,,False,False,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
621260185529899376,https://www.airbnb.com.vn/rooms/621260185529899376,"4,89",Thành phố Huế,12,16.47201396010505,107.59657810192662,REGULAR,,Phòng LA - Phòng đôi (1 giường lớn),private_room,38,True,True,1,False,,/ đêm,342.353,₫342.353,2,True,True,,True,True,True,,,False,False,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
617754197012321072,https://www.airbnb.com.vn/rooms/617754197012321072,"4,86",Thành phố Huế,17,16.464954,107.595291,REGULAR,,Tùng Homestay - Double Bed Room in Huế Center,private_room,7,,,,False,,/ đêm,342.353,₫342.353,2,,,,True,True,True,True,True,False,,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,
34731440,https://www.airbnb.com.vn/rooms/34731440,"4,76",Hue,18,16.46519,107.59538,REGULAR,,Tùng Homestay - Phòng King Bed tại Trung tâm thành phố Huế.,private_room,38,True,True,4,False,,/ đêm,428.241,₫428.241,2,True,,,True,True,True,,True,,,True,True,True,,True,,,True,,,,,,,,,,,,,,,,,,,,
40903062,https://www.airbnb.com.vn/rooms/40903062,"4,75",Thành phố Huế,13,16.46376,107.5958,REGULAR,,"Jim 'sHouse, phòng trên tầng thượng ở Huế (1/3)",private_room,111,,,,False,,/ đêm,359.471,₫359.471,2,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,,,,,,,,,,,,,,,,,
27864493,https://www.airbnb.com.vn/rooms/27864493,"4,93",Thành phố Huế,30,16.48208,107.57494,REGULAR,,Lily Homestay #Ban công #tầm nhìn ra sông,private_room,143,True,True,5,False,,/ đêm,455.019,₫455.019,2,True,,True,,True,True,True,,False,False,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,
14867072,https://www.airbnb.com.vn/rooms/14867072,"4,95",tp. Huế,30,16.46745,107.56868,REGULAR,,Chỗ ở của Chi #1 - phòng riêng gần thành phố,private_room,139,True,True,7,False,,/ đêm,374.710,₫374.710,2,True,,,True,True,True,True,,False,False,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,
860380443172362593,https://www.airbnb.com.vn/rooms/860380443172362593,,Thành phố Huế,10,16.471075741979814,107.60745212994462,REGULAR,,SaLa House - Hue,private_room,,False,True,,False,,/ đêm,,,2,True,True,,True,True,True,True,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
42321775,https://www.airbnb.com.vn/rooms/42321775,"4,93",Thành phố Huế,11,16.46655,107.59813,REGULAR,,Jim 's House | 2 phòng ngủ |Citycenter *FREE_BFast,private_room,15,False,True,3,False,,/ đêm,,,2,True,,,True,True,True,,,False,False,True,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,
39440820,https://www.airbnb.com.vn/rooms/39440820,"4,65",Thành phố Huế,20,16.46305,107.59925,REGULAR,,Phòng đôi Daisy với tầm nhìn ra thành phố ở Huế,private_room,34,,,,False,,/ đêm,,,2,,,,,True,,True,,False,False,True,,True,True,True,,True,,True,,,,,,,,,,,,,,,,,,,
758561570383527786,https://www.airbnb.com.vn/rooms/758561570383527786,"4,88",Thành phố Huế,9,16.47146,107.59474,REGULAR,,Phòng RE - Phòng đôi (1 giường),private_room,17,True,True,1,False,,/ đêm,342.353,₫342.353,2,True,True,,True,True,,,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
27746645,https://www.airbnb.com.vn/rooms/27746645,"4,7",Thành phố Huế,30,16.46077,107.58951,REGULAR,,Nice Huế Hotel,hotel_room,134,,,,False,,/ đêm,,,2,,,,,True,True,,,,,,True,True,,,,True,,True,True,True,True,True,,,,,,,,,,,,,,,
32559358,https://www.airbnb.com.vn/rooms/32559358,"5,0",Thành phố Huế,16,16.47741,107.57969,REGULAR,,nhà a-mâze - phòng gác mái số 5,private_room,7,False,True,4,False,,/ đêm,321.187,₫321.187,1,,,,True,True,True,,,False,False,,,,,True,,,,,,,,,False,,,,,,,,,,,,,,
41941673,https://www.airbnb.com.vn/rooms/41941673,"5,0",Thành phố Huế,30,16.45983,107.6073,REGULAR,,Phòng màu đen trắng Biệt thự Starfruit,private_room,7,False,True,3,False,,/ đêm,456.471,₫456.471,2,True,True,,,True,True,,,,,,,True,,,,,,,True,,,,,True,,,,,,,,,,,,,
23756345,https://www.airbnb.com.vn/rooms/23756345,"4,42",Thành phố Huế,30,16.48643,107.58759,REGULAR,,Nhà Đinh,private_room,37,True,True,5,False,,/ đêm,428.233,₫428.233,13,,,,True,True,True,,,False,False,,True,True,,,,True,,True,,,,,False,,,,,,,,,,,,,,
760687166947035904,https://www.airbnb.com.vn/rooms/760687166947035904,,Thành phố Huế,7,16.47236283944658,107.5959022630316,REGULAR,,Phòng Deluxe 2 người,private_room,,False,True,,False,,/ đêm,,,2,True,,,True,True,True,,True,False,False,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,
34963500,https://www.airbnb.com.vn/rooms/34963500,"4,84",Thành phố Huế,22,16.47035,107.59638,REGULAR,,Sống cùng gia đình bản xứ - Phòng đôi cho 2 người,private_room,50,False,True,4,False,,/ đêm,381.410,₫381.410,2,,,,True,True,True,,,False,False,True,True,True,True,,,,,,,,,,False,,,,,,,,,,,,,,
