room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,rating,reviewCount,SYSTEM_BEACH,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_EV_CHARGER,SYSTEM_VIEW_CITY,SYSTEM_VIEW_OCEAN,SYSTEM_PETS,SYSTEM_SURVEILLANCE,price,price_full,SYSTEM_FLOWER,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_DRYER,SYSTEM_SAUNA,SYSTEM_GOLF,SYSTEM_MAPS_RESORT,SYSTEM_PATIO_BALCONY,SYSTEM_BATHTUB,SYSTEM_FIREPIT,SYSTEM_REFRIGERATOR,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_FIREPLACE,SYSTEM_SMOKING_ALLOWED,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_TOYS,SYSTEM_VIEW_MOUNTAIN,SYSTEM_MICROWAVE,SYSTEM_LUGGAGE_DROP,yearHosting,SYSTEM_GYM,SYSTEM_CALENDAR
889582788419879482,https://www.airbnb.com.vn/rooms/889582788419879482,Gia Lâm,19,20.99061,105.9427,REGULAR,,Vinhomes Ocean Park Apartment,entire_home,False,,/ đêm,3.0,True,True,True,True,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46782604,https://www.airbnb.com.vn/rooms/46782604,Đa Tốn,24,20.99196,105.94251,REGULAR,,# Căn hộ 2 pho ̀ ng ngu ̉ cao cấp # 5* S2 Vinhomes OceanPark,entire_home,False,,/ đêm,6.0,True,True,True,True,True,True,,,,,"4,52",44,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881117612742585384,https://www.airbnb.com.vn/rooms/881117612742585384,Đa Tốn,7,20.9948456,105.9398768,REGULAR,,Zozo House,entire_home,False,,/ đêm,4.0,True,True,True,True,,,,,,False,,,,True,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
34281404,https://www.airbnb.com.vn/rooms/34281404,Văn Giang,30,20.95992,105.93015,REGULAR,,Golf Lake View - Minimalist 1br Ecopark Homestay,entire_home,False,,/ đêm,4.0,True,True,,True,True,True,,,,False,"4,76",21,,True,,,True,True,,,688.942,₫688.942,True,,,,,,,,,,,,,,,,,,,,,,
687249949478299716,https://www.airbnb.com.vn/rooms/687249949478299716,Gia Lâm,28,21.0018281,105.943442,REGULAR,,1BR FL12th★Ruby★Vinhomes Ocean Park,entire_home,False,,/ đêm,2.0,True,True,True,,,,,,,False,"4,92",13,,True,,,True,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,
585130219538540407,https://www.airbnb.com.vn/rooms/585130219538540407,Kiêu Kỵ,30,20.993801,105.947136,REGULAR,,1BR FL09th★Ruby★Vinhomes Ocean Park,entire_home,False,,/ đêm,2.0,True,True,True,,True,,,,,False,"4,82",17,True,True,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
674605991282895727,https://www.airbnb.com.vn/rooms/674605991282895727,Đa Tốn,23,20.9911,105.94149,REGULAR,,# SALE # Căn hộ cao cấp 1BR # 5* S2 Vinhomes OceanPark,entire_home,False,,/ đêm,4.0,True,True,True,True,True,True,True,,,,"4,39",23,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609601959280646694,https://www.airbnb.com.vn/rooms/609601959280646694,Phụng Công,15,20.950365,105.933777,REGULAR,,"H2 Homestay - Ecopark Văn Giang, Hưng Yên",entire_home,False,,/ đêm,2.0,True,True,True,True,True,,True,True,,False,,,,True,,,,,,True,650.471,₫650.471,,,,,,,,,,,,,,,,,,,,,,,
701310866027186114,https://www.airbnb.com.vn/rooms/701310866027186114,Đa Tốn,28,20.9939937,105.9502063,REGULAR,,Titmit Studio-Căn hộ cao cấp VinhomesOceanPark,entire_home,False,,/ đêm,2.0,True,True,,,True,True,True,,,False,"4,91",11,,,True,,,,,,515.506,₫515.506,True,False,,,,,,,,,,,,,,,,,,,,,
862863475249590882,https://www.airbnb.com.vn/rooms/862863475249590882,Văn Giang,16,20.950968958028508,105.93725614249706,REGULAR,,Căn hộ xanh trong thành phố xanh,entire_home,False,,/ đêm,2.0,True,True,True,True,,True,True,True,,False,,,,,,,True,,,,653.210,₫653.210,True,,,,,,,,,,,,,,,,,,,,,,
