room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,isSuperHost,isVerified,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,price,price_full,SYSTEM_VIEW_OCEAN,SYSTEM_JACUZZI,rating,reviewCount,SYSTEM_PETS,SYSTEM_TV,SYSTEM_PATIO_BALCONY,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_SNOWFLAKE,SYSTEM_BREAKFAST,SYSTEM_WASHER,SYSTEM_SMOKING_ALLOWED,SYSTEM_HAIRDRYER,SYSTEM_DRYER,SYSTEM_POOL,SYSTEM_LUGGAGE_DROP,SYSTEM_CALENDAR,SYSTEM_FIREPIT,SYSTEM_REFRIGERATOR,SYSTEM_EV_CHARGER,SYSTEM_TOYS,SYSTEM_FIREPLACE,SYSTEM_VIEW_CITY,SYSTEM_ELEVATOR,SYSTEM_BATHTUB,SYSTEM_HIGH_CHAIR,SYSTEM_BEACH,SYSTEM_MAPS_RESORT,SYSTEM_GYM
818336731748382391,https://www.airbnb.com.vn/rooms/818336731748382391,Thành phố Kon Tum,11,14.34664,108.01378,REGULAR,,Yên Village - Stay in Village,private_room,False,True,False,,/ đêm,10.0,True,True,True,True,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890751328597253469,https://www.airbnb.com.vn/rooms/890751328597253469,Măng Đen,11,14.605923977511937,108.24288535863161,REGULAR,,"GlampRose Mang Den, cabin in forest",entire_home,,,False,,/ đêm,2.0,,True,,True,,True,True,,False,False,3.298,₫3.298.002,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27683878,https://www.airbnb.com.vn/rooms/27683878,Pleiku,30,13.987710942743098,108.04581963248005,REGULAR,,Nhà nghỉ nông trại hữu cơ XOM - Full House,entire_home,,,False,,/ đêm,6.0,True,,True,True,True,True,,,False,False,,,,,"4,93",30,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
32658180,https://www.airbnb.com.vn/rooms/32658180,Kon Tum,6,14.37904,108.02753,REGULAR,,Kontum Home Sweet Homestay - Double Room,private_room,False,False,False,,/ đêm,2.0,,,True,True,,True,,,False,False,271.558,₫271.558,,True,"4,86",7,,,True,4,True,True,True,,,,,,,,,,,,,,,,,,,
834673012123027892,https://www.airbnb.com.vn/rooms/834673012123027892,Tân Sơn,23,14.060085166471328,108.01857892423868,REGULAR,,Hồ Nhà Yên Retreat,entire_home,,,False,,/ đêm,6.0,,,True,True,True,True,True,,False,False,855.883,₫855.883,True,,"5,0",5,,,,,,True,,True,,,,,,,,,,,,,,,,,,
26682154,https://www.airbnb.com.vn/rooms/26682154,Thành phố Kon Tum,30,14.34107,107.98547,REGULAR,,Vườn nhà khách Vuon Thu,private_room,False,True,False,,/ đêm,12.0,,,,True,,True,,False,False,False,342.353,₫342.353,,,"5,0",18,True,True,,5,,True,,,True,,,,,,,,,,,,,,,,,
49203956,https://www.airbnb.com.vn/rooms/49203956,Kon Plông,23,14.59005,108.28248,REGULAR,,CozyPrivateBungalow for 2-HeniSi Homestay Mang Den,entire_home,,,False,,/ đêm,2.0,True,,True,True,,True,True,,False,False,707.530,₫707.530,,,"5,0",11,,,True,,,True,,,,True,,,,,,,,,,,,,,,,
47498003,https://www.airbnb.com.vn/rooms/47498003,Thành phố Pleiku,9,13.96417,108.01804,REGULAR,,Bungalow Sunflower Paksong Farmstay - Thành phố Pleiku,entire_home,,,False,,/ đêm,2.0,,,True,True,,True,,,False,False,669.159,₫669.159,,,"5,0",8,True,,True,,,True,,True,,,True,,,,,,,,,,,,,,,
855477955080346867,https://www.airbnb.com.vn/rooms/855477955080346867,Thành phố Pleiku,20,13.99039,108.00239,REGULAR,,Phòng trong hẻm ở trung tâm Pleiku có sân vườn 2,private_room,False,True,False,,/ đêm,2.0,True,,True,True,True,,,,False,False,,,,,,,,True,,,True,,,True,,,,,,,,,,,,,,,,,,
769846144886104832,https://www.airbnb.com.vn/rooms/769846144886104832,Thành phố Pleiku,13,14.04407232370744,108.01398681777168,REGULAR,,XOM House Biển Hồ - Phòng 1,private_room,True,True,False,,/ đêm,2.0,True,,True,True,True,True,,,False,,,,True,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,
50368154,https://www.airbnb.com.vn/rooms/50368154,Thành phố Pleiku,30,13.9568,108.05296,REGULAR,,Vườn hồ bơi và biệt thự,private_room,,,False,,/ đêm,8.0,True,True,True,True,True,True,True,,False,False,2.168,₫2.168.236,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
43037290,https://www.airbnb.com.vn/rooms/43037290,Thành phố Pleiku,17,13.97474,108.00019,REGULAR,,Central Home Homestay - 101,private_room,True,True,False,,/ đêm,2.0,,,True,True,True,True,,,False,False,321.187,₫321.187,True,,"4,9",10,True,True,,3,True,,,,,,,,,,,,,,,,,,,,,
647267415206777780,https://www.airbnb.com.vn/rooms/647267415206777780,Măng Đen,12,14.60759,108.24402,REGULAR,,GlampRose-Tent trong thiên nhiên bao gồm bữa tối BBQ cho 2 người,private_room,,,False,,/ đêm,2.0,,True,True,True,True,True,True,,False,False,2.031,₫2.031.295,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
767069391673180510,https://www.airbnb.com.vn/rooms/767069391673180510,Thành phố Pleiku,18,13.987709547771125,108.04579442204266,REPRESENTATIVE,,Nhà nghỉ nông trại hữu cơ XOM - Ký túc xá,shared_room,,,False,,/ đêm,1.0,,,,True,True,,,,False,False,,,,,"5,0",4,,True,True,,,,,,,True,,,True,True,,,,,,,,,,,,
879485125305637236,https://www.airbnb.com.vn/rooms/879485125305637236,Thành phố Pleiku,28,13.97197,108.05351,REGULAR,,Hanbi castle homestay,private_room,False,True,False,,/ đêm,2.0,,,True,True,,True,,,False,False,615.813,₫615.813,True,,,,,True,,,True,,,True,,,,True,,,,,,,,,,,,,,
884274937756972715,https://www.airbnb.com.vn/rooms/884274937756972715,Măng Đen,23,14.620660478008995,108.24587392239967,REGULAR,,Phòng nghỉ với view nhìn ra núi.,private_room,,,False,,/ đêm,2.0,,,,True,True,True,True,,False,False,1.084,₫1.084.118,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,
864003909269704868,https://www.airbnb.com.vn/rooms/864003909269704868,Kon Plông District,5,14.59418,108.24722,REGULAR,,Farmstay bên thung lũng mờ sương,private_room,False,False,False,,/ đêm,8.0,,,True,True,True,,,False,False,False,,,True,,,,True,,,,,,,True,,,,,,,True,,,,,,,,,,,
887492697441192712,https://www.airbnb.com.vn/rooms/887492697441192712,Chư Păh District,12,14.07906,107.99644,REGULAR,,Fresh and best tea hill view,private_room,,,False,,/ đêm,6.0,,,True,True,True,True,,,False,False,,,,,,,True,True,,,,,,True,True,,,,,,,,,,,,,,,,,
44789073,https://www.airbnb.com.vn/rooms/44789073,Thành phố Pleiku,30,13.987701843680487,108.04578830258065,REGULAR,,XOM Organic Farm Stay - Kitchen,entire_home,,,False,,/ đêm,6.0,,,,True,True,True,,,False,False,,,,,,,True,True,True,,,True,,,,,,,True,,,,,,,,,,,,,
768485238358724087,https://www.airbnb.com.vn/rooms/768485238358724087,Thành phố Pleiku,18,14.04481,108.01494,REGULAR,,XOM House Biển Hồ - Phòng 2,private_room,True,True,False,,/ đêm,2.0,True,,True,True,True,True,,,False,False,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
854891742952973347,https://www.airbnb.com.vn/rooms/854891742952973347,Thành phố Pleiku,22,13.9900081,108.0020866,REGULAR,,"Phòng riêng trong hẻm Pleiku hướng sân, vườn 1",private_room,False,True,False,,/ đêm,2.0,True,,True,True,,True,,,False,False,273.883,₫273.883,,,,,True,True,,,True,,,,,,,,,,,,,,,,,,,,,
866370322343476870,https://www.airbnb.com.vn/rooms/866370322343476870,Kon Plông,11,14.623698582578534,108.32355915289796,REGULAR,,Stay with Konke Ruong Farmstay,private_room,False,True,False,,/ đêm,,,,True,True,True,True,,False,False,False,,,,True,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,
855477965172862007,https://www.airbnb.com.vn/rooms/855477965172862007,Thành phố Pleiku,30,13.989550033308443,108.00215097301636,REGULAR,,Nhà 3PN ở hẻm có sân vườn khu trung tâm Pleiku,entire_home,,,False,,/ đêm,6.0,True,,True,True,,True,,,False,False,1.141,₫1.141.177,,,,,,True,,,,,,True,,,True,,,,,,,,,,,,,,,
49675762,https://www.airbnb.com.vn/rooms/49675762,Thành phố Pleiku,30,13.99389,108.0011,REPRESENTATIVE,,Bazan Home - Phòng Bungalow 1,private_room,,,False,,/ đêm,2.0,True,,,True,True,True,,,False,False,550.000,₫550.000,,,,,,True,True,,,True,,,,True,,,,,,,,,,,,,,,,
39060947,https://www.airbnb.com.vn/rooms/39060947,Thành phố Kon Tum,18,14.34348,108.03851,REGULAR,,Langho homestay kontum,private_room,False,False,False,,/ đêm,10.0,,,,True,,,,False,False,False,,,,,"4,75",4,True,,,4,,,,,True,,,,,,,,,,,,,,,,,
41460744,https://www.airbnb.com.vn/rooms/41460744,Kon Tum,22,14.35442,108.016,REGULAR,,Green Home,private_room,False,False,False,,/ đêm,2.0,,,True,True,True,True,,False,False,False,570.589,₫570.589,,,"5,0",3,,True,,3,,True,,True,,,,,,,,,,,,,,,,,,
866814303026644790,https://www.airbnb.com.vn/rooms/866814303026644790,Thành phố Pleiku,5,14.03327,108.00285,REGULAR,,Tiêu đề,private_room,False,True,False,,/ đêm,2.0,,,,True,True,True,True,,False,False,,,,,,,,True,,,True,True,,,,,,,,,True,,,,,,,,,,,
36415628,https://www.airbnb.com.vn/rooms/36415628,Đắk Blà,6,14.37985,108.02762,REGULAR,,Kontum Home Sweet Homestay - Ký túc xá,entire_home,,,False,,/ đêm,4.0,,,True,True,,True,,,False,False,399.412,₫399.412,,True,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,
694774815274705370,https://www.airbnb.com.vn/rooms/694774815274705370,Kon Plông,12,14.5925987,108.2946397,REGULAR,,"Cam House Măng Đen 
Có bếp và đầy đủ tiện nghi",entire_home,,,False,,/ đêm,4.0,,,True,True,True,True,True,,False,False,,,,True,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,
48908357,https://www.airbnb.com.vn/rooms/48908357,Thành phố Kon Tum,11,14.35402,108.01369,REGULAR,,Le Jardin Khu vườn giữa lòng TP Kon Tum,entire_home,,,False,,/ đêm,4.0,,,True,True,True,True,,,False,False,1.070,₫1.070.653,,,,,True,,True,,,,,True,,True,,,,,,,,,,,,,,,,
36485847,https://www.airbnb.com.vn/rooms/36485847,Thành phố Kon Tum,13,14.34818,108.03388,REGULAR,,Nhà đất gần sông nơi mát mẻ,private_room,False,False,False,,/ đêm,10.0,,,,True,,,,False,False,False,285.294,₫285.294,,,"5,0",3,True,,,4,,,,,True,,,,,,,,,,,,,,,,,
16865059,https://www.airbnb.com.vn/rooms/16865059,Thành phố Kon Tum,19,14.322,107.98838,REGULAR,,GIA ĐÌNH BẢN XỨ VIỆT NAM PHUOT,entire_home,,,False,,/ đêm,10.0,,,True,True,True,True,,,False,False,,,,,"4,67",6,True,True,,,,True,,,True,,,,,,,,,,,,,,,,,
47863253,https://www.airbnb.com.vn/rooms/47863253,Thành phố Kon Tum,10,14.35487,108.00057,REGULAR,,Biệt thự thân thiện giữa phố KonTum,private_room,False,True,False,,/ đêm,8.0,,,True,True,True,True,,False,,,469.384,₫469.384,,,,,,,,,,True,,True,,,,,True,,,,True,True,,,,,,,,
52688508,https://www.airbnb.com.vn/rooms/52688508,,24,14.58914,108.28104,REGULAR,,CozyPrivateBungalow for 4-HeniSi Homestay Mang Den,entire_home,,,False,,/ đêm,4.0,True,,True,True,,True,,,False,False,912.942,₫912.942,,,"4,67",3,,,True,,,True,,,,True,,,,,,True,,,,,,,,,,
54234788,https://www.airbnb.com.vn/rooms/54234788,Thành phố Kon Tum,5,14.35129,108.00496,REGULAR,,Căn hộ Deluxe 3 phòng ngủ,entire_home,,,False,,/ đêm,6.0,,,,True,True,True,True,,False,False,2.510,₫2.510.589,,,,,True,True,,,,True,,,,,,True,,,,,,,,,,,,,,
786837283099844891,https://www.airbnb.com.vn/rooms/786837283099844891,Thành phố Pleiku,14,13.974331809767108,108.01314992803344,REGULAR,,Pleiku Homestay - Phòng Dã Quỳ hướng vườn mát mẻ,private_room,,,False,,/ đêm,2.0,True,,True,True,,True,,,False,False,410.824,₫410.824,,,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,
45773300,https://www.airbnb.com.vn/rooms/45773300,Măng Đen,12,14.59387,108.31002,REGULAR,,Shabbat Home- view hồ Đăkke Măng đen và rừng thông,private_room,False,False,False,,/ đêm,16.0,,,True,True,,True,,False,False,False,456.471,₫456.471,,,,,True,,,,,,,,,True,,,,,,,,,True,,,,,,,
768619633937643554,https://www.airbnb.com.vn/rooms/768619633937643554,Thành phố Pleiku,11,14.043832813572584,108.01396324040583,REGULAR,,XOM House Biển Hồ - Phòng 3,private_room,True,True,False,,/ đêm,2.0,True,,True,True,True,True,,,False,False,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
872422487000841195,https://www.airbnb.com.vn/rooms/872422487000841195,Thành phố Pleiku,20,13.99084,108.00258,REGULAR,,"Phòng ở hẻm trung tâm Pleiku có sân, vườn 3",private_room,False,True,False,,/ đêm,2.0,True,,True,True,True,True,,,False,False,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,
43082610,https://www.airbnb.com.vn/rooms/43082610,Pleiku,7,14.00999,107.99388,REGULAR,,Central Home- 104 ( Homestay),private_room,True,True,False,,/ đêm,4.0,,,True,True,,True,,,False,False,455.019,₫455.019,,,,1,True,True,,3,True,,,True,,,,,,,,,,,,True,,,,,,
743943276156166462,https://www.airbnb.com.vn/rooms/743943276156166462,Thành phố Kon Tum,19,14.79858,108.28571,REGULAR,,Ylang Home Măng Đen,entire_home,,,False,,/ đêm,13.0,,,True,True,True,True,True,,False,False,2.111,₫2.111.177,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
35021214,https://www.airbnb.com.vn/rooms/35021214,Kon Plông,30,14.58289,108.27873,REGULAR,,LA MAISON HOMESTAY MANG DEN - ROOM 2,private_room,False,False,False,,/ đêm,2.0,True,,True,True,True,True,,False,False,False,513.530,₫513.530,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,,
694782262583373346,https://www.airbnb.com.vn/rooms/694782262583373346,Kon Plông,12,14.5925987,108.2946397,REGULAR,,Nhà tập thể 3 gường Dorm ở được 6 người,shared_room,,,False,,/ đêm,6.0,,,True,True,True,True,True,,False,False,1.369,₫1.369.412,,True,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,
786822480659306223,https://www.airbnb.com.vn/rooms/786822480659306223,Thành phố Pleiku,15,13.9750606,108.0143301,REGULAR,,"Pleiku Homestay - Phòng Thông Reo, có cây xanh",private_room,,,False,,/ đêm,2.0,True,,True,True,True,True,True,,False,False,455.330,₫455.330,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
52689218,https://www.airbnb.com.vn/rooms/52689218,Thành phố Kon Tum,17,14.59062,108.28216,REGULAR,,CozyPrivateContainer for 4-HeniSi Homestay MangDen,private_room,False,True,False,,/ đêm,4.0,,,True,True,,True,,False,False,False,798.824,₫798.824,,,,1,,,,2,,True,,,,True,,,,,,,,,,,,,,,,
806227337017578201,https://www.airbnb.com.vn/rooms/806227337017578201,Măng Đen,18,14.58365098052505,108.28004812790446,REGULAR,,Phòng đôi có tầm nhìn ra vườn,private_room,,,False,,/ đêm,2.0,,,True,True,,True,,,False,False,570.589,₫570.589,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,
785218059163995063,https://www.airbnb.com.vn/rooms/785218059163995063,Thành phố Pleiku,30,13.974375267739175,108.0131282576721,REGULAR,,"Pleiku Homestay - Phòng Biển Hồ 2 giường lớn,đẹp",private_room,,,False,,/ đêm,4.0,True,,True,True,True,True,,,False,False,639.059,₫639.059,,,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,
42651283,https://www.airbnb.com.vn/rooms/42651283,Thành phố Pleiku,26,13.98915,108.03194,REGULAR,,305 Phòng sang trọng với 1 giường  /trung tâm thành phố/ núi,private_room,,,False,,/ đêm,2.0,,,True,True,,True,,,False,False,268.177,₫268.177,,,,,,True,,,,True,,True,,True,True,,,,,,,,,,,,,,,
754536348090586974,https://www.airbnb.com.vn/rooms/754536348090586974,Kon Plông,29,14.58391,108.27956,REGULAR,,Phòng đơn có nhà vệ sinh chung,private_room,,,False,,/ đêm,1.0,,,True,True,True,,,,False,False,427.941,₫427.941,,,,,True,,,,,,,True,True,,True,,,,,,,,,,,,,,,
39060894,https://www.airbnb.com.vn/rooms/39060894,Thành phố Kon Tum,2,14.34351,108.03821,REGULAR,,Gia đình bản xứ Lang Ho kontum,private_room,False,False,False,,/ đêm,10.0,,,,True,,,,False,False,False,,,,,,,True,,,,,,,True,True,,,,,,,,,,,,,,,,,
869059425903917602,https://www.airbnb.com.vn/rooms/869059425903917602,Kon Plông,13,14.5944087,108.2954923,REGULAR,,phòng đôi (dorm) view săn mây cho 4 khách,shared_room,,,False,,/ đêm,4.0,,,,True,True,True,True,,False,False,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
54234505,https://www.airbnb.com.vn/rooms/54234505,Thành phố Kon Tum,5,14.35114,108.00688,REGULAR,,Phòng đôi tiêu chuẩn/ Standard,private_room,,,False,,/ đêm,2.0,,,,True,True,True,True,,False,False,570.589,₫570.589,,,,,True,True,,,,True,,,,,,True,,,,,,,,,,,,,,
