room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_PATIO_BALCONY,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,isSuperHost,isVerified,yearHosting,SYSTEM_VIEW_OCEAN,SYSTEM_TV,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_SAUNA,SYSTEM_WORKSPACE,SYSTEM_ELEVATOR,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_JACUZZI,SYSTEM_LUGGAGE_DROP,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_FIREPIT,SYSTEM_SMOKING_ALLOWED,SYSTEM_EV_CHARGER,SYSTEM_CALENDAR,SYSTEM_MAPS_RESORT,SYSTEM_MAPS_BAR,SYSTEM_BREAKFAST,SYSTEM_TOYS,SYSTEM_BATHTUB,SYSTEM_HIGH_CHAIR,SYSTEM_FIREPLACE,SYSTEM_MICROWAVE,SYSTEM_POOL
47161225,https://www.airbnb.com.vn/rooms/47161225,"4,92",Lộc Thắng,26,11.6023,107.83684,REGULAR,,Homestay ở Coffeefarm. Không gian độc đáo; nơi ở tuyệt đẹp.,entire_home,24,False,,/ đêm,1.145,₫1.145.118,4.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23345312,https://www.airbnb.com.vn/rooms/23345312,"4,97", Ham Da,23,11.94103,108.46641,REGULAR,,#ANNIEHOUSE | HƯỚNG NHÌN RA THUNG LŨNG TUYỆT VỜI!,private_room,182,False,,/ đêm,953.453,₫953.453,3.0,,True,True,True,True,,True,,,,True,True,5,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,
54375225,https://www.airbnb.com.vn/rooms/54375225,"5,0",Di Linh,30,11.65027,108.11511,REGULAR,,Hilltop Valley Bungalow Di Linh- Garden Hill,entire_home,8,False,,/ đêm,1.198,₫1.198.236,2.0,,True,True,True,True,,True,,False,False,,,,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,
872690979926115547,https://www.airbnb.com.vn/rooms/872690979926115547,,Thành phố Đà Lạt,18,11.9644123,108.4741514,REPRESENTATIVE,,Dalat Blanc 2 - Phòng đơn có cửa sổ,private_room,,False,,/ đêm,400.000,₫400.000,2.0,,,,True,True,,True,,,,,,,,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,
652491082809253424,https://www.airbnb.com.vn/rooms/652491082809253424,"5,0",thành phố Bảo Lộc,6,11.545270076484433,107.82928839577023,REGULAR,,The Hill Homestay,entire_home,4,False,,/ đêm,,,2.0,True,True,True,True,True,,,,False,False,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,
782074046647616667,https://www.airbnb.com.vn/rooms/782074046647616667,,thành phố Bảo Lộc,11,11.47868,107.73806,REGULAR,,Ozone Homes Bảo Lộc- Phòng đôi,private_room,2,False,,/ đêm,235.000,₫235.000,2.0,,,True,True,True,True,,,False,False,False,True,4,,True,True,,,True,,,,True,,,,,,,,,,,,,,,,,,
35096992,https://www.airbnb.com.vn/rooms/35096992,"4,91",Thành phố Đà Lạt,7,11.94118,108.42984,REGULAR,,Cảm giác như ở nhà - 1 giường,private_room,115,False,,/ đêm,456.471,₫456.471,2.0,,,True,True,True,True,,,False,False,False,True,4,,True,,,,,,True,True,True,,,,,,,,,,,,,,,,,,
667170542826473082,https://www.airbnb.com.vn/rooms/667170542826473082,"5,0",,30,11.790682491335858,108.19030601531267,REGULAR,,Nhà riêng,private_room,4,False,,/ đêm,,,2.0,True,,True,True,,True,True,True,False,False,True,True,1,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,
848243292132952685,https://www.airbnb.com.vn/rooms/848243292132952685,,Di Linh District,18,11.5899125,108.0115469,REGULAR,,không gian yên bình,entire_home,,False,,/ đêm,,,6.0,,,True,True,True,True,True,True,False,False,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,
801982043690332905,https://www.airbnb.com.vn/rooms/801982043690332905,"4,94",Thành phố Đà Lạt,24,11.94346,108.45003,REGULAR,,"Homey, modern 1BR apartment in quiet residence",private_room,16,False,,/ đêm,531.842,₫531.842,3.0,,,True,True,True,,,,False,False,True,True,3,True,True,,,,True,,,,True,True,,,,,,,,,,,,,,,,,
