room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,rating,reviewCount,SYSTEM_BEACH,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_TV,isSuperHost,isVerified,yearHosting,price,price_full,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_SNOWFLAKE,SYSTEM_PETS,SYSTEM_MAPS_RESORT,SYSTEM_VIEW_CITY,SYSTEM_ELEVATOR,SYSTEM_PATIO_BALCONY,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_DRYER,SYSTEM_FIREPLACE,SYSTEM_BATHTUB,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_SAUNA,SYSTEM_HIGH_CHAIR,SYSTEM_SMOKING_ALLOWED,SYSTEM_BREAKFAST,SYSTEM_FIREPIT,SYSTEM_REFRIGERATOR,SYSTEM_SKI,SYSTEM_BOAT_SAIL,SYSTEM_CRIB,SYSTEM_PACK_N_PLAY,SYSTEM_TOYS,SYSTEM_PIANO,SYSTEM_CALENDAR
863721333765655082,https://www.airbnb.com.vn/rooms/863721333765655082,Thành phố Phan Rang - Tháp Chàm,18,11.55149,108.99816,REGULAR,,Phan Rang - Les Quatre Chemins,entire_home,False,,/ đêm,3,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680214935901097885,https://www.airbnb.com.vn/rooms/680214935901097885,Cam Lam,23,12.031266941365113,109.21516096178675,REGULAR,,Biệt thự 3 phòng ngủ hồ bơi riêng Nha Trang,entire_home,False,,/ đêm,9,True,,True,True,True,True,,,False,,"4,62",13,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32427945,https://www.airbnb.com.vn/rooms/32427945,Cam Lâm,30,12.11952,109.1885,REGULAR,,"R#202-H2B Homestay 
Bãi Sau Bãi Sau",private_room,False,,/ đêm,2,True,,True,True,True,True,,True,False,,"4,9",10,True,,,,True,True,5,401.671,₫401.671,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
681739676720421586,https://www.airbnb.com.vn/rooms/681739676720421586,Thành phố Phan Rang - Tháp Chàm,24,11.55876,108.99279,REGULAR,,"[Nạp homestay] Phòng khép kín, sạch sẽ tiện nghi",private_room,False,,/ đêm,2,True,,True,True,True,,True,True,False,False,"5,0",5,,,,,True,True,9,376.588,₫376.588,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,
841465733238834540,https://www.airbnb.com.vn/rooms/841465733238834540,Thành phố Phan Rang - Tháp Chàm,22,11.597850506588967,108.96635853389563,REGULAR,,Căn Chảo - Nõn Cottage,private_room,False,,/ đêm,2,,,True,True,True,True,,True,False,False,,1,,,,,False,True,4,559.177,₫559.177,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,
50226132,https://www.airbnb.com.vn/rooms/50226132,Thành phố Phan Rang - Tháp Chàm,22,11.67281,108.86183,REGULAR,,"Ngay trung tâm thành phố,phục vụ 24/7",private_room,False,,/ đêm,2,,,True,,True,,,True,False,False,,,,True,True,True,False,False,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
680212171940931331,https://www.airbnb.com.vn/rooms/680212171940931331,Thành phố Cam Ranh,23,12.03161,109.21382,REGULAR,,Villa hồ bơi riêng 2 phòng ngủ Nha Trang,entire_home,False,,/ đêm,4,,,True,True,True,True,,,False,False,,,,True,True,True,,,,3.286,₫3.286.590,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
43500449,https://www.airbnb.com.vn/rooms/43500449,Cam Lâm,30,12.072888374328613,109.19480895996094,REGULAR,,"Alma Resort - Peace, Health, Happy for 5 pax",private_room,False,,/ đêm,5,True,,True,True,True,True,,,,,,,True,True,True,True,,,,2.721,₫2.721.344,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
698752871007943428,https://www.airbnb.com.vn/rooms/698752871007943428,Cam Hải Đông,13,12.05132,109.20488,REGULAR,,Villa nghỉ dưỡng riêng biệt với hồ bơi riêng,entire_home,False,,/ đêm,9,,,True,True,True,True,True,True,False,,"5,0",3,,True,True,True,,,,4.131,₫4.131.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694784800033872891,https://www.airbnb.com.vn/rooms/694784800033872891,Thành phố Phan Rang - Tháp Chàm,30,11.5693049,108.998175,REGULAR,,Căn Hộ Homestay Phan Rang Sunshine Hotel,private_room,False,,/ đêm,16,,,True,True,True,True,,,False,,,,True,,True,True,,,,479.294,₫479.294,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
818020946884806016,https://www.airbnb.com.vn/rooms/818020946884806016,Thành phố Cam Ranh,30,12.030829527739476,109.2143860116176,REGULAR,,"Biệt thự nghỉ dưỡng Lumina Villa, Cam Ranh, 2PN",entire_home,False,,/ đêm,4,,,True,True,True,True,True,,,,,,True,True,,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
719925331030201761,https://www.airbnb.com.vn/rooms/719925331030201761,Thành phố Cam Ranh,30,12.02546,109.21765,REGULAR,,Arena Cam Ranh nhìn ra biển,private_room,False,,/ đêm,2,,True,,True,True,True,,,,,"4,43",7,True,True,,True,,,,1.141,₫1.141.177,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,
692248808822860282,https://www.airbnb.com.vn/rooms/692248808822860282,Thành phố Phan Rang - Tháp Chàm,23,11.58413,109.02699,REGULAR,,[Garden by the Beach] 5BRs Super Clean & Quiet,entire_home,False,,/ đêm,16,True,,True,True,,True,,True,False,False,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864252038975713966,https://www.airbnb.com.vn/rooms/864252038975713966,Cam Lâm,12,12.07339,109.19501,REGULAR,,Biệt thự hướng biển (Tầng 2) cho 7 người - Alma Resort,private_room,False,,/ đêm,7,,True,True,True,True,True,,,False,,,,True,True,,,False,True,,3.613,₫3.613.362,,,,,,True,,,,False,,,,,,,,,,,,,,,,,,
