room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_PETS,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_VIEW_OCEAN,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_JACUZZI,SYSTEM_PATIO_BALCONY,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_EV_CHARGER,SYSTEM_BATHTUB,SYSTEM_REFRIGERATOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_POOL,SYSTEM_MICROWAVE,SYSTEM_FIREPLACE,SYSTEM_CALENDAR,SYSTEM_TOYS,SYSTEM_VIEW_MOUNTAIN
592503991420563976,https://www.airbnb.com.vn/rooms/592503991420563976,"4,84",Ba Đình,11,21.04552,105.84248,REGULAR,,"Căn hộ tại Trúc Bạch, gần Thanh Niên, Lý Nam Đế",entire_home,38,False,,/ đêm,513.530,₫513.530,2.0,True,True,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
887261600526666188,https://www.airbnb.com.vn/rooms/887261600526666188,,Ba Đình,5,21.03364,105.80824,REGULAR,,studio wide balcony fully fernished Ba Dinh center,private_room,,False,,/ đêm,,,2.0,True,True,True,,True,True,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
864472251138044843,https://www.airbnb.com.vn/rooms/864472251138044843,"5,0",Ba Đình,30,21.0438,105.8441,REGULAR,,(iii) Được trang bị đầy đủ tiện nghi/Studio/Trung tâm,private_room,3,False,,/ đêm,,,2.0,True,True,True,True,True,True,,False,,,,,True,True,False,,,,,,,,,,,,,,,,,,,,
34748111,https://www.airbnb.com.vn/rooms/34748111,"4,9",Ba Đình,18,21.04581,105.8106,REGULAR,,Studio đẹp gần Westlake và nhiều đường phố chính,entire_home,79,False,,/ đêm,374.726,₫374.726,2.0,True,True,True,,True,,,False,,,True,True,,,False,True,True,,,,,,,,,,,,,,,,,,
661914022530614120,https://www.airbnb.com.vn/rooms/661914022530614120,"4,98",Đống Đa,13,21.02345,105.83146,REGULAR,,Yue 越 HOMESTAY #2 @yueviet,private_room,62,False,,/ đêm,439.556,₫439.556,2.0,,True,True,True,True,True,True,False,,,,,True,,,,True,True,True,2,True,,,,,,,,,,,,,,
34844777,https://www.airbnb.com.vn/rooms/34844777,"4,79",Ba Đình,11,21.03257,105.80672,REGULAR,,"Căn hộ H803-01 Giường * Giặt ủi miễn phí, dọn dẹp *Gim*Lotte",entire_home,42,False,,/ đêm,471.062,₫471.062,2.0,True,True,,True,True,True,,False,,True,True,True,,,,,,,,,,True,,,,,,,,,,,,,
763071812511611034,https://www.airbnb.com.vn/rooms/763071812511611034,"5,0",Ba Đình,28,21.0477933,105.8415867,REGULAR,,VietHOME - Cửa sổ áp mái với tầm nhìn ra hồ,private_room,3,False,,/ đêm,,,2.0,True,True,True,,True,,True,False,,,True,,,,False,,True,True,True,6,True,,,,,,,,,,,,,,
555656581000472665,https://www.airbnb.com.vn/rooms/555656581000472665,"4,39",Ba Đình,10,21.04676,105.84136,REGULAR,,Căn hộ ban công phong cách Hồ Trúc Bạch 1 phút,entire_home,33,False,,/ đêm,461.023,₫461.023,2.0,True,True,True,,True,True,True,False,,True,,,,,False,,,,,,,,True,,,,,,,,,,,,
29195954,https://www.airbnb.com.vn/rooms/29195954,"4,61",Ba Đình,23,21.02953,105.83724,REGULAR,,#201 Studio ánh sáng tự nhiên và bên cạnh Văn Miếu,private_room,61,False,,/ đêm,,,3.0,True,True,True,True,True,,,False,,,True,True,,,False,,,False,True,5,True,,,,,,,,,,,,,,
52978253,https://www.airbnb.com.vn/rooms/52978253,"5,0",Ba Đình,23,21.03442,105.80733,REGULAR,,"Căn hộ ấm cúng, thân thiện ở trung tâm thành phố",private_room,44,False,,/ đêm,399.412,₫399.412,2.0,True,True,True,,True,True,,False,,True,True,,,,False,,,True,True,2,True,,,,,,,,,,,,,,
