room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_VIEW_CITY,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_POOL,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_OCEAN,SYSTEM_WORKSPACE,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_JACUZZI,SYSTEM_EV_CHARGER,SYSTEM_PATIO_BALCONY,SYSTEM_VIEW_MOUNTAIN,SYSTEM_FLOWER,SYSTEM_PETS,SYSTEM_ELEVATOR,SYSTEM_LUGGAGE_DROP,SYSTEM_DRYER,SYSTEM_REFRIGERATOR,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_GYM,yearHosting,SYSTEM_SMOKING_ALLOWED
601805749176497156,https://www.airbnb.com.vn/rooms/601805749176497156,"4,88",Thành phố Tuy Hòa,14,13.103,109.30766,REGULAR,,Căn hộ Sunrise City Châu - Tuy Hòa,private_room,8,False,,/ đêm,513.530,₫513.530,2.0,True,True,True,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,
657876418488380259,https://www.airbnb.com.vn/rooms/657876418488380259,"5,0",Thành phố Tuy Hòa,20,13.11565,109.29777,REGULAR,,Apec Sunsea Condotel 1,entire_home,6,False,,/ đêm,650.471,₫650.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879255978016274431,https://www.airbnb.com.vn/rooms/879255978016274431,,Thành phố Tuy Hòa,10,13.09609,109.31187,REGULAR,,Căn hộ nghỉ dưỡng 5 sao Phú Yên,entire_home,,False,,/ đêm,,,4.0,True,,True,True,True,True,,,False,True,True,True,True,,,,,,,,,,,,,,,,,,
42190630,https://www.airbnb.com.vn/rooms/42190630,"4,8",Thành phố Tuy Hòa,23,13.10283,109.30721,REGULAR,,Homestay Mộc Nhiên,entire_home,10,False,,/ đêm,3.423,₫3.423.531,15.0,,,True,True,,True,True,True,False,,,True,,True,False,,,,,,,,,,,,,,,,
616280337046245710,https://www.airbnb.com.vn/rooms/616280337046245710,"4,8",Thành phố Tuy Hòa,13,13.10409,109.30656,REGULAR,,GẤU BIỂN HƯỚNG BIỂN CORNOR,entire_home,5,False,,/ đêm,,,3.0,,,True,True,True,True,True,,,,True,,True,,,True,True,True,,,,,,,,,,,,,
41384408,https://www.airbnb.com.vn/rooms/41384408,"4,93",Tuy Hòa,30,13.173748,109.288376,REGULAR,,kira - nhà nghỉ & vườn,entire_home,14,False,,/ đêm,1.711,₫1.711.766,4.0,,,True,True,,,,True,False,,True,True,,,False,,,,True,True,True,,,,,,,,,,
44529391,https://www.airbnb.com.vn/rooms/44529391,"4,59",Thành phố Tuy Hòa,13,13.10124,109.31558,REGULAR,,Phòng tiêu chuẩn,private_room,17,False,,/ đêm,542.059,₫542.059,2.0,True,,True,True,,True,True,True,False,,,,,True,,,,,,,,True,True,,,,,,,,
824954596550744500,https://www.airbnb.com.vn/rooms/824954596550744500,,Thành phố Tuy Hòa,30,13.0914883,109.3138523,REGULAR,,Apec Mandala Wonder,entire_home,,False,,/ đêm,867.295,₫867.295,3.0,True,True,True,True,True,,,True,False,,True,,True,,,,,,,True,,,,,,,,,,,
885418460115353948,https://www.airbnb.com.vn/rooms/885418460115353948,,Thành phố Tuy Hòa,9,13.103366406008556,109.30733285349699,REGULAR,,"Phòng đẹp, thoáng, view biển",entire_home,,False,,/ đêm,,,4.0,,,True,True,,True,True,True,False,,True,True,True,,False,,,,,,,,,,,,,,,,
42099873,https://www.airbnb.com.vn/rooms/42099873,"4,86",Thành phố Tuy Hòa,19,13.10275,109.31453,REGULAR,,Nice Double Room in HANID Hotel,private_room,7,False,,/ đêm,308.118,₫308.118,2.0,,,True,True,,True,True,True,False,,,,,True,,,,,,,,,,,,,,,,,
42441831,https://www.airbnb.com.vn/rooms/42441831,"4,55",Thành phố Tuy Hòa,28,13.09694,109.31202,REGULAR,,"KHÁCH SẠN DỪA PHÚ YÊN (PHÒNG CAO CẤP, VIEW THÀNH PHỐ)",private_room,22,False,,/ đêm,342.353,₫342.353,2.0,True,,True,True,,True,True,True,False,,,True,,,,,,True,,,,,,True,,,,,,,
46327003,https://www.airbnb.com.vn/rooms/46327003,"4,92",Thành phố Tuy Hòa,24,13.09211,109.30632,REGULAR,,Toàn bộ nhà/Yên Homestay/Gần bãi biển/Khu vực thành phố,entire_home,13,False,,/ đêm,1.940,₫1.940.001,10.0,True,,True,True,,True,,True,False,,True,,,,False,,,,,True,True,,,,,,,,,,
39207174,https://www.airbnb.com.vn/rooms/39207174,"4,8",Thành phố Tuy Hòa,19,13.10273,109.31439,REGULAR,,Phòng đôi VIP,private_room,10,False,,/ đêm,342.353,₫342.353,2.0,,,True,True,,True,True,True,False,,,True,,True,,,,,,,,,,,True,,,,,,
886848869838224478,https://www.airbnb.com.vn/rooms/886848869838224478,,Thành phố Tuy Hòa,5,13.103161951021475,109.30747405544408,REGULAR,,vô cùng ấm áp,private_room,,False,,/ đêm,,,4.0,,,True,True,,True,True,True,,,True,True,True,,,,,,,,,,,,,False,True,True,,,
795496949196663976,https://www.airbnb.com.vn/rooms/795496949196663976,,Thành phố Tuy Hòa,25,13.103343439301366,109.3071835488081,REGULAR,,Apec Phú Yên - 2 phòng ngủ,entire_home,,False,,/ đêm,1.369,₫1.369.412,4.0,,,True,True,,True,True,True,False,,,True,True,,,,,,,,,,,,,,,,,,
824990681908576726,https://www.airbnb.com.vn/rooms/824990681908576726,,Thành phố Tuy Hòa,30,13.101137410202005,109.30845065575734,REGULAR,,Apec Mandala Wonder PY,entire_home,,False,,/ đêm,912.942,₫912.942,3.0,True,True,True,True,True,,,True,False,,True,,True,,,,,,,True,,,,,,,,,,,
606395543631783238,https://www.airbnb.com.vn/rooms/606395543631783238,"4,67",Thành phố Tuy Hòa,30,13.11722,109.29883,REGULAR,,Căn hộ 5 sao có hồ bơi nằm ngay trung tâm TP,entire_home,6,False,,/ đêm,1.320,₫1.320.505,4.0,,,True,True,True,True,True,True,,,True,,,,,True,,,,,,,,,,,,,,,
