room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,SYSTEM_WORKSPACE,SYSTEM_EV_CHARGER,SYSTEM_VIEW_OCEAN,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_HAIRDRYER,SYSTEM_FIREPIT,SYSTEM_LUGGAGE_DROP,SYSTEM_CALENDAR,SYSTEM_POOL,SYSTEM_VIEW_MOUNTAIN,SYSTEM_TV,SYSTEM_REFRIGERATOR,SYSTEM_BREAKFAST,SYSTEM_PATIO_BALCONY,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_FIREPLACE,SYSTEM_JACUZZI,SYSTEM_SMOKING_ALLOWED,SYSTEM_TOYS,SYSTEM_ELEVATOR,SYSTEM_GYM,SYSTEM_MICROWAVE,SYSTEM_BATHTUB,SYSTEM_HIGH_CHAIR,SYSTEM_PIANO
741049579707819917,https://www.airbnb.com.vn/rooms/741049579707819917,"5,0",Bố Trạch District,30,17.603040598517605,106.29850906029061,REGULAR,,Bungalow - Phòng đôi có tầm nhìn ra núi,private_room,12,True,True,5,False,,/ đêm,399.412,₫399.412,2.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24114797,https://www.airbnb.com.vn/rooms/24114797,"5,0",Phong Nha,30,17.60066,106.29251,REGULAR,,Carambola Bungalow 1 giường queen - cảnh nhìn ra núi,private_room,32,True,True,5,False,,/ đêm,,,2.0,True,,True,True,True,True,True,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
28747896,https://www.airbnb.com.vn/rooms/28747896,"4,87",Bố Trạch,30,17.60201,106.29536,REGULAR,,Areca bungalow 2,private_room,87,,,,False,,/ đêm,519.236,₫519.236,2.0,,,,True,True,,True,,False,False,,,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,
13408970,https://www.airbnb.com.vn/rooms/13408970,"4,31",tp. Đồng Hới,15,17.48215,106.62594,REGULAR,,Au Lac - Ban công sang trọng nhìn ra sông,private_room,26,,,,False,,/ đêm,,,2.0,,,True,True,True,,True,,False,,,,,,,True,True,True,,True,True,,,,,,,,,,,,,,,,,
31368320,https://www.airbnb.com.vn/rooms/31368320,"4,98",Bố Trạch District,30,17.59018,106.28378,REGULAR,,Bungalow Hưng Phát,private_room,42,,,,False,,/ đêm,499.836,₫499.836,2.0,,,True,True,True,True,True,,False,False,,,True,,True,,,,,,,True,,,,,,,,,,,,,,,,
33390051,https://www.airbnb.com.vn/rooms/33390051,"4,98",Bố Trạch District,30,17.591,106.2838,REGULAR,,"Phòng giường đôi view núi, có ban công chung",private_room,55,True,True,5,False,,/ đêm,365.177,₫365.177,2.0,True,True,,True,True,True,True,,False,False,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
38310402,https://www.airbnb.com.vn/rooms/38310402,,H. Bố Trạch,30,17.60996,106.31039,REGULAR,,Vu’s Homestay Nguyên Căn,entire_home,,,,,False,,/ đêm,,,16.0,,,,True,True,True,True,,False,False,,True,True,,,,True,,,,,True,,,,,,,,,,,,,,,,
40013402,https://www.airbnb.com.vn/rooms/40013402,"4,85",Bố Trạch District,23,17.60996,106.30303,REGULAR,,Sống cùng gia đình bản xứ trên sông Lá xinh đẹp,private_room,27,False,True,4,False,,/ đêm,,,2.0,True,,True,True,True,,,,False,False,,,True,,True,,,,,,,,True,,,,,,,,,,,,,,,
27210069,https://www.airbnb.com.vn/rooms/27210069,"4,84",,30,17.60753,106.29975,REGULAR,,Green Riverside Cosy Home- Phòng đôi 1,private_room,73,False,True,5,False,,/ đêm,481.803,₫481.803,2.0,True,,True,True,True,True,True,,False,False,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,
29067867,https://www.airbnb.com.vn/rooms/29067867,"4,77",Bố Trạch,30,17.59675,106.28828,REGULAR,,Sếp Rừng Sống cùng gia đình bản xứ - Double Bungalow,entire_home,13,,,,False,,/ đêm,912.942,₫912.942,2.0,,,,True,True,,,,False,False,,,,,,,True,True,,,,True,,True,True,True,,,,,,,,,,,,
