room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,isSuperHost,isVerified,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,rating,reviewCount,SYSTEM_POOL,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_SMOKE,yearHosting,price,price_full,SYSTEM_BEACH,SYSTEM_WASHER,SYSTEM_CRIB,SYSTEM_PETS,SYSTEM_DRYER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_FIREPLACE,SYSTEM_VIEW_CITY,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_PATIO_BALCONY,SYSTEM_ELEVATOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_SAUNA,SYSTEM_PACK_N_PLAY,SYSTEM_REFRIGERATOR,SYSTEM_HIGH_CHAIR,SYSTEM_BATHTUB,SYSTEM_BREAKFAST,SYSTEM_CALENDAR,SYSTEM_PIANO,SYSTEM_MICROWAVE,SYSTEM_MAPS_RESORT,SYSTEM_GOLF
886077203110697780,https://www.airbnb.com.vn/rooms/886077203110697780,Thành phố Hội An,30,15.90033,108.38284,REGULAR,,Casamia Hoi An villa - Suite Lake view room,private_room,True,True,False,,/ đêm,3.0,True,True,True,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822119632297181691,https://www.airbnb.com.vn/rooms/822119632297181691,Thành phố Hội An,20,15.8814,108.32561,REGULAR,,Ngân sách - Trung tâm - Đi bộ 5 phút,private_room,,,False,,/ đêm,1.0,,,,,True,,,True,False,"4,8",10,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877079016380874832,https://www.airbnb.com.vn/rooms/877079016380874832,Ngũ Hành Sơn,11,16.03626,108.2443,REGULAR,,Cozy Glory Apartment (1bedroom),entire_home,True,True,False,,/ đêm,2.0,True,,,True,True,,True,True,False,,2,,True,True,,,,4,331.882,₫331.882,True,True,,,,,,,,,,,,,,,,,,,,,,,
888609592756732176,https://www.airbnb.com.vn/rooms/888609592756732176,Thành phố Hội An,30,15.87552,108.3591,REGULAR,,6 bedroom private pool villa-6 people stay,entire_home,,,False,,/ đêm,6.0,,,,,True,,True,,False,,,,True,True,,True,False,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
888889355971248237,https://www.airbnb.com.vn/rooms/888889355971248237,Thành phố Hội An,10,15.89736,108.31958,REGULAR,,Cozy And Clean Apartment 7,private_room,,,False,,/ đêm,2.0,,,,True,True,True,True,True,False,,,,True,,,,,,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,
862620260726960552,https://www.airbnb.com.vn/rooms/862620260726960552,Ngũ Hành Sơn,14,16.0009626,108.2662945,REGULAR,,Five Marble Mountain foot bright&tranquil studio,entire_home,,,False,,/ đêm,2.0,,,,True,True,True,True,True,False,,,,True,,,,,,,,True,True,,,,True,,,,,,,,,,,,,,,,,,,
892525704013580582,https://www.airbnb.com.vn/rooms/892525704013580582,Thành phố Hội An,30,15.904887900181656,108.34809567779303,REGULAR,,H.A beach villa private pool.,entire_home,,,False,,/ đêm,8.0,,,,True,True,True,True,,False,,,True,True,,,,False,,2.852,₫2.852.943,True,,,,,,True,,,,,,,,,,,,,,,,,,
34131630,https://www.airbnb.com.vn/rooms/34131630,Thành phố Hội An,6,15.8887,108.32295,REGULAR,,Ưu đãi tuyệt vời - Đi xe đạp ngắn đến Thị trấn/Bãi biển Hội An,private_room,False,True,False,,/ đêm,2.0,True,,,True,True,,True,,False,"4,76",21,,,True,,True,False,4,,,,,,True,,,,True,,,,,,,,,,,,,,,,,
13162569,https://www.airbnb.com.vn/rooms/13162569,Hội An,30,15.885922,108.330971,REGULAR,,Homestay Flame Flowers - Gần phố cổ,private_room,True,True,False,,/ đêm,2.0,True,True,,,True,True,True,,,"4,98",255,,True,,,,,7,352.624,₫352.624,,,,True,,,True,,True,True,,,,,,,,,,,,,,,
44236348,https://www.airbnb.com.vn/rooms/44236348,Phước Mỹ,17,16.06278,108.2362,REGULAR,,New Suite Studio@3min cũng đến MyKhe Beach Center.,private_room,True,True,False,,/ đêm,2.0,,True,,True,True,True,True,True,False,"4,91",11,,True,True,,,,6,625.455,₫625.455,,,,,,,,,,,False,,,,,,,,,,,,,,
812966922912318054,https://www.airbnb.com.vn/rooms/812966922912318054,Sơn Trà,22,16.06534,108.2452,REGULAR,,Suite Glory(studio),entire_home,,,False,,/ đêm,2.0,,,,True,True,True,,True,,"4,86",14,True,True,True,,True,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,
885410664415760381,https://www.airbnb.com.vn/rooms/885410664415760381,Mỹ An,11,16.049675856972335,108.24773664868776,REPRESENTATIVE,,Room/Balcony<walkingstreet>near MyKhe beach 150met,private_room,,,False,,/ đêm,2.0,,,,True,True,True,True,True,False,,,,True,,,,False,,251.750,₫251.750,True,,,,,,,,True,,,,,,,,,,,,,,,,
4512367,https://www.airbnb.com.vn/rooms/4512367,Hoi An Ancient Town,28,15.87861,108.3449,REPRESENTATIVE,,Phòng có ban công_GardenView_ClosetoTown Center&Beach,private_room,,,False,,/ đêm,2.0,,True,,,True,True,True,,False,"4,94",71,True,True,True,,,False,,540.816,₫540.816,,,,,,,,,,,,True,,,,,,,,,,,,,
885795294558858388,https://www.airbnb.com.vn/rooms/885795294558858388,Thành phố Hội An,16,15.8816759,108.3249898,REGULAR,,Deluxe Double Room City View 4*,private_room,,,False,,/ đêm,2.0,,,,True,True,,True,True,,,,True,True,True,,True,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,
893207879285100735,https://www.airbnb.com.vn/rooms/893207879285100735,Thành phố Hội An,30,15.90372,108.34932,REGULAR,,[H.A Villas] Beach Villa with breakfast inc.,entire_home,,,False,,/ đêm,10.0,,,,True,True,True,True,,False,,,True,True,,,,False,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
890176213753771013,https://www.airbnb.com.vn/rooms/890176213753771013,Hội An,9,15.88012,108.38973,REGULAR,,Voucher Vinpearl Resort & Spa-Deluxe King,private_room,,,False,,/ đêm,2.0,,,,,True,True,True,,,,,True,True,True,,,,,2.608,₫2.608.731,True,,,,,,,,,True,,,,True,,,,,,,,,,,
43481758,https://www.airbnb.com.vn/rooms/43481758,Thành phố Hội An,30,15.88315,108.35411,REGULAR,,HƯƠNG SEN 4 BIỆT THỰ ROOM-ENTIRE LỚN ĐẸP VỚI BỂ BƠI,entire_home,,,False,,/ đêm,10.0,,,,True,True,True,True,,False,"4,69",29,True,True,True,,,False,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
33800481,https://www.airbnb.com.vn/rooms/33800481,Sơn Trà,30,16.06302,108.23508,REGULAR,,Nhà của Felix,private_room,True,True,False,,/ đêm,2.0,True,True,,True,True,True,,,False,"4,88",89,,True,,,,False,4,330.941,₫330.941,,True,,,True,,,,,,,,,,,,,,,,,,,,
619925442007225552,https://www.airbnb.com.vn/rooms/619925442007225552,Thành phố Hội An,28,15.88058,108.32862,REGULAR,,Ngân sách - Trung tâm - Hồ bơi - 5 phút đi bộ đến chợ đêm❤️,private_room,,,False,,/ đêm,1.0,,,,,True,,,True,False,"4,84",19,True,True,True,True,True,False,,294.401,₫294.401,,,,,,,,,,,,,,,,,,,,,,,,,
