room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_JACUZZI,SYSTEM_SNOWFLAKE,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_DRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_VIEW_MOUNTAIN,SYSTEM_BEACH,SYSTEM_BREAKFAST,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_FIREPLACE,SYSTEM_NO_LOCK_ON_DOOR
24688013,https://www.airbnb.com.vn/rooms/24688013,"4,67",Thành phố Quảng Ngãi,10,15.13124,108.78874,REGULAR,,HANA RIVERSIDE VILLA,private_room,31,False,,/ đêm,342.353,₫342.353,16.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,
49252390,https://www.airbnb.com.vn/rooms/49252390,,Tư Nghĩa,18,15.13239,108.73254,REGULAR,,Hamya Hotspring and Resort,entire_home,,False,,/ đêm,,,6.0,True,True,,True,True,,True,,False,False,True,True,True,,,,,,,,,,,,,,
893331798811392122,https://www.airbnb.com.vn/rooms/893331798811392122,,Thành phố Quảng Ngãi,30,15.130487969360747,108.78478216994476,REGULAR,,PUPON Homestay and Coffee,private_room,,False,,/ đêm,,,16.0,True,True,,True,,,True,,False,False,True,,,True,True,,,,,,,,,,,,
728880929490939639,https://www.airbnb.com.vn/rooms/728880929490939639,,Thành phố Quảng Ngãi,11,15.15383,108.79176,REGULAR,,Căn hộ một phòng ngủ nhìn ra thành phố,private_room,,False,,/ đêm,,,2.0,True,True,,True,,,True,,False,,,,True,,True,True,,,,,,,,,,,
9866457,https://www.airbnb.com.vn/rooms/9866457,"4,73",Thành phố Quảng Ngãi,12,15.14293,108.79988,REGULAR,,Nhà nghỉ Thanh Lịch,private_room,11,False,,/ đêm,433.647,₫433.647,14.0,,True,,True,,,True,True,False,False,,True,True,,,,True,True,,,,,,,,,
851906660063640062,https://www.airbnb.com.vn/rooms/851906660063640062,,Phổ Phong,21,14.86135,108.88863,REGULAR,,Không gian nghỉ dưỡng tại Cát Mộc Farm,entire_home,,False,,/ đêm,1.951,₫1.951.413,4.0,,True,True,True,True,True,,,False,False,,,True,,True,,,,True,,,,,,,,
816296533275789749,https://www.airbnb.com.vn/rooms/816296533275789749,,Bình Sơn,8,15.24064,108.91254,REGULAR,,Homestay Châu Tân - Bình Châu,entire_home,,False,,/ đêm,2.054,₫2.054.119,6.0,True,True,True,True,,,True,True,False,False,,,,,True,,,,,True,,,,,,,
38803970,https://www.airbnb.com.vn/rooms/38803970,,Thành phố Quảng Ngãi,30,15.09894,108.89217,REGULAR,,SPA & RESORT SÔNG COLAND,private_room,,False,,/ đêm,2.054,₫2.054.119,8.0,,True,,True,,,True,,False,,True,True,True,,,True,,,,,True,,,,,,
849516005560397001,https://www.airbnb.com.vn/rooms/849516005560397001,,Thành phố Quảng Ngãi,10,15.12173,108.8118,REGULAR,,chỗ ở của ann,entire_home,,False,,/ đêm,1.397,₫1.397.594,6.0,True,True,True,True,,,True,True,False,False,,,True,,True,,,,,,,,,,,,
835774231283708585,https://www.airbnb.com.vn/rooms/835774231283708585,,Bình Sơn,9,15.2311897,108.9150238,REGULAR,,Homestay Châu Tân - Bình Châu,entire_home,,False,,/ đêm,2.008,₫2.008.472,6.0,True,True,,True,,,True,True,False,False,,,True,,True,,,,,True,,,,,,,
