room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_TV,SYSTEM_NO_DETECTOR_CO2,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,price,price_full,SYSTEM_PETS,SYSTEM_FIREPIT,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,yearHosting,SYSTEM_DRYER,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_TOYS,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_LUGGAGE_DROP,SYSTEM_MAPS_RESORT,SYSTEM_EV_CHARGER,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_SKI,SYSTEM_GYM,SYSTEM_MICROWAVE
625011935264035999,https://www.airbnb.com.vn/rooms/625011935264035999,"4,97",Thành phố Hạ Long,23,20.959726,107.008675,REGULAR,,Căn hộ  Greenbay Garden- Toà A 707,entire_home,30,False,,/ đêm,2.0,True,True,True,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43155066,https://www.airbnb.com.vn/rooms/43155066,"4,83",Thành phố Hạ Long,30,20.96063,107.00836,REGULAR,,Phòng tập ấm cúng apt❤Greenbay Garden view ❤sea❤ gym&pool,entire_home,48,False,,/ đêm,3.0,,True,True,True,True,,True,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880974780222731226,https://www.airbnb.com.vn/rooms/880974780222731226,,Thành phố Hạ Long,21,20.97176,107.01646,REGULAR,,Căn hộ 2308 Toà A greenbay garden,entire_home,,False,,/ đêm,2.0,True,True,True,True,True,True,True,True,False,,,,,422.235,₫422.235,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883765589019332011,https://www.airbnb.com.vn/rooms/883765589019332011,,Thành phố Hạ Long,30,20.956263866462077,107.00447056442499,REGULAR,,Halong And Me Deluxe Stay,private_room,,False,,/ đêm,6.0,,True,True,True,True,True,,True,False,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
874445693790678735,https://www.airbnb.com.vn/rooms/874445693790678735,,Hồng Bàng,11,20.865135979254607,106.6731121391058,REGULAR,,Central Single Bed,private_room,,False,,/ đêm,2.0,,,,True,True,True,,,False,,,True,,268.177,₫268.177,,,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,
604970307762418068,https://www.airbnb.com.vn/rooms/604970307762418068,"4,88",Thành phố Hạ Long,26,20.95852,107.00686,REGULAR,,Tùng Minh Homestay Hạ Long,entire_home,8,False,,/ đêm,3.0,True,True,True,True,,True,True,True,False,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
877061058396844670,https://www.airbnb.com.vn/rooms/877061058396844670,,Thành phố Hạ Long,15,20.95462,107.00331,REGULAR,,Halong And Me Ancient Town View,private_room,,False,,/ đêm,3.0,,True,True,True,True,True,,,False,,True,True,,,,,,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,
52144321,https://www.airbnb.com.vn/rooms/52144321,"4,75",Thành phố Hạ Long,18,20.9608,107.00732,REGULAR,,Căn hộ 1BR với ban công và tầm nhìn ra biển - Greenbay Garden,entire_home,28,False,,/ đêm,3.0,,,True,True,True,,True,True,,True,True,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
764792211968108791,https://www.airbnb.com.vn/rooms/764792211968108791,"5,0",Cát Bà,30,20.73089,107.050934,REGULAR,,-30% Big Vnese breakfast-Join cooking with host.,private_room,10,False,,/ đêm,2.0,,True,True,True,True,True,,,False,,True,,,363.935,₫363.935,,,False,True,True,,True,,2,True,,,,,,,,,,,,,,,,,,,
872783277087143270,https://www.airbnb.com.vn/rooms/872783277087143270,,Hồng Bàng,15,20.86385,106.67242,REGULAR,,Central cozy Exclusive room,private_room,1,False,,/ đêm,2.0,,,True,True,True,True,,True,False,,True,,,,,,,False,True,,False,,,,,True,False,,,,,,,,,,,,,,,,,
