room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_MOUNTAIN,SYSTEM_VIEW_OCEAN,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PATIO_BALCONY,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_WORKSPACE,SYSTEM_SNOWFLAKE,price,price_full,SYSTEM_COOKING_BASICS,SYSTEM_WASHER,SYSTEM_TV,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_LUGGAGE_DROP,SYSTEM_PETS,SYSTEM_SMOKING_ALLOWED,SYSTEM_CALENDAR,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_VIEW_CITY,SYSTEM_JACUZZI,reviewCount,yearHosting,SYSTEM_FIREPLACE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_FIREPIT,rating,SYSTEM_HIGH_CHAIR,SYSTEM_DRYER,SYSTEM_BREAKFAST,SYSTEM_EV_CHARGER
888000444364901219,https://www.airbnb.com.vn/rooms/888000444364901219,Tram Tau,23,21.44571455654174,104.3960024213593,REGULAR,,Pool Dorm phòng ngủ tập thể,shared_room,False,,/ đêm,16.0,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883740609869852446,https://www.airbnb.com.vn/rooms/883740609869852446,Thành phố Yên Bái,5,21.69310755591489,104.86738461534425,REGULAR,,Family Room,private_room,False,,/ đêm,4.0,,,True,True,,,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
801849675802022566,https://www.airbnb.com.vn/rooms/801849675802022566,Thành phố Sơn La,10,21.2922315,103.9563829,REGULAR,,"Phòng trọ tập thể (1,2 m x 2 m)/giường có giường tầng",shared_room,False,,/ đêm,1.0,True,,True,True,,,True,False,False,True,,268.177,₫268.177,True,True,,,,,,,,,,,,,,,,,,,,,,,
888807169697772883,https://www.airbnb.com.vn/rooms/888807169697772883,Thành phố Yên Bái,8,21.7763774,104.920076,REGULAR,,Mountain Breath Retreat Homestay,private_room,False,,/ đêm,2.0,,True,True,True,,,True,False,False,True,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
873618791512279959,https://www.airbnb.com.vn/rooms/873618791512279959,Mộc Châu,24,20.817,104.68584,REGULAR,,Chốn yên bình dưới đồi chè,private_room,False,,/ đêm,16.0,,,True,True,,True,True,False,False,True,,,,True,,,False,True,True,True,,,,,,,,,,,,,,,,,,
642421621683881752,https://www.airbnb.com.vn/rooms/642421621683881752,Thành phố Yên Bái,14,21.77638,104.92008,REGULAR,,Homestay Am Núi Thở,private_room,False,,/ đêm,8.0,,True,True,True,,,True,False,False,True,,,,,,,False,False,True,True,,,,,,,,,,,,,,,,,,
739363725396857060,https://www.airbnb.com.vn/rooms/739363725396857060,Tà Xùa,20,21.27828,104.46736,REGULAR,,Ta Xua Ecolodge - Nhà sàn cộng đồng,shared_room,False,,/ đêm,1.0,True,,True,True,True,,True,False,False,,,313.824,₫313.824,,,,,,,True,True,,,,,,,,,,,,,,,,,
38525771,https://www.airbnb.com.vn/rooms/38525771,La Pán Tẩn,30,21.77096,104.16524,REGULAR,,Sống cùng gia đình bản xứ 1,private_room,False,,/ đêm,2.0,,,True,True,,,,False,False,,,268.177,₫268.177,True,,,False,False,True,,,True,True,True,,,,,,,,,,,,,,
842997999412832740,https://www.airbnb.com.vn/rooms/842997999412832740,Sơn La,15,20.817407374638886,104.69446515914238,REGULAR,,Nhà Nghỉ Thanh Trà Môc Châu,entire_home,False,,/ đêm,16.0,,,True,True,,True,True,False,False,True,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,,
732594749268796633,https://www.airbnb.com.vn/rooms/732594749268796633,Thị xã Nghĩa Lộ,30,21.624284788481827,104.57902806346281,REGULAR,,Homestay Suối Giàng View núi - Yenhome 02,shared_room,False,,/ đêm,2.0,True,,True,True,,,True,False,,True,,272.499,₫272.499,True,,True,,,,True,,True,,,,,,,,,,,,,,,,
