room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_COOKING_BASICS,SYSTEM_PETS,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,price,price_full,SYSTEM_TV,SYSTEM_MICROWAVE,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_JACUZZI,SYSTEM_HAIRDRYER,SYSTEM_BEACH,SYSTEM_FIREPIT,SYSTEM_WASHER,SYSTEM_LUGGAGE_DROP,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_EV_CHARGER,SYSTEM_BATHTUB,SYSTEM_REFRIGERATOR,SYSTEM_VIEW_CITY,SYSTEM_FIREPLACE,SYSTEM_BOAT_SAIL,SYSTEM_SKI,SYSTEM_TOYS,SYSTEM_CALENDAR,SYSTEM_GYM
720182241418513027,https://www.airbnb.com.vn/rooms/720182241418513027,"4,85",Ninh Xuân,15,20.24347196240488,105.92644208413084,REGULAR,,Nhà gỗ tại Trang An,private_room,13,True,True,9,False,,/ đêm,2.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887372006198337468,https://www.airbnb.com.vn/rooms/887372006198337468,,Ninh Hải,30,20.218690015843094,105.92178960028593,REGULAR,,Tam Coc Friends Homestay,private_room,,,,,False,,/ đêm,16.0,,True,True,True,True,True,,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881662420926620611,https://www.airbnb.com.vn/rooms/881662420926620611,,,23,20.13028,105.30878,REGULAR,,Puluong EcoArt Homestay- Nhà sàn,shared_room,,,,,False,,/ đêm,10.0,,True,,True,,True,,True,False,False,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
33296223,https://www.airbnb.com.vn/rooms/33296223,"4,86",Ninh Bình,30,20.26493,105.94218,REGULAR,,Sống cùng gia đình bản xứ - Phòng đôi có ban công,private_room,28,True,True,4,False,,/ đêm,2.0,,,,True,,True,,,,,,,True,True,,365.177,₫365.177,True,True,True,True,False,,,,,,,,,,,,,,,,,,
862778622028740408,https://www.airbnb.com.vn/rooms/862778622028740408,"5,0",Ninh Xuân,15,20.25848,105.9737,REGULAR,,Nhà gỗ hướng núi,private_room,4,True,True,9,False,,/ đêm,2.0,True,,,True,True,True,True,True,,,True,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,
25172648,https://www.airbnb.com.vn/rooms/25172648,"4,61",Ninh Hải,25,20.2197,105.93227,REGULAR,,"Sống cùng gia đình bản xứ Amira, Phòng đôi với tầm nhìn ra vườn",private_room,71,False,True,5,False,,/ đêm,2.0,True,,,True,,True,,,False,False,,,,True,,353.765,₫353.765,,,,True,,,True,,,,,,,,,,,,,,,,
888529050987792218,https://www.airbnb.com.vn/rooms/888529050987792218,,Sầm Sơn,12,19.72929,105.89964,REGULAR,,Hotel Hương Định,private_room,,,,,False,,/ đêm,4.0,,,,True,True,True,,True,False,False,,,,True,,,,True,,,,,,True,True,,,,,,,,,,,,,,,
887998754811565087,https://www.airbnb.com.vn/rooms/887998754811565087,,Ninh Xuân,30,20.25327,105.9338,REGULAR,,TrangAn Passion Homestay Ninh Binh,entire_home,,,,,False,,/ đêm,2.0,,,True,True,,True,True,,False,False,True,,,True,,,,True,,,,,,,,True,,,,,,,,,,,,,,
46890950,https://www.airbnb.com.vn/rooms/46890950,"5,0",Trường Yên,30,20.26152,105.91293,REGULAR,,"Quang cảnh núi và hồ, bữa sáng miễn phí cho 2 người",private_room,15,,,,False,,/ đêm,2.0,,True,True,True,True,True,,True,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
870923884722320454,https://www.airbnb.com.vn/rooms/870923884722320454,,Ninh Xuân,16,20.245288412329025,105.92602539807558,REGULAR,,Phòng 4 người nhìn ra núi,private_room,,False,True,,False,,/ đêm,2.0,True,,,True,True,True,True,,False,False,,True,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,
39803953,https://www.airbnb.com.vn/rooms/39803953,"4,95",Hoa Lư,30,20.246,105.93603,REGULAR,,River-MountainView (2paxs)_NinhBinhValleMontanaHome,private_room,41,,,,False,,/ đêm,2.0,,True,True,True,,True,True,,False,False,,,,True,True,471.306,₫471.306,,,,,,,,,,,True,,,,,,,,,,,,
804265246683403719,https://www.airbnb.com.vn/rooms/804265246683403719,"4,63",Hoa Lư,24,20.21939,105.93176,REGULAR,,-10% homestay+ bữa sáng miễn phí,private_room,8,False,True,3,False,,/ đêm,2.0,True,,,True,,True,True,True,False,False,True,,True,True,,381.631,₫381.631,,,,,,,,,,,,,,,,,,,,,,,
33065304,https://www.airbnb.com.vn/rooms/33065304,"4,86",,22,19.81316,105.79356,REGULAR,,Phòng sạch sẽ & giá rẻ cho balo - Thành phố Thanh Hóa,private_room,7,,,,False,,/ đêm,2.0,,,,True,,True,,,,,,True,,True,,268.177,₫268.177,True,,,,,,True,,,True,,True,True,,,,,,,,,,
34078704,https://www.airbnb.com.vn/rooms/34078704,"4,89",,30,20.23719,105.93982,REGULAR,,Làng Ninh Bình 1990 Homestay & Bữa sáng,hotel_room,19,,,,False,,/ đêm,2.0,,,,True,True,True,,,,,,True,True,True,,267.664,₫267.664,,,,,,,,,,True,,,True,True,True,,,,,,,,
879546452889909741,https://www.airbnb.com.vn/rooms/879546452889909741,,Sầm Sơn,11,19.7444138,105.8952513,REGULAR,,Catimor Hotel Sầm Sơn - Make your feeling complete,private_room,,,,,False,,/ đêm,2.0,,,,True,True,True,,True,False,False,,True,,,,,,True,,,,,,,True,,True,,,,,,,,,,,,,
23623743,https://www.airbnb.com.vn/rooms/23623743,"4,94",,23,20.2152,105.92899,REGULAR,,Nội trợ tuyệt vời - Nhà cọ Tam Cốc - Phòng sinh đôi,private_room,53,True,True,5,False,,/ đêm,2.0,,,,,,,,,False,False,,,,True,,462.177,₫462.177,,,True,,False,,True,,,,,,,,,,,,,,,,
858571468576215713,https://www.airbnb.com.vn/rooms/858571468576215713,,Ninh Hải,5,20.219829867399117,105.93927880432037,REGULAR,,Phòng đôi có tầm nhìn ra núi,private_room,,False,False,,False,,/ đêm,2.0,True,,,True,True,True,True,True,False,False,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,
31474367,https://www.airbnb.com.vn/rooms/31474367,"4,99",Tỉnh Ninh Bình,15,20.2159,105.93816,REGULAR,,SỐNG CÙNG GIA ĐÌNH BẢN xứ CENTER TAM COC - Phòng đôi có ban công,private_room,97,True,True,4,False,,/ đêm,2.0,True,,,True,,True,,,False,False,,True,True,True,,342.353,₫342.353,,,,,,,,,,True,,,True,,,,,,,,,,
742622306357457020,https://www.airbnb.com.vn/rooms/742622306357457020,"4,97",Ninh Xuân,13,20.24431,105.92529,REGULAR,,Bungalow tại Trang An,private_room,35,True,True,9,False,,/ đêm,2.0,True,True,,True,True,True,True,True,,,,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,
39570968,https://www.airbnb.com.vn/rooms/39570968,"4,98",Ninh Bình,30,20.24664015886701,105.93531363774487,REGULAR,,Superiorwithbreakfast-NinhBinhValleMontanahomestay,private_room,55,,,,False,,/ đêm,2.0,,,True,True,True,True,True,,False,False,,True,,True,,471.306,₫471.306,,,,,,,,,,True,,,,,,,,,,,,,
31052657,https://www.airbnb.com.vn/rooms/31052657,"4,85",Thành phố Thanh Hóa,14,19.81375,105.79277,REGULAR,,Khách sạn Xuân Thành - Giá rẻ nhất - Thành phố Thanh Hóa,private_room,13,,,,False,,/ đêm,2.0,,,,True,,True,,,,,,True,,True,,330.941,₫330.941,True,,,,,,True,,,True,,True,True,,,,,,,,,,
37921846,https://www.airbnb.com.vn/rooms/37921846,"5,0",Ninh Bình,10,20.21622,105.93869,REGULAR,,TRUNG tâm TAMCOC - Phòng đôi sang trọng với giường King,private_room,7,True,True,4,False,,/ đêm,2.0,,,,True,,True,,,False,False,,True,True,True,,330.941,₫330.941,,,,,False,,,,,True,,,True,,,,,,,,,,
854034696516995627,https://www.airbnb.com.vn/rooms/854034696516995627,,Ninh Xuân,27,20.25338,105.93265,REGULAR,,Nhà gỗ tre có hướng nhìn ra bể bơi,private_room,,False,True,,False,,/ đêm,2.0,True,True,,True,True,True,True,True,,False,,True,,,,350.798,₫350.798,,,,,,,,,,,,,,,,,,,,,,,
38074845,https://www.airbnb.com.vn/rooms/38074845,"4,76",Ninh Bình,27,20.24541,105.93608,REGULAR,,Phòng King Sống cùng gia đình bản xứ sang trọng 1: WIFi nhanh,private_room,21,False,True,4,False,,/ đêm,2.0,True,,,True,,True,,True,False,False,True,True,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,
48061820,https://www.airbnb.com.vn/rooms/48061820,"4,8",Mai Châu,12,20.643387,105.075859,REGULAR,,An Bungalow - Phong 1,private_room,5,False,False,2,False,,/ đêm,2.0,True,,,True,,True,True,True,False,False,,,,True,,416.530,₫416.530,True,,True,,,,,,,,,,,,,,,,,,,,
33296496,https://www.airbnb.com.vn/rooms/33296496,"5,0",Ninh Bình,26,20.26585,105.9422,REGULAR,,Sống cùng gia đình bản xứ của anh trai - Phòng đôi,private_room,6,True,True,4,False,,/ đêm,2.0,,True,,True,,True,,,,,,,True,True,True,341.212,₫341.212,True,,True,,False,,,,,,,,,,,True,,,,,,,
39348682,https://www.airbnb.com.vn/rooms/39348682,"4,86",Hoa Lư,30,20.2173,105.92922,REGULAR,,Biệt thự Tam Cốc Amanda,private_room,28,True,True,4,False,,/ đêm,16.0,,True,,True,,True,True,,,False,True,True,True,,,399.412,₫399.412,True,,,,False,,,,,,,,,,,,,,,,,,
33007596,https://www.airbnb.com.vn/rooms/33007596,"4,99",Hoa Lư,18,20.24383,105.93713,REGULAR,,Hà Lan Homestay - Phòng đôi với bữa sáng miễn phí,hotel_room,114,,,,False,,/ đêm,2.0,,,,True,,True,,,False,False,,,,True,,434.523,₫434.523,,,True,,,,True,,,,,,,,,,,,,,,,
25267792,https://www.airbnb.com.vn/rooms/25267792,"4,62",Hoa Lư,24,20.21823,105.9344,REGULAR,,"Sống cùng gia đình bản xứ Amira, phòng SINH đôi với tầm nhìn ra vườn",private_room,13,False,True,5,False,,/ đêm,2.0,True,,,True,,True,,,False,False,,,,True,,365.177,₫365.177,,,,,,,True,,,,,,,,,,,,,,,,
