room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_SNOWFLAKE,SYSTEM_BATHTUB,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_WASHER,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_FLOWER,SYSTEM_PETS,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_TV,SYSTEM_FIREPLACE,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_VIEW_OCEAN,SYSTEM_DRYER,SYSTEM_FIREPIT,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_SAUNA
691103153906907763,https://www.airbnb.com.vn/rooms/691103153906907763,"5,0",thành phố Bến Tre,24,10.2666437,106.3395663,REGULAR,,Dreamy Room - Nhà Mơ Homestay Bến Tre,private_room,8,True,True,7,False,,/ đêm,456.471,₫456.471,2.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,
893130049876329687,https://www.airbnb.com.vn/rooms/893130049876329687,,Thành phố Mỹ Tho,30,10.359121047169536,106.35640762746334,REGULAR,,𝗠𝗔𝗠𝗔 𝗬𝗔𝗡𝗚 𝗠𝗬𝗧𝗛𝗢 𝟮𝗽𝗮𝘅.𝗽𝗿𝗶𝘃𝗮te,private_room,,,,,False,,/ đêm,241.359,₫241.359,2.0,,True,True,,True,True,,,False,False,True,True,True,True,,,,,,,,,,,,,
42417319,https://www.airbnb.com.vn/rooms/42417319,"4,8",Bến Tre,30,10.22011,106.38299,REGULAR,,Stilt house - Hide Away Bungalow,private_room,5,False,True,3,False,,/ đêm,319.530,₫319.530,4.0,,True,True,,True,,,,False,False,,True,,,True,True,False,,,,,,,,,,
14887208,https://www.airbnb.com.vn/rooms/14887208,"4,86",tp. Bến Tre,30,10.2274,106.39228,REGULAR,,Ba Danh Home,private_room,46,True,True,7,False,,/ đêm,376.588,₫376.588,2.0,True,True,True,,,,,,False,,True,,,,,True,,True,True,True,True,,,,,,
37143357,https://www.airbnb.com.vn/rooms/37143357,"4,94",thành phố Bến Tre,30,10.2021,106.44456,REGULAR,,Nhà nông trại Coco Happy,private_room,34,True,True,7,False,,/ đêm,351.818,₫351.818,6.0,True,True,True,True,True,,,True,False,False,,,,,True,True,,,,,,,,,,,
890932071966341062,https://www.airbnb.com.vn/rooms/890932071966341062,,Châu Thành,30,10.45178,106.50852,REGULAR,,Một vùng quê gần thành phố HCM,private_room,,,,,False,,/ đêm,,,2.0,,True,True,True,True,True,,True,False,False,True,,,,,,,True,,,,,,,,,
833598761009394855,https://www.airbnb.com.vn/rooms/833598761009394855,,Bến Tre,30,10.220326999864543,106.38247281224903,REGULAR,,Studio Cabin với tầm nhìn ra vườn,entire_home,,,,,False,,/ đêm,456.471,₫456.471,2.0,,True,True,True,True,,,True,False,False,,,,,True,True,,,,,,True,,,,,
34833660,https://www.airbnb.com.vn/rooms/34833660,"4,67",Mỹ Tho,30,10.33374,106.32848,REGULAR,,Sống cùng gia đình bản xứ Ve Nha Chu,private_room,3,False,False,4,False,,/ đêm,345.741,₫345.741,12.0,,True,True,True,,,,,False,False,True,True,,,,,False,,,,True,,,,,,
22001130,https://www.airbnb.com.vn/rooms/22001130,"4,79",My Tho,28,10.37227,106.29864,REGULAR,,HAPPY FARM TIEN GIANG HOMESTAY,private_room,14,,,,False,,/ đêm,416.530,₫416.530,16.0,,True,True,True,True,,,,False,False,True,,,,,True,,True,,,,,True,,,,
880765874070716355,https://www.airbnb.com.vn/rooms/880765874070716355,,Hang Kia,7,10.287420501375857,106.4459079131484,REGULAR,,một ngôi nhà thoáng mát,private_room,,,,,False,,/ đêm,,,16.0,,True,True,,True,,,True,False,False,,,,True,,,,,True,,,,,True,,,
30813940,https://www.airbnb.com.vn/rooms/30813940,,Chau Thanh District,30,10.36199,106.30926,REGULAR,,Phòng quạt/Fanroom 1 khách-Bầu Bí Homestay TG,private_room,1,False,True,3,False,,/ đêm,264.753,₫264.753,1.0,,True,True,True,True,,,True,False,False,,,,,,True,False,,,,,,,,True,,
38195574,https://www.airbnb.com.vn/rooms/38195574,"5,0",thành phố Bến Tre,30,10.19399,106.44407,REGULAR,,Nhà nông trại Coco Happy,private_room,5,True,True,7,False,,/ đêm,351.818,₫351.818,2.0,True,True,True,True,True,,,,False,False,,,,,True,True,,True,,,,,,,,,
43773249,https://www.airbnb.com.vn/rooms/43773249,,Thành phố Mỹ Tho,4,10.37569,106.36812,REGULAR,,"Khách sạn trung tâm, rộng rãi giá rẻ nhất Mỹ Tho",private_room,,,,,False,,/ đêm,268.177,₫268.177,16.0,,,True,,True,True,,,False,False,,,,,,,,True,,,True,,,,,,
39975643,https://www.airbnb.com.vn/rooms/39975643,"4,82",Đông Hòa Hiệp,30,10.33366,106.0402,REGULAR,,Sống cùng gia đình bản xứ Thu Huỳnh - Cái Bè,private_room,17,,,,False,,/ đêm,347.972,₫347.972,9.0,,,True,,True,True,,,False,False,True,,,,True,True,,True,,,,,True,,,,
843443942865216857,https://www.airbnb.com.vn/rooms/843443942865216857,,Thành phố Tân An,5,10.49263,106.37326,REGULAR,,Hải Đăng Hotel phục vụ 24/24,private_room,,,,,False,,/ đêm,285.294,₫285.294,15.0,,,True,True,True,True,,True,False,False,,,,,,,,True,,,,,,,,,
647239140424038529,https://www.airbnb.com.vn/rooms/647239140424038529,,Mỹ Tho,10,10.390022493092703,106.31015595048666,REGULAR,,Homestay hoa đậu biếc,entire_home,,,,,False,,/ đêm,285.294,₫285.294,2.0,,,True,,,,,True,False,False,,,,,,,,,,,,,,,,True,
751727971765053517,https://www.airbnb.com.vn/rooms/751727971765053517,,An Bình,28,10.263215828326803,105.96183923702624,REGULAR,,Mekong Riverside HomeStay tốt nhất ở Vĩnh Long,private_room,,False,False,,False,,/ đêm,456.471,₫456.471,1.0,True,True,True,True,,,,,False,False,True,,,,,,,True,,,,,,,True,True,
32158118,https://www.airbnb.com.vn/rooms/32158118,,Mytho,7,10.43468,106.34079,REGULAR,,Phòng Lily,private_room,,False,False,,False,,/ đêm,285.294,₫285.294,2.0,True,True,True,,True,,,,False,False,,,,,,True,,True,,,,,True,,,True,
32390160,https://www.airbnb.com.vn/rooms/32390160,"4,88",Thành phố Mỹ Tho,30,10.35983,106.35683,REGULAR,,Mama Yang Hideaway Alley MyTho(2pax. Private Room),private_room,8,False,True,4,False,,/ đêm,270.527,₫270.527,2.0,True,True,True,True,True,True,,,False,False,,,True,True,,,,,,,,,,,,,
849668931905548550,https://www.airbnb.com.vn/rooms/849668931905548550,,Thị xã Gò Công,5,10.348787564336725,106.68713506311178,REGULAR,,Nhà phố ven sông ROM,private_room,,False,True,,False,,/ đêm,285.294,₫285.294,6.0,,True,True,True,True,True,,True,False,,True,,,,,,False,True,,,,,,,,,
873480155304539396,https://www.airbnb.com.vn/rooms/873480155304539396,,Thành phố Vĩnh Long,18,10.2315505,105.9476972,REGULAR,,"Sạch sẽ, tiện nghi, thoáng mát",private_room,,,,,False,,/ đêm,,,14.0,,,True,,True,True,,True,False,False,,,,,,,,True,,,,,,,,,
18454577,https://www.airbnb.com.vn/rooms/18454577,,Thành phố Vĩnh Long,30,10.22547,105.95358,REGULAR,,Nhà nghỉ Bách Hợp,private_room,,,,,False,,/ đêm,353.319,₫353.319,2.0,,,True,,True,,,True,False,False,,,,,True,,,True,,,,True,,,,,True
27030332,https://www.airbnb.com.vn/rooms/27030332,,Cai Lậy,30,10.31895,106.0389,REGULAR,,Gia đình Mekong Nam Giang có chỗ nghỉ phục vụ bữa sáng,private_room,2,False,False,5,False,,/ đêm,346.494,₫346.494,16.0,,True,True,,True,True,,,False,False,True,,,,,True,False,,,,,,,,True,,
29872560,https://www.airbnb.com.vn/rooms/29872560,,Thành phố Mỹ Tho,11,10.34188,106.36361,REGULAR,,Mekong Homestay,private_room,,False,True,,False,,/ đêm,389.742,₫389.742,4.0,True,True,True,,True,True,,,False,,,,,,,,,,,,True,,True,,,,
37104307,https://www.airbnb.com.vn/rooms/37104307,,Gò Công,30,10.35769,106.67474,REGULAR,,Sống cùng gia đình bản xứ GoCong_Góc nhìn nhanh_Thị trấn cổ Mekong,private_room,,False,False,,False,,/ đêm,401.495,₫401.495,2.0,True,True,True,,True,True,,,False,False,True,,,,,True,,True,,,,,,,,,
842113438086906791,https://www.airbnb.com.vn/rooms/842113438086906791,,Châu Thành,5,10.25995,105.87586,REGULAR,,Ô La Lá Homestay,private_room,,False,True,,False,,/ đêm,433.647,₫433.647,2.0,True,True,True,True,True,True,,,False,False,True,,,,,,,,,,,,,,,,
25553042,https://www.airbnb.com.vn/rooms/25553042,,Bến Tre,30,10.28338,106.26157,REGULAR,,Sống cùng gia đình bản xứ Ve Nha,private_room,,,,,False,,/ đêm,268.177,₫268.177,16.0,,True,True,,True,,,,False,False,True,,,,,True,,,,True,,,True,,True,,
23822429,https://www.airbnb.com.vn/rooms/23822429,,Thành phố Tân An,6,10.51643,106.4257,REGULAR,,Nhà riêng Kim Minh phòng đẹp trọn vẹn,private_room,,False,False,,False,,/ đêm,401.495,₫401.495,1.0,,True,True,,True,True,,,False,False,True,,,,,,False,,,,,,,,,,
32757905,https://www.airbnb.com.vn/rooms/32757905,,Châu Thành,5,10.30514,106.39509,REGULAR,,"nhà nghỉ Thanh Tùng
số đt:0907967425",private_room,,,,,False,,/ đêm,342.353,₫342.353,16.0,,,True,,True,True,,,False,False,,,,True,True,,,True,,,,,,True,,True,
42399634,https://www.airbnb.com.vn/rooms/42399634,,thành phố Bến Tre,7,10.23143,106.35913,REGULAR,,Bến Tre - Ngôi nhà hạnh phúc,private_room,,False,False,,False,,/ đêm,285.294,₫285.294,2.0,True,True,True,,True,,,,False,False,True,,,,,,,True,,,,,True,,,True,
41845441,https://www.airbnb.com.vn/rooms/41845441,,,6,10.21514,106.48425,REGULAR,,"Room 4 foreigner to discover Bentre, Mekong ^ VN",private_room,,False,False,,False,,/ đêm,267.664,₫267.664,2.0,,True,True,,True,,,True,False,False,True,,,,,,False,True,,,,,,,,,
