room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_WASHER,SYSTEM_FIREPIT,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_OCEAN,SYSTEM_TV,SYSTEM_SNOWFLAKE,rating,reviewCount,price,price_full,SYSTEM_PETS,SYSTEM_FIREPLACE,SYSTEM_HAIRDRYER,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_VIEW_CITY,SYSTEM_COOKING_BASICS,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_POOL,SYSTEM_REFRIGERATOR,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_EV_CHARGER,SYSTEM_PATIO_BALCONY
884526696863649173,https://www.airbnb.com.vn/rooms/884526696863649173,Na Hang,30,22.4604,105.24203,REGULAR,,P. Tiêu chuẩn-Kéo Nàng homestay,entire_home,False,,/ đêm,2.0,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,
888807169697772883,https://www.airbnb.com.vn/rooms/888807169697772883,Thành phố Yên Bái,8,21.7763774,104.920076,REGULAR,,Mountain Breath Retreat Homestay,private_room,False,,/ đêm,2.0,True,True,True,True,,True,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,
30189901,https://www.airbnb.com.vn/rooms/30189901,Hàm Yên,15,22.02764,105.04186,REGULAR,,Khách sạn Nam Phong Hàm Yên,private_room,False,,/ đêm,10.0,True,True,True,True,,,False,,,True,True,"5,0",5,342.353,₫342.353,True,True,True,,,,,,,,,,,,,,
642421621683881752,https://www.airbnb.com.vn/rooms/642421621683881752,Thành phố Yên Bái,14,21.77638,104.92008,REGULAR,,Homestay Am Núi Thở,private_room,False,,/ đêm,8.0,True,True,True,,,True,False,False,True,,,,,,,,,,False,False,True,True,,,,,,,,,,
818418900354447025,https://www.airbnb.com.vn/rooms/818418900354447025,Thành phố Hà Giang,30,22.661279929290636,105.05255598574877,REGULAR,,Quanba Taigoo - HomeStay,private_room,False,,/ đêm,16.0,True,True,True,,,True,False,False,,,,,,235.597,₫235.597,,,,False,True,,True,True,True,False,,,,,,,
888819559957655745,https://www.airbnb.com.vn/rooms/888819559957655745,Yên Bình,5,21.82766,105.01202,REGULAR,,Vu Linh Homestay,private_room,False,,/ đêm,3.0,True,,True,True,True,True,False,False,,,True,,,,,,,,,,,,,,,,,,,,,
854823115377227076,https://www.airbnb.com.vn/rooms/854823115377227076,Thượng Lâm,30,22.47205,105.33691,REGULAR,,Trải nghiệm gia đình bộ lạc Tây & chèo thuyền kayak,shared_room,False,,/ đêm,9.0,True,True,True,,,,False,False,True,,,,,382.319,₫382.319,,,,,,,,,True,,True,True,,,,,
777392741235728934,https://www.airbnb.com.vn/rooms/777392741235728934,Bắc Quang,30,22.26075,104.89425,REGULAR,,Nông trại xanh,entire_home,False,,/ đêm,6.0,True,True,True,,,True,False,False,True,,,,,342.353,₫342.353,,,,,,,True,,True,,True,,,,,,
879377687780504532,https://www.airbnb.com.vn/rooms/879377687780504532,Na Hang,12,22.36336,105.39244,REGULAR,,Phòng riêng ở trung tâm Na Hang,private_room,False,,/ đêm,16.0,True,True,True,True,,True,False,False,True,,True,,,,,,,,,,,,,True,,,,,,,,
779202710807938685,https://www.airbnb.com.vn/rooms/779202710807938685,Chiêm Hóa,11,22.3173,105.21205,REGULAR,,Nhà Trung Quốc,entire_home,False,,/ đêm,4.0,,True,True,,True,,False,False,,,,,,341.212,₫341.212,,,,,,,,,,,,,True,,,,
19418588,https://www.airbnb.com.vn/rooms/19418588,tt. Vĩnh Lộc,13,22.14855,105.27191,REGULAR,,Nơi đây cách trung tâm Ma Sỹ vài phút,private_room,False,,/ đêm,1.0,True,,True,True,,,,,,True,True,,,321.194,₫321.194,,True,,False,True,True,,,True,,,,,True,True,,
