room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_TV,SYSTEM_VIEW_OCEAN,SYSTEM_BATHTUB,SYSTEM_ELEVATOR,SYSTEM_HAIRDRYER,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_CALENDAR,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_FIREPLACE,SYSTEM_BEACH,SYSTEM_TOYS,SYSTEM_FIREPIT
37904078,https://www.airbnb.com.vn/rooms/37904078,"4,65",,30,10.03242,105.78672,REGULAR,,Toàn bộ quê hương phải của Gi ngay trung tâm Cần Thơ,entire_home,81,False,,/ đêm,746.471,₫746.471,4.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845200553024497606,https://www.airbnb.com.vn/rooms/845200553024497606,"5,0",Ninh Kiều,30,10.000828625103532,105.73976509273052,REGULAR,,Cabin chợ nổi,entire_home,7,False,,/ đêm,445.059,₫445.059,2.0,,True,True,True,True,,True,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
37536131,https://www.airbnb.com.vn/rooms/37536131,"4,77",Ninh Kiều,30,9.997529029846191,105.71212768554688,REGULAR,,SÂN NHÀ VEN SÔNG YÊN BÌNH SỐNG CÙNG GIA ĐÌNH BẢN XỨ Ở ĐỒNG BẰNG SÔNG CỬU LONG,private_room,53,False,,/ đêm,755.459,₫755.459,2.0,,True,,True,True,True,,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
656121159551893877,https://www.airbnb.com.vn/rooms/656121159551893877,"4,57",Ninh Kiều,17,10.0151048,105.768827,REGULAR,,Nhà Hué,entire_home,14,False,,/ đêm,627.647,₫627.647,6.0,True,True,True,True,True,,True,,False,False,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
809622572315695205,https://www.airbnb.com.vn/rooms/809622572315695205,"5,0",Ninh Kiều,29,10.02691,105.75125,REGULAR,,"Nhà 1 phòng ngủ, đủ tiện nghi, ở trung tâm 1",entire_home,6,False,,/ đêm,,,2.0,True,True,True,True,True,True,,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
720625376524611593,https://www.airbnb.com.vn/rooms/720625376524611593,"5,0",Ninh Kiều,7,10.03305,105.78108,REGULAR,,Studio giường đôi tối đa BR3,private_room,6,False,,/ đêm,610.073,₫610.073,2.0,True,True,True,True,,True,,True,False,False,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,
41049835,https://www.airbnb.com.vn/rooms/41049835,"4,68",Cần Thơ,30,10.03422,105.77692,REGULAR,,STUDIO TROPIC 2 CÓ BAN CÔNG SAU,private_room,22,False,,/ đêm,,,2.0,True,True,,,,True,True,,,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
22849543,https://www.airbnb.com.vn/rooms/22849543,"4,96",,23,9.97724,105.71513,REGULAR,,Eco stay on Mekong river of smilesfew have seen 2,private_room,82,False,,/ đêm,809.605,₫809.605,2.0,True,True,,True,,True,True,,False,,,,True,,,,True,True,True,,,,,,,,,,,,,,,,,,,
888313076424569428,https://www.airbnb.com.vn/rooms/888313076424569428,,Ninh Kiều,7,10.04124,105.78623,REGULAR,,Maison de Léa - Homestay & Coffee Can Tho 2,entire_home,,False,,/ đêm,,,10.0,True,True,,,,True,True,True,False,False,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,,
51425933,https://www.airbnb.com.vn/rooms/51425933,"5,0",Thành phố Vĩnh Long,30,10.25892162322998,105.99610137939453,REGULAR,,Homestay & Tour khám phá đồ gốm đồng bằng sông Cửu Long | Thân thiện với môi trường,private_room,11,False,,/ đêm,798.824,₫798.824,2.0,True,True,True,True,,,True,,False,False,True,,,,,,,,,True,,False,True,2,True,,,,,,,,,,,,,
