room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_MOUNTAIN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_SNOWFLAKE,SYSTEM_FIREPIT,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_WASHER,SYSTEM_VIEW_CITY,SYSTEM_TV,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_DRYER,SYSTEM_ELEVATOR,SYSTEM_BOAT_SAIL,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BATHTUB,SYSTEM_FIREPLACE,SYSTEM_MAPS_RESORT,SYSTEM_SMOKING_ALLOWED,SYSTEM_CALENDAR,SYSTEM_GYM,SYSTEM_GOLF,SYSTEM_EV_CHARGER,SYSTEM_BEACH,SYSTEM_PIANO
744468782049064889,https://www.airbnb.com.vn/rooms/744468782049064889,"4,75",Minh Phú,13,21.27816,105.77684,REGULAR,,"Oliu home, một nơi nghỉ dưỡng hoàn hảo để thư giãn",entire_home,20,False,,/ đêm,1.529,₫1.529.177,2,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37821385,https://www.airbnb.com.vn/rooms/37821385,"4,89",Sóc Sơn,30,21.294235229492188,105.76155853271484,REGULAR,,Căn hộ nó (2 thùng chứa 40ft),entire_home,53,False,,/ đêm,,,4,,True,True,,True,True,,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886491261345483331,https://www.airbnb.com.vn/rooms/886491261345483331,,Tam Đảo,28,21.45300378083656,105.63818693581212,REGULAR,,Samma Stay Tam Đảo - Private Mountain Cabin for 2,entire_home,,False,,/ đêm,,,2,True,,True,,True,,,True,False,False,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
680276298431818683,https://www.airbnb.com.vn/rooms/680276298431818683,"5,0",Thành phố Vĩnh Yên,6,21.3170182,105.6130974,REGULAR,,Nơi bình yên giữa Thành phố!,private_room,7,False,,/ đêm,342.353,₫342.353,2,,True,True,,True,,,,False,False,,,,True,,False,True,9,True,True,,,,,,,,,,,,,,,,,,,,,
740798436221615329,https://www.airbnb.com.vn/rooms/740798436221615329,"4,62",Quang Tiến,20,21.2182863,105.7818496,REGULAR,,"Thanh Huong 99 - Noi Bai, Ha Noi, Viet Nam (301)",private_room,26,False,,/ đêm,319.530,₫319.530,2,,True,True,True,True,,,,,,,,True,True,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,
29172819,https://www.airbnb.com.vn/rooms/29172819,"4,67",Minh Phú,30,21.29407,105.7855,REGULAR,,Nhà Bên Rừng (U Lesa) - Nhà Quả Thông Lớn,entire_home,30,False,,/ đêm,2.518,₫2.518.800,2,,True,True,,True,,,,False,False,True,,,True,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,
886511734915123029,https://www.airbnb.com.vn/rooms/886511734915123029,,Sóc Sơn,11,21.31441,105.76788,REGULAR,,Bình Yên Cottages 3PN Hồ Đồng Đò,entire_home,,False,,/ đêm,,,8,,True,True,True,True,True,,,False,False,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
887908461592760324,https://www.airbnb.com.vn/rooms/887908461592760324,,Phú Cường,5,21.21534,105.78135,REGULAR,,xin chao quy khach,private_room,,False,,/ đêm,,,2,,True,True,True,True,,,,False,,,,True,True,,,,,,True,,True,,,,,True,,,,,,,,,,,,,,
877201080946112118,https://www.airbnb.com.vn/rooms/877201080946112118,,Phúc Yên,15,21.30911,105.72833,REGULAR,,NACY Farmhouse w/3BR Perfect 4 City Breaks!,entire_home,,False,,/ đêm,3.437,₫3.437.649,12,,True,True,,True,True,,True,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28038121,https://www.airbnb.com.vn/rooms/28038121,"4,75",Thị xã Phúc Yên,30,21.33619,105.71703,REGULAR,,Biệt thự Big Familly ở Đại Lai Flamingo Resort,entire_home,12,False,,/ đêm,5.255,₫5.255.061,16,,True,True,,True,True,,,False,False,,True,,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,
569217062052841397,https://www.airbnb.com.vn/rooms/569217062052841397,"5,0",Phúc Yên,30,21.33812,105.71729,REGULAR,,Biệt thự rộng rãi 3 pho ̀ ng ngu ̉ co ́ tầm nhìn ra hồ bơi (Đại Lải),entire_home,7,False,,/ đêm,4.541,₫4.541.884,10,,True,True,,True,True,True,,False,,,True,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,
17753541,https://www.airbnb.com.vn/rooms/17753541,"5,0",Phúc Yên,14,21.332891,105.717422,REGULAR,,Biệt thự Kita Flamingo Đại Lải resort lakeside <3,entire_home,4,False,,/ đêm,4.116,₫4.116.708,8,,True,True,True,True,True,,,,,,True,,,,,,,,True,,True,,,,,True,True,,,,,,,,,,,,,
