room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_SAUNA,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_BREAKFAST,SYSTEM_PETS,SYSTEM_VIEW_MOUNTAIN,SYSTEM_GOLF,SYSTEM_MAPS_RESORT,SYSTEM_DRYER,SYSTEM_FIREPLACE,SYSTEM_SKI,SYSTEM_BOAT_SAIL,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_EV_CHARGER,SYSTEM_HIGH_CHAIR,SYSTEM_CALENDAR,SYSTEM_BATHTUB
687194888794168899,https://www.airbnb.com.vn/rooms/687194888794168899,"4,39",Vũng Tàu,30,10.350296102179662,107.09663919154055,REGULAR,,CĂN HỘ SÓNG PHÒNG TẬP THỂ DỤC HỒ BƠI MIỄN PHÍ SAUNA-COCOHOME,entire_home,23,False,,/ đêm,598.513,₫598.513,7,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889797185407442597,https://www.airbnb.com.vn/rooms/889797185407442597,,Vũng Tàu,22,10.349322205341872,107.09437787532806,REGULAR,,Luxury 2 BRS The Sóng - Free Swimming Pool & Gym,entire_home,,False,,/ đêm,573.412,₫573.412,4,True,True,True,True,,True,,True,,,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
563292479843246345,https://www.airbnb.com.vn/rooms/563292479843246345,"4,83",Vũng Tàu,12,10.354328,107.088593,REGULAR,,"Lily House - Green Garden, 01 phòng ngủ, phòng tắm riêng",private_room,48,False,,/ đêm,285.000,₫285.000,2,,,True,True,True,,,,,,True,,,False,True,True,4,True,True,True,False,,,,,,,,,,,,,,,,,,,,
879255939468191780,https://www.airbnb.com.vn/rooms/879255939468191780,,Vũng Tàu,30,10.3500727,107.0959372,REGULAR,,ANest The Sóng Vũng Tàu - Studio 2.20,entire_home,,False,,/ đêm,566.349,₫566.349,4,True,True,True,True,True,True,,True,,,True,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
888306396496304712,https://www.airbnb.com.vn/rooms/888306396496304712,,Vũng Tàu,8,10.33697,107.08165,REGULAR,,An Home - Phòng đơn ngay bãi sau,private_room,,False,,/ đêm,,,2,True,True,True,,True,,,,,True,,,,,,,,,True,True,,,True,True,,,,,,,,,,,,,,,,,
890465596728511967,https://www.airbnb.com.vn/rooms/890465596728511967,,Vũng Tàu,10,10.3307135,107.0831388,REGULAR,,Home giường đơn cách biển 7p bộ,private_room,,False,,/ đêm,,,2,,,True,,,,,,True,True,,,,False,,,,,True,,False,,True,,True,True,True,,,,,,,,,,,,,,
790869498126036084,https://www.airbnb.com.vn/rooms/790869498126036084,"5,0",Vũng Tàu,30,10.350001634631957,107.09611427038908,REGULAR,,𝐓𝐡𝐞 𝐒𝐨́𝐧𝐠 𝐀𝐩𝐚𝐫𝐭𝐦𝐞𝐧𝐭 -Căn hộ The Sóng 1PN lớn+PN Nhỏ,entire_home,12,False,,/ đêm,,,4,True,True,True,True,,True,,True,,,True,,True,False,,,,,,,,,,,,,,True,,,,,,,,,,,,,
37301934,https://www.airbnb.com.vn/rooms/37301934,"4,82",Thành phố Vũng Tàu,11,10.36402,107.06177,REGULAR,,Jasmine Homestay - Căn hộ SeaView đẹp,entire_home,94,False,,/ đêm,783.334,₫783.334,3,True,True,True,,,,,True,True,True,,True,,,,,,,True,True,,,,,,,,,True,,,,,,,,,,,,
758412105917430968,https://www.airbnb.com.vn/rooms/758412105917430968,"4,76",Vũng Tàu,18,10.35073,107.0956,REGULAR,,"Căn Hộ The Sóng- Miễn Phí Hồ Bơi,Gym,Sauna",entire_home,34,False,,/ đêm,851.859,₫851.859,6,True,True,True,True,True,True,True,,,,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
54101084,https://www.airbnb.com.vn/rooms/54101084,"4,87",Vũng Tàu,10,10.33671,107.0872,REGULAR,,An Gia 2 - Căn hộ Melody,private_room,15,False,,/ đêm,,,4,,True,True,True,True,,,True,True,True,,,,False,False,True,3,True,,,,True,,,,,,,,,,,,,,,,,,,
