room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,rating,reviewCount,yearHosting,price,price_full,SYSTEM_COOKING_BASICS,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_VIEW_CITY,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_REFRIGERATOR,SYSTEM_MICROWAVE,SYSTEM_ELEVATOR,SYSTEM_SAUNA,SYSTEM_BREAKFAST,SYSTEM_BEACH,SYSTEM_JACUZZI,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_CRIB,SYSTEM_FIREPIT,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_SKI,SYSTEM_PIANO,SYSTEM_BATHTUB
888807169697772883,https://www.airbnb.com.vn/rooms/888807169697772883,Thành phố Yên Bái,8,21.7763774,104.920076,REGULAR,,Mountain Breath Retreat Homestay,private_room,False,,/ đêm,2,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642421621683881752,https://www.airbnb.com.vn/rooms/642421621683881752,Thành phố Yên Bái,14,21.77638,104.92008,REGULAR,,Homestay Am Núi Thở,private_room,False,,/ đêm,8,True,True,True,True,,,,True,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18487010,https://www.airbnb.com.vn/rooms/18487010,Yên Phụ,16,21.05487,105.83704,REGULAR,,Sống cùng gia đình bản xứ Kim Hà Nội 4,private_room,False,,/ đêm,2,,True,True,True,True,True,,,False,False,True,True,True,,"4,6",63,6,321.187,₫321.187,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
36722199,https://www.airbnb.com.vn/rooms/36722199,Thanh Nhàn,14,21.00339,105.86218,REGULAR,,Ngôi nhà ấm cúng trong cửa sổ rộng ở giữa - Góc nhìn thoáng mát. R #302,private_room,False,,/ đêm,2,,True,True,,,True,True,,False,False,True,True,True,,"4,76",42,4,321.187,₫321.187,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,
661914022530614120,https://www.airbnb.com.vn/rooms/661914022530614120,Đống Đa,13,21.02345,105.83146,REGULAR,,Yue 越 HOMESTAY #2 @yueviet,private_room,False,,/ đêm,2,True,True,True,True,True,,True,True,False,,True,True,True,,"4,98",62,2,433.983,₫433.983,,,,,True,,,,,,,,,,,,,,,,,,,,,,
665790698932957015,https://www.airbnb.com.vn/rooms/665790698932957015,Từ Liêm,8,21.03141,105.77266,REGULAR,,"Căn hộ tươi mới tại Mỹ Đình, Hà Nội",private_room,False,,/ đêm,2,,True,True,True,,True,True,True,False,False,,,,,"5,0",3,,346.606,₫346.606,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
891673992976938536,https://www.airbnb.com.vn/rooms/891673992976938536,Tây Hồ,23,21.06232,105.83261,REGULAR,,Vitamin Home~Beauty daisy room,private_room,False,,/ đêm,2,,True,True,,True,True,True,True,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
34748111,https://www.airbnb.com.vn/rooms/34748111,Ba Đình,18,21.04581,105.8106,REGULAR,,Studio đẹp gần Westlake và nhiều đường phố chính,entire_home,False,,/ đêm,2,True,True,True,,True,True,,,False,False,,,,,"4,9",79,,374.726,₫374.726,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,
17193612,https://www.airbnb.com.vn/rooms/17193612,,10,21.01208,105.8404,REGULAR,,Ấm cúng,private_room,False,,/ đêm,3,True,True,True,True,True,True,,,False,,False,True,True,,"4,44",59,7,254.282,₫254.282,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
737539223434077240,https://www.airbnb.com.vn/rooms/737539223434077240,Hoàn Kiếm,11,21.02093,105.85956,REGULAR,,Ánh sáng mặt trời tự nhiên ở Hoàn Kiếm,private_room,False,,/ đêm,2,,True,True,,True,True,True,True,False,,False,True,True,,"4,83",23,9,441.436,₫441.436,True,,,True,,,,,,,,,,,,,,,,,,,,,,,
