High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,8,0,Private luxury villa with pool,0,108.24821656801556,0,True,0,24,0,0,5,0,0,0,10.969782625074686,0,0,$160,2,0,0,1,1,0,0,Haiphong,$160,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,6,1,Apartment in the city center,0,108.09729105,0,True,0,10,0,0,0,0,0,0,10.93942501,0,0,$40,0,0,1,1,1,0,0,Haiphong,$40,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,Villa,0,0,0,0,12,1,Biệt thự nghỉ dưỡng Mũi Né - Sea Villa D3 - Resort Villa Muine Domaine,0,108.17334931,1,True,0,37,1,0,1,0,1,0,10.93885301,0,1,$240,1,0,1,1,1,0,1,Haiphong,$240,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Resort,0,0,0,0,2,1,ALLEZBOO HOMESTAY-FRENCH COLONIAL-STYLE RESORT,0,108.189982,0,True,0,42,0,0,0,0,1,0,10.93908,0,1,$148,0,0,1,1,1,0,1,Haiphong,$148,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,8,0,The House with 3 bedrooms and big garden,0,108.2724382869385,1,True,0,42,1,0,5,0,1,0,10.944452795215668,0,1,$90,1,0,1,1,1,0,1,Haiphong,$90,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,6,0,Stunning Eco-Friendly Retreat in Nature (Pet-Friendly!),0,108.24588684,0,True,0,16,0,0,0,0,0,0,10.96960162,0,1,$71,0,0,0,1,1,0,0,Haiphong,$71,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Guest house,0,0,0,0,4,0,Quadruple room - Hoang Sang Homestay,0,108.29093452,0,True,0,9,0,0,0,0,0,0,10.93017596,0,0,$29,0,0,0,1,1,0,0,Binhthuan,$29,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Guest house,0,0,0,0,4,0,Family Room - Bot Bien Homestay,0,108.29162171,0,True,0,7,0,0,0,0,0,0,10.93485881,0,0,$26,0,0,0,1,1,0,0,Binhthuan,$26,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,9,0,Fisherman Village Boutique Villas - Beachfront,0,107.64766995,0,True,0,41,0,0,0,0,0,0,10.60432052,0,0,$134,0,0,0,1,1,0,0,Binhthuan,$134,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,1,0,0,6,1,3 Bedrooms House and big garden,0,108.25426163068846,0,True,0,23,0,0,5,0,1,0,10.952964103350949,0,1,$90,1,0,1,1,1,0,1,Binhthuan,$90,0,0,1,0,1,0,0
