High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,1,0,0,Apartment,0,0,0,0,4,1,2 Bedrooms Apartment Watching Dragon Bridge Fire,0,108.230778461377,0,True,0,25,0,0,0.0,0,0,0,16.063278420442693,0,0,$27,0,0,0,1,1,0,0,Danang,$27,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,Bed & breakfast,0,0,0,0,2,1,"Homestay Hoa Thu - 80 Ngo Quyen, Hoi An ",0,108.32762534,0,True,0,34,0,0,0.0,0,0,0,15.87664609,0,0,$15,0,1,0,1,1,0,0,Danang,$15,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,Apartment,0,0,0,0,7,0,Ocean View 100m2 King Bed 20th Floor In Sheraton,0,108.24837061,0,True,0,9,0,0,0.0,0,0,0,16.08085796,0,1,$85,0,0,1,1,1,0,0,Danang,$85,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,Apartment,0,0,0,0,5,0,Amazing Wide Ocean View 2 Bedrooms Chiic Apartment,0,108.2488509,0,True,0,37,0,0,0.0,0,1,0,16.05038622,0,1,$43,0,0,1,1,1,0,1,Danang,$43,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,Apartment,0,1,0,0,2,1,Luxury 1BR with sweeping ocean view,0,108.2802414894104,0,True,0,15,0,0,5.0,0,1,0,15.974119536968352,0,1,$61,1,0,1,1,1,0,1,Danang,$61,0,1,1,0,0,0,1
0,0,0,0,1,0,0,1,0,0,Villa,0,0,0,0,12,0,Private Villa with a beautiful a swimming pool,0,108.26024082,0,True,0,17,0,0,0.0,0,0,0,16.10139077,0,1,$264,0,0,0,0,1,0,0,Danang,$264,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,House,0,0,0,0,13,1,Brian Villa 4 Bedrooms- 5' walk to MyKhe beach.,0,108.23734182,0,False,0,36,0,0,0.0,0,1,0,16.07684918,0,1,$150,0,1,1,1,1,0,1,Danang,$150,0,1,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,Villa,0,0,0,0,2,1,VILLA SEA VIEW 1 BEDROOM,0,108.3480316400528,0,False,0,6,0,0,5.0,0,0,0,15.908951907582171,0,0,$72,1,0,0,1,1,0,0,Danang,$72,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,Apartment,0,0,0,0,5,1,Ocean villas 5* 2BRs apartment pool veiw,0,108.27824311,1,False,0,15,1,0,0.0,0,0,0,15.97948475,0,0,$150,0,1,0,1,1,0,0,Danang,$150,0,0,1,0,1,0,0
0,0,0,0,1,0,0,1,1,0,Apartment,0,0,0,0,4,1,MID CENTURY APARTMENT - 750,0,108.24633108,1,True,0,32,1,0,5.0,0,1,0,16.05078698,0,0,$100,1,1,1,1,1,0,1,Danang,$100,0,1,1,0,0,0,0
