High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,10,0,TOUT PETIT VILLA & COFFEE,0,106.67260720000002,0,True,0,39,0,0,0,0,0,0,20.8558404,0,0,$169,0,0,0,0,1,0,0,Haiphong,$169,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,3,0,Deluxe Apartment #1 in Central Hai Phong,0,106.6820728,0,True,0,10,0,0,0,0,1,0,20.8610567,0,0,$30,0,0,0,1,1,0,0,Haiphong,$30,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,12,0,such as Safe and quiet place !,0,106.72071366,0,True,0,30,0,0,0,0,1,0,20.82987921,0,1,$44,0,0,0,1,1,0,1,Haiphong,$44,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,1,0,Pho Xanh Marina Apartment 1 - 1 Bedroom,0,106.71137210000006,0,True,0,7,0,0,0,0,0,0,20.847412,0,0,$28,0,0,0,0,1,0,0,Haiphong,$28,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,2,0,"Looking for Clean, Convenient and Luxury Lifestyle Place you crave for? ",0,106.6659746,1,True,0,6,1,0,0,0,0,0,20.865888,0,0,$43,0,0,0,0,1,0,0,Haiphong,$43,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Guest house,0,0,0,0,4,0,A new modern house garden in downtown,0,106.67915183,0,False,0,21,0,0,0,0,0,0,20.85616941,0,1,$25,0,0,0,1,1,0,0,Haiphong,$25,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,Farmhouse,0,0,0,0,6,1,Lotus House with a beautiful rice field view,0,106.67588923,0,True,0,11,0,0,0,0,0,0,20.73813638,0,0,$50,0,0,0,0,1,0,0,Haiphong,$50,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,1,0,Pho Xanh apartment 3,0,106.71125695,0,True,0,10,0,0,0,0,0,0,20.8462824,0,0,$26,0,0,0,0,1,0,0,Haiphong,$26,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Studio,0,0,0,0,2,0,"Heart of walking street, wonderful river view, awesome place to stay!",0,106.6730675,0,True,0,18,0,0,0,0,1,0,20.8571086,0,1,$15,0,0,0,1,1,0,1,Haiphong,$15,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,Bungalow,0,1,0,0,35,1,Beautiful Family Bungalow with swimming pool  5 mins to the beach.,0,106.99402222411196,0,True,0,15,0,0,0,0,1,0,20.75238973524985,0,0,$29,0,0,1,1,1,0,1,Haiphong,$29,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,House,0,0,0,0,2,0,PROPERTY LOCATED AT THE HEART OF HAI PHONG CITY 3,0,106.68633428,1,True,0,10,1,0,0,0,0,0,20.85885091,0,1,$60,0,1,1,1,1,0,0,Haiphong,$60,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Boat,0,0,0,0,1,0,"Luxurious Lan Ha bay, Halong bay day cruise",0,107.00079482,0,True,0,8,0,0,0,0,0,0,20.80071474,0,1,$90,0,0,0,0,1,0,0,Haiphong,$90,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,1,0,Apartment Pho Xanh Marina 2,0,106.71137210000006,0,True,0,6,0,0,0,0,0,0,20.847412,0,0,$29,0,0,0,0,1,0,0,Haiphong,$29,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,1,0,Sunny French styled villa- Vinhomes Imperia Haiphong,0,106.67170356,0,True,0,18,0,0,0,0,0,0,20.86075965,0,0,$35,0,0,0,1,1,0,0,Haiphong,$35,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,15,0,Perfect for small group,0,107.0564749,0,True,0,35,0,0,0,0,0,0,20.730922,0,0,$250,0,0,0,0,1,0,0,Haiphong,$250,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,1,0,0,5,1,Cosy aparment in the center of the city and view the whole city from the bedroom,0,106.68333457,0,False,0,14,0,0,0,0,0,0,20.85163129,0,1,$39,0,0,1,1,1,0,0,Haiphong,$39,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel suite,0,0,0,0,4,0,PROPERTY LOCATED AT THE HEART OF HAI PHONG CITY #1,0,106.68885018,0,True,0,10,0,0,0,0,0,0,20.85761271,0,0,$60,0,0,0,0,1,0,0,Haiphong,$60,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,18,0,Ideal for small group to visit the landscape or practice meditation and yoga.,0,107.03890618329774,0,True,0,17,0,0,0,0,0,0,20.807056858805247,0,0,$250,0,0,0,0,1,0,0,Haiphong,$250,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,House,0,0,0,0,2,1,PROPERTY LOCATED AT THE HEART OF HAI PHONG CITY 5,0,106.68488905,0,True,0,8,0,0,0,0,0,0,20.86315823,0,1,$60,0,0,1,1,1,0,0,Haiphong,$60,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Bed & breakfast,0,0,0,0,1,0,"Floating house, free kayak, drybag and great fishing experience",0,107.06115972,0,True,0,6,0,0,0,0,0,0,20.76927563,0,0,$89,0,0,0,0,1,0,0,Haiphong,$89,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,40,1,Pina Boutique Hotel Cat Ba,0,107.05145352,0,True,0,6,0,0,0,0,1,0,20.72627711,0,1,$9,0,0,0,0,1,0,1,Haiphong,$9,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,15,0,"Nice private room, great location, best service",0,107.05073322,0,False,0,11,0,0,0,0,0,0,20.72915223,0,0,$5,0,0,0,0,1,0,0,Haiphong,$5,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,2,0,PROPERTY LOCATED AT THE HEART OF HAI PHONG CITY unit 6,0,106.68433494,0,True,0,10,0,0,0,0,0,0,20.86172909,0,0,$60,0,0,0,0,1,0,0,Haiphong,$60,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,2,1,PROPERTY LOCATED AT THE HEART OF HAI PHONG CITY  7,0,106.6841613,0,True,0,9,0,0,0,0,1,0,20.85877966,0,1,$60,0,0,1,1,1,0,1,Haiphong,$60,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,Condo,0,0,0,0,2,1,Condo for rent in downtown Hai Phong city,0,106.70144747,0,True,0,6,0,0,0,0,0,0,20.83761632,0,0,$50,0,0,0,1,1,0,0,Haiphong,$50,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,1,0,Pho Xanh Apartment 1,0,106.70971556,0,False,0,8,0,0,0,0,0,0,20.85017747,0,0,$32,0,0,0,0,1,0,0,Haiphong,$32,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,1,0,Pho Xanh Marina Apartment 1 - 2 Bedroom,0,106.71137210000006,0,True,0,7,0,0,0,0,0,0,20.847412,0,0,$33,0,0,0,0,1,0,0,Haiphong,$33,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,Apartment,0,0,0,0,1,1,Pho Xanh apartment 2,0,106.71626931,0,True,0,9,0,0,0,0,0,0,20.84565736,0,0,$29,0,0,0,0,1,0,0,Haiphong,$29,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,1,0,Apartment Pho Xanh Marina 3,0,106.71137210000006,0,True,0,9,0,0,0,0,0,0,20.847412,0,0,$24,0,0,0,0,1,0,0,Haiphong,$24,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,1,0,Pho Xanh superior room,0,106.71344535,0,True,0,8,0,0,0,0,1,0,20.84969441,0,1,$22,0,1,1,1,1,0,1,Haiphong,$22,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,2,0,Superior Double Bed Room,0,106.66584333,0,True,0,7,0,0,0,0,1,0,20.86167171,0,1,$43,0,0,1,1,1,0,1,Haiphong,$43,0,1,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,1,1,Pho Xanh Luxury Apartment,0,106.71294260000002,0,True,0,9,0,0,0,0,0,0,20.8479861,0,1,$33,0,0,0,1,1,0,0,Haiphong,$33,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,2,0,PROPERTY LOCATED AT THE HEART OF HAI PHONG CITY UNIT 9,0,106.68364502,0,True,0,10,0,0,0,0,1,0,20.8578265,0,1,$60,0,1,1,1,1,0,1,Haiphong,$60,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,1,0,0,2,1,PROPERTY LOCATED AT THE HEART OF HAI PHONG CITY 4,0,106.68807859,0,True,0,10,0,0,0,0,1,0,20.86278932,0,0,$60,0,0,1,0,1,0,1,Haiphong,$60,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,2,0,PROPERTY LOCATED AT THE HEART OF HAI PHONG CITY UNIT 8,0,106.68289345,0,True,0,10,0,0,0,0,0,0,20.8634557,0,0,$60,0,1,1,0,1,0,0,Haiphong,$60,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,3,0,Superior Apartment #1 in Central Hai Phong,0,106.6820728,0,True,0,12,0,0,0,0,0,0,20.8610567,0,0,$41,0,0,0,0,1,0,0,Haiphong,$41,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,2,0,Deluxe Double Bed Room in Great Location ! Vinhome Imperia Hai Phong,0,106.66758926,0,True,0,5,0,0,0,0,1,0,20.86717095,0,1,$32,0,1,0,1,1,0,1,Haiphong,$32,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,2,0,PROPERTY LOCATED AT THE HEART OF HAI PHONG CITY UNIT 2,0,106.68568677,0,True,0,9,0,0,0,0,0,0,20.86243369,0,0,$60,0,0,0,0,1,0,0,Haiphong,$60,0,0,1,0,0,0,0
