High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,0,0,0,0,0,0,Hotel,0,1,0,0,3,0,"The Autumn Homestay-LAKE VIEW room, with balcony, next to the WEST LAKE",0,105.8397963,0,True,0,17,0,0,5.0,0,1,0,21.0489966,0,1,$22,5,0,1,1,1,0,1,Hanoi,$22,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,Apartment,0,0,0,0,3,0,The Sunny - Old Quarter/Large balcony/skyview,0,105.84515852,0,True,0,5,0,0,0.0,0,0,0,21.02962406,0,0,$25,0,0,0,0,1,0,0,Hanoi,$25,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,Apartment,0,0,0,0,2,1,DIS 20%@Sweet Studio with 1 bedroom and near West Lake - Bamboo House #R302,0,105.8241512,0,True,0,13,0,0,0.0,0,1,0,21.06354707,0,1,$35,0,0,0,1,1,0,1,Hanoi,$35,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,House,0,0,0,0,5,0,Lagom - 2 bedroom apartment in central Hanoi,0,105.85246702,0,True,0,23,0,0,4.0,0,0,0,21.02402335,0,0,$35,1,0,0,1,1,0,0,Hanoi,$35,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,House,0,0,0,0,6,0,Big Room Big Terrace-Em Am Homestay Ha Noi,0,105.82240000000002,0,True,0,28,0,0,0.0,0,0,0,21.075511,0,1,$46,0,0,0,1,1,0,0,Hanoi,$46,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,Apartment,0,0,0,0,4,0,"Vinhomes Metropolis 2 Brs Apartment - near Lotte Building, fullhouse",0,105.81459419,0,False,0,9,0,0,0.0,0,0,0,21.02774599,0,0,$78,0,0,0,0,1,0,0,Hanoi,$78,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,Hotel,0,0,0,0,2,1,Deluxe Double  room in the heart of the old quarter ,0,105.84277889,0,True,0,19,0,0,0.0,0,1,0,21.02768514,0,0,$45,0,0,1,1,1,0,1,Hanoi,$45,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,Apartment,0,0,0,0,2,0,Ney's Luxury 1BR Apt @Vinhomes Metropolis,0,105.81727318,0,True,0,6,0,0,0.0,0,1,0,21.03019669,0,1,$65,0,1,1,1,1,0,1,Hanoi,$65,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,House,0,0,0,0,1,0,Green Hills Apartment,0,105.79638271,0,True,0,7,0,0,0.0,0,0,0,21.04591973,0,0,$65,0,0,0,0,1,0,0,Hanoi,$65,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,Apartment,0,0,0,0,4,0,[20% OFF]★Steps to OLD Quarter★ 2BRs/ENTIRE@Trang Thi ,0,105.84532533405276,0,True,0,19,0,0,0.0,0,0,0,21.027618582029508,0,0,$27,0,0,0,0,1,0,0,Hanoi,$27,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,Apartment,0,0,0,0,4,0,COZY 2BR APARTMENT WITH THE AMAZING LAKE VIEW,0,105.82103468,0,True,0,21,0,0,4.5,0,1,0,21.07492888,0,1,$41,6,0,1,1,1,0,1,Hanoi,$41,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,Apartment,0,0,0,0,4,0,Picaly | Indochine apartment at Oldtown - 5 mins to Hoan Kiem lake,0,105.84838824,0,True,0,24,0,0,0.0,0,1,0,21.03035591,0,1,$27,0,0,1,1,1,0,1,Hanoi,$27,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,Hostel,0,1,0,0,1,1,"The Autumn Homestay-Green Room- cozy, central in Ha noi, 50m to the West lake",0,105.8397963,0,True,0,20,0,0,5.0,0,1,0,21.0489966,0,1,$22,1,0,1,1,1,0,1,Hanoi,$22,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,House,0,0,0,0,2,1,Bi Eco Suites Hanoi,0,105.8378127,0,True,0,8,0,0,0.0,0,1,0,21.03138198,0,1,$32,0,0,0,1,1,0,1,Hanoi,$32,0,1,1,0,0,0,0
