High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,6,0,The nest of Pooh and Piglet,0,105.93383930000005,0,True,0,18,0,0,0,0,0,0,20.9487341,0,0,$26,0,0,0,0,1,0,0,Haiphong,$26,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,10,1,Sue Villa _ Parkriver,0,105.93631766,0,False,0,6,0,0,0,0,1,0,20.94646597,0,0,$290,0,0,1,1,1,0,1,Haiphong,$290,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,1,SweetHome your ideal space!,0,105.93971936,0,True,0,27,0,0,0,0,1,0,20.95260812,0,1,$33,0,0,0,1,1,0,1,Haiphong,$33,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,7,1,Comfortable,0,105.92508899,0,True,0,14,0,0,0,0,0,0,20.94011023,0,0,$69,0,0,0,1,1,0,0,Haiphong,$69,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,8,0,Ecopark 3-Bedroom Luxury Apt with Panoramic view ,0,105.92041079,0,True,0,38,0,0,0,0,0,0,20.96484505,0,0,$73,0,0,0,1,1,0,0,Haiphong,$73,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,4,1,Cozy Ecopark Aquabay Apartment with Win & Sunshine ⛅️ ,0,105.92587047,0,True,0,7,0,0,0,0,1,0,20.97066638,0,1,$20,0,1,1,1,1,0,1,Haiphong,$20,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,1,"H2 Homestay 45m2, 1 bedroom Ecopark Van Giang Hung Yen",0,105.93127732,0,True,0,6,0,0,0,0,0,0,20.95072445,0,1,$25,0,0,0,1,1,0,0,Haiphong,$25,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,0,Ecopark - H2 homestay,0,105.93415081509704,1,True,0,10,1,0,0,0,0,0,20.94825951008177,0,0,$30,0,0,0,0,1,0,0,Haiphong,$30,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,1,2BR Bright Apartment in Green Community,0,105.92606779,0,True,0,11,0,0,0,0,1,0,20.97641995,0,1,$32,0,0,0,1,1,0,1,Haiphong,$32,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,1,0,0,6,1,ECOPARK HOMESTAY 2BR (COZY HOUSE),0,105.929119,0,True,0,7,0,0,0,0,0,0,20.96093443,0,1,$33,0,0,1,1,1,0,0,Haiphong,$33,0,1,1,0,0,0,0
