High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,Studio,0,0,0,0,2,0,"Starcity Beachfront 5* Studio w/ Kitchen, Private Beach, Pool, Gym",0,109.1972503968201,0,True,0,20,0,0,0,0,0,0,12.233906536991991,0,0,$32,0,0,0,0,1,0,0,Haiphong,$32,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,2,1,Moon house - Valentine,0,109.20112948,1,True,0,11,1,0,0,0,1,0,12.22084812,0,1,$20,0,0,1,1,1,0,1,Haiphong,$20,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,1,Gold Ocean Nha Trang Serviced Apartments,0,109.1964171490738,0,True,0,15,0,0,0,0,0,0,12.236585500000013,0,0,$33,0,0,0,1,1,0,0,Haiphong,$33,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,4,1,Moon house tropical garden 5 minutes to the beach in Nha Trang ,0,109.20454717,1,True,0,22,1,0,0,0,1,0,12.21814016,0,1,$31,0,1,1,1,1,0,1,Haiphong,$31,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,2,0,Star Fruit Homestay - November room,0,109.18343139,0,True,0,6,0,0,0,0,0,0,12.24117601,0,0,$12,0,0,0,0,1,0,0,Haiphong,$12,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,7,0,"Talisker Homestay - at the heart of Nha Trang city, 10 min walk to the beach",0,109.19563605,0,True,0,20,0,0,0,0,0,0,12.23242976,0,0,$43,0,0,0,1,1,0,0,Haiphong,$43,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,0,Apartment 5⭐ with 2 Beds Beach Front Nha Trang Sea.,0,109.20538799999996,0,True,0,30,0,0,0,0,0,0,12.2701371,0,0,$32,0,0,0,0,1,0,0,Haiphong,$32,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,6,1,MIMANCHIHOUSE APARTMENT SEA VIEW,0,109.20206009999993,1,True,0,10,1,0,0,0,1,0,12.2745201,0,1,$31,0,1,1,1,1,0,1,Haiphong,$31,0,1,1,0,0,0,0
0,0,0,1,1,0,0,0,1,0,Apartment,0,0,0,0,6,0,2 Beautiful Beach View Bedrooms Aptmnt Comfortzone,0,109.16265511,1,True,0,45,1,0,0,0,1,0,11.92132112,0,1,$39,0,1,1,1,1,0,1,Haiphong,$39,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,House,0,0,0,0,2,1,Moon house tropical garden - Lavender,0,109.20687779,1,True,0,15,1,0,0,0,1,0,12.2197707,0,1,$24,0,1,1,1,1,0,1,Haiphong,$24,0,1,1,0,1,0,1
