High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,Bungalow,0,0,0,0,2,0,"Romantic Treehouse Queen Bed, Balcony",0,108.43046033,0,True,0,11,0,0,0,0,1,0,11.92907486,0,1,$35,0,0,1,1,1,0,0,Lamdong,$35,0,1,1,0,0,0,1
0,0,0,0,1,0,0,0,1,0,Apartment,0,0,0,0,5,1,Apartment 2Bedrooms in Do Gia Bao Villas,0,108.46896807,0,True,0,21,0,0,0,0,1,0,11.95580723,0,1,$53,0,0,1,1,1,0,1,Lamdong,$53,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,14,0,Villa DoiGioHu ( 6 rooms ) - View Hill in Center of Da Lat ,0,108.42604198280333,0,True,0,26,0,0,0,0,0,0,11.929848684666194,0,0,$129,0,0,0,0,1,0,0,Lamdong,$129,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,18,0,Villa Cao Gia Chi Bao (Hillside Luxury Villa Valley View),0,108.44238546,0,True,0,34,0,0,5,0,0,0,11.97045537,0,0,$178,1,0,0,0,1,0,0,Lamdong,$178,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,1,0,0,6,0,Jolie House - Villa 2 Double Rooms - Great Getaway,0,108.443644,0,True,0,48,0,0,0,0,1,0,11.9615783,0,1,$57,0,0,1,1,1,0,1,Lamdong,$57,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,15,0,Quiet in city,0,108.438573,0,True,0,25,0,0,0,0,0,0,11.9581326,0,0,$15,0,0,0,0,1,0,0,Lamdong,$15,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,16,0,Jolie House Villa- Open View- Few Mins To Downtown,0,108.44368691534424,0,True,0,47,0,0,5,0,0,0,11.96154681236196,0,1,$77,1,0,1,1,1,0,0,Lamdong,$77,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,1,0,0,16,0,Jolie House Villa II - Open View- Few Mins To Downtown,0,108.44266971031188,0,True,0,40,0,0,0,0,1,0,11.959732246190088,0,1,$77,0,0,1,1,1,0,1,Lamdong,$77,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,40,0,Nơi Nghĩ Dưỡng Yên Tĩnh,0,108.43961323,0,True,0,34,0,0,0,0,0,0,11.9690136,0,0,$250,0,0,0,1,1,0,0,Lamdong,$250,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Lodge,0,0,0,0,3,0,PUZZLE APARTMENT DA LAT WITH NICE VIEW,0,108.46350239999992,0,True,0,21,0,0,0,0,0,0,11.9517699,0,1,$12,0,0,1,1,1,0,0,Lamdong,$12,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,1,0,0,20,1,"Located In Nice Places Of Dalat City With Range Of Mountains,evergreen Forest",0,108.45870073,0,True,0,13,0,0,0,0,0,0,11.93952515,0,1,$5,0,0,1,1,1,0,0,Lamdong,$5,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,6,0,Ba An's home - heart of DaLat,0,108.43821120740972,0,True,0,18,0,0,0,0,0,0,11.944073569034789,0,1,$61,0,0,0,1,1,0,0,Lamdong,$61,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,14,0,Blue Light Villa - Hotel Lifestyle,0,108.44724630978703,0,False,0,31,0,0,0,0,0,0,11.965349034154093,0,1,$200,0,0,0,0,1,0,0,Lamdong,$200,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,1,0,0,2,1,"Komori - live greener, love deeper - Hoi An room",0,108.41777178,0,True,0,9,0,0,0,0,1,0,11.93307327,0,1,$22,0,0,0,1,1,0,1,Lamdong,$22,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,1,0,0,9,1,Tọa lạc tại vị trí đắc địa ở Đà Lạt Khu trung tâm cacsch chợ đêm 300m,0,108.43516842,0,True,0,7,0,0,0,0,1,0,11.93799753,0,1,$11,0,0,1,1,1,0,1,Lamdong,$11,0,1,1,0,0,0,0
