High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,10,0,Canary Homestay - Alive with your style of living in the heart of Hue City Cente,0,107.58991787483406,0,True,0,11,0,0,0,0,0,0,16.460060090657656,0,1,$58,0,1,0,0,1,0,0,Nhatrang,$58,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,2,0,"Canary Hotel - ""Cheapest"" rooms in the Hue City Center - ""Easy walking"" to visit",0,107.59715789999996,0,True,0,8,0,0,0,0,0,0,16.4714192,0,0,$15,0,0,0,0,1,0,0,Nhatrang,$15,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,1,0,trufudtrudeynset6aw46ttsetysetysey,0,107.59938536,0,True,0,6,0,0,0,0,0,0,16.46236446,0,1,"$7,000",0,1,1,1,1,0,0,Nhatrang,"$7,000",0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Studio,0,0,0,0,3,1,Meditation Studio - Hillside homestay Hue,0,107.57732286679538,0,True,0,10,0,0,0,0,0,0,16.445021085873936,0,1,$26,0,0,0,0,1,0,0,Nhatrang,$26,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,House,0,0,0,0,1,1,"Quiet, ancient ambient place",0,107.58240350000004,1,False,0,10,1,0,0,0,0,0,16.4744247,0,0,$27,0,0,0,1,1,0,0,Nhatrang,$27,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,3,0,Triple Room with Hill View(03 people),0,107.57358641,1,True,0,15,1,0,0,0,1,0,16.43953179,0,1,$13,0,0,1,1,1,0,1,Nhatrang,$13,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Bed & breakfast,0,0,0,0,2,0,An Homestay Hue - Train station walking,0,107.58805183,0,False,0,7,0,0,0,0,1,0,16.45511327,0,0,$70,0,0,1,0,1,0,0,Nhatrang,$70,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,7,1,DE LA LUNA -A gorgeous gem in the heart of Hue -3BRs-Exclusive Rooftop Garden+++,0,107.60205428,0,True,0,47,0,0,0,0,0,0,16.4702321,0,0,$64,0,0,0,1,1,0,0,Nhatrang,$64,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,Villa,0,0,0,0,5,1,HOME 2 - Second Floor with 2 bedrooms(05 people),0,107.57357049,1,True,0,18,1,0,0,0,1,0,16.44057773,0,0,$21,0,0,1,1,1,0,1,Nhatrang,$21,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,5,1,Promotion Hue Rustic Homestay - Apartment 4 person,0,107.61926192,0,True,0,6,0,0,0,0,0,0,16.46538087,0,1,$55,0,0,0,1,1,0,0,Nhatrang,$55,0,0,1,0,0,0,0
