High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,Chalet,0,0,0,0,7,0,Trang a precious host family,0,105.95175766,0,True,0,49,0,0,0,0,0,0,20.26536597,0,0,$16,0,0,0,0,1,0,0,Ninhbinh,$16,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,6,0,Ninh Binh Paradise Apartment,0,105.96438690000002,0,True,0,30,0,0,0,0,0,0,20.2733332,0,1,$45,0,0,1,1,1,0,0,Ninhbinh,$45,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Bed & breakfast,0,0,0,0,2,0,Homestay Ninh Binh 165,0,105.95208162195117,0,False,0,26,0,0,0,0,0,0,20.2480330095942,0,1,$15,0,0,0,0,1,0,0,Ninhbinh,$15,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Bed & breakfast,0,0,0,0,2,0,Ninh Binh Valle Montana Homestay - Superior(2 paxs),0,105.9351818252228,0,True,0,29,0,0,5,0,0,0,20.246873191451556,0,1,$15,1,0,1,1,1,0,0,Ninhbinh,$15,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Bungalow,0,0,0,0,2,0,"Bungalow with garden view 5 min to Tam Coc and many shop, restaurant...",0,105.93948682,0,True,0,16,0,0,5,0,0,0,20.21454916,0,0,$20,1,0,0,0,1,0,0,Ninhbinh,$20,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,35,0," Tam Coc relax homestay is always friendly, enthusiastic and attentive",0,105.93521834,0,True,0,24,0,0,0,0,0,0,20.21929147,0,1,$35,0,0,0,0,1,0,0,Ninhbinh,$35,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,11,0,"Tuyet's homestay is a small house, where is from Ninh Binh centre about 6km",0,105.93426751,0,False,0,13,0,0,0,0,0,0,20.23319469,0,1,$13,0,0,0,1,1,0,0,Ninhbinh,$13,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,3,0,Trang An Mountain House - Bungalow Deluxe with garden view - Ninh Binh,0,105.92198308,0,True,0,9,0,0,0,0,0,0,20.25285659,0,0,$55,0,0,0,0,1,0,0,Ninhbinh,$55,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Country house/chateau,0,0,0,0,2,1,"Zuli Zen Home, Moutain view- next to Tam coc town.",0,105.93950441191714,1,False,0,13,1,0,0,0,0,0,20.22020292506617,0,1,$20,0,0,0,1,1,0,0,Ninhbinh,$20,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,2,0,Garden Homestay Ninh Bình - Double Room with Mountain view,0,105.87787527,0,False,0,8,0,0,0,0,0,0,20.3543643,0,0,$16,0,0,0,1,1,0,0,Ninhbinh,$16,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,2,1,Van Long Homestay Double Room,0,105.89729310000008,1,True,0,11,1,0,0,0,1,0,20.3521382,0,0,$25,0,0,0,1,1,0,1,Ninhbinh,$25,0,1,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,Bungalow,0,0,0,0,10,1,"✩Little Tam Coc homestay w nature  style House build with indochine concepts,",0,105.93110109999998,0,True,0,6,0,0,0,0,0,0,20.2170922,0,1,$500,0,0,1,1,1,0,0,Ninhbinh,$500,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Farmhouse,0,1,0,0,9,0,Amira Homestay - Home from home,0,105.93241049,0,False,0,21,0,0,0,0,0,0,20.21696712,0,1,$28,0,0,1,1,1,0,0,Ninhbinh,$28,0,1,1,0,0,0,1
