High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,6,0,Village de Soleil - Sea view - Perfect stay,0,107.02541759,0,True,0,19,0,0,0,0,0,0,20.95337646,0,0,$65,0,0,0,1,1,0,0,Quangninh,$65,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,5,1,Halong Bay Front Hotel and Apartment and Dorms which accommodate 40 pax ,0,107.0567253,0,True,0,7,0,0,0,0,1,0,20.95885105,0,0,$27,0,0,1,1,1,0,1,Quangninh,$27,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Guest house,0,0,0,0,2,1,AROMA HALONG Private unit 1,0,107.18548471,1,True,0,7,1,0,0,0,1,0,20.90980122,0,1,$31,0,0,1,0,1,0,1,Quangninh,$31,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,0,Brand new luxury condo with gorgeous balcony view to Ha Long Bay,0,107.01151484,0,True,0,13,0,0,0,0,1,0,20.95360297,0,1,$32,0,0,1,1,1,0,0,Quangninh,$32,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House boat,0,0,0,0,2,0,Halong Bay 2 days packaged on Deluxe Cruise,0,107.06892588,0,True,0,18,0,0,0,0,0,0,20.95890555,0,0,$298,0,0,0,0,1,0,0,Quangninh,$298,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Guest house,0,0,0,0,66,0,Aroma Halong offers cool private unit 2,0,107.02992791,0,True,0,11,0,0,0,0,1,0,20.94919769,0,1,$31,0,0,1,1,1,0,0,Quangninh,$31,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,1,0,0,10,1,Three Bedroom Duplex Apartement,0,107.05871898,0,True,0,16,0,0,0,0,1,0,20.95871983,0,1,$105,0,0,1,1,1,0,1,Quangninh,$105,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,5,0,THe place is no longer available.,0,107.00627429,0,True,0,33,0,0,0,0,1,0,20.96115783,0,1,"$10,000",0,0,1,1,1,0,0,Quangninh,"$10,000",0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,Apartment,0,0,0,0,2,0,Modern studio w/ overlooking beach & free Netflix -,0,107.01447022,0,True,0,11,0,0,0,0,0,0,20.95416902,0,1,$44,0,0,1,1,1,0,0,Quangninh,$44,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,0,Apartment,0,1,0,0,4,1,Friendly like your home,0,107.00725994,0,True,0,14,0,0,2,0,1,0,20.96015149,0,1,$20,1,0,1,1,1,0,1,Quangninh,$20,0,1,1,0,0,0,0
