High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,1,★선라이즈 Sunrise City Luxury New 2bed&2bath SW POOL#1,0,106.69987935,0,True,0,38,0,0,0.0,0,1,0,10.74459952,0,1,$62,0,0,0,1,1,0,1,Saigon,$62,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,1,0,0,2,1,"Private Room w/ Balcony, 5 to Ben Thanh Market",0,106.71546621750484,1,True,0,16,1,0,0.0,0,1,0,10.790086428803797,0,1,$21,0,1,1,1,1,0,1,Saigon,$21,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,2,1,BRIGHT&SPACIOUS❤Balcony❤Street Food❤Central Dist.1❤5m walk to Backpacker Area,0,106.68601890000002,0,True,0,26,0,0,0.0,0,1,0,10.7636154,0,1,$38,0,1,0,1,1,0,1,Saigon,$38,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,Apartment,0,0,0,0,4,0,2 Brs Apartment with high standard in luxury complex,0,106.70401961,1,True,0,29,1,0,0.0,0,1,0,10.78424172,0,0,$85,0,0,0,1,1,0,1,Saigon,$85,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Studio,0,0,0,0,2,0,Suite Studio In the Heart Of City with Fully Equipped 04,0,106.68880873,0,True,0,11,0,0,0.0,0,0,0,10.76745196,0,1,$31,0,0,0,0,1,0,0,Saigon,$31,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,Apartment,0,0,0,0,2,1,Bliss Home Japan style 15 mins to CBD,0,106.65305026,1,True,0,24,1,0,0.0,0,1,0,10.79276375,0,1,$32,0,1,1,0,1,0,1,Saigon,$32,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,2,0,CENTRAL STUDIO for EASY STAY!,0,106.69889620000004,1,True,0,16,1,0,0.0,0,0,0,10.76277,0,1,$36,0,0,1,1,1,0,0,Saigon,$36,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,5,1,New and Cosy 2br Apartment in District 7,0,106.72668650000004,1,True,0,13,1,0,5.0,0,1,0,10.7378392,0,1,$30,2,1,1,1,1,0,1,Saigon,$30,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,Apartment,0,0,0,0,4,1,ANGIA RIVERSIDE APARTMENT ,0,106.74202348,0,True,0,20,0,0,0.0,0,1,0,10.71357711,0,1,$79,0,0,1,1,1,0,1,Saigon,$79,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,4,1,"Lacaito-The May, Ecofriendly Homestay Centre Hanoi",0,106.70438397,0,True,0,11,0,0,0.0,0,0,0,10.81024544,0,0,$87,0,0,0,1,1,0,0,Saigon,$87,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,0,★선라이즈 Sunrise City Luxury New 2bedRoom SW POOL#4,0,106.70405476,0,True,0,36,0,0,0.0,0,0,0,10.7388175,0,0,$52,0,0,0,0,1,0,0,Saigon,$52,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,0,Unforgettable Saigon Experience: Stay in the Heart of the City's Vibrant Energy,0,106.70533668,0,True,0,32,0,0,5.0,0,0,0,10.77679303,0,0,$99,1,0,0,0,1,0,0,Saigon,$99,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,Apartment,0,0,0,0,12,1,"Mix 2 Luxury High-view Flats Near Saigon's Center with Free Pool, Gym, Internet",0,106.69864889999997,1,True,0,42,1,0,4.5,0,1,0,10.7627857,0,1,$170,2,1,0,1,1,0,1,Saigon,$170,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,Apartment,0,0,0,0,2,1,Premium suite panaromic view Ben Thanh Market,0,106.6939254,1,True,0,21,1,0,5.0,0,1,0,10.76957134,0,1,$128,1,1,1,1,1,0,1,Saigon,$128,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,Apartment,0,0,0,0,6,1,New!!!★★★★ The Tresor Apartment TS-816,0,106.6982249,1,True,0,36,1,0,5.0,0,0,0,10.761392,0,0,$65,6,0,0,1,1,0,0,Saigon,$65,0,0,1,0,1,0,0
