High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,1,1,0,0,0,0,0,Villa,0,0,0,0,10,1,Flamingo Resort Happy Villa hq9-Starlight home with pool,0,105.7173767,0,True,0,39,0,0,0,0,0,0,21.3393034,0,1,$100,0,0,0,1,1,0,0,Haiphong,$100,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,20,1,THE DECK - Dai Lai - Best place to relax,0,105.75266605,1,False,0,8,1,0,0,0,1,0,21.34459184,0,1,$218,0,0,0,1,1,0,1,Haiphong,$218,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,8,1,Flamingo Dai Lai Bach Yen T111 Villa,0,105.713928,0,False,0,18,0,0,0,0,1,0,21.337379,0,1,$90,0,0,1,1,1,0,1,Haiphong,$90,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,12,0,Sun Hillary Flamingo Đại Lải,0,105.74144599,1,True,0,11,1,0,0,0,0,0,21.32889021,0,1,$200,0,0,1,1,1,0,0,Haiphong,$200,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,15,0,Venus Resort Flamingo,0,105.68604579,0,True,0,38,0,0,0,0,0,0,21.36601581,0,0,$510,0,0,0,1,1,0,0,Haiphong,$510,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,30,0,Royal Villa D14 Tam Dao Golf & Resort,0,105.63244938,0,True,0,45,0,0,0,0,0,0,21.40433271,0,0,"$1,100",0,0,0,0,1,0,0,Haiphong,"$1,100",0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,26,0,Beautiful golf villa in Tam Dao golf course ,0,105.6441852,0,True,0,14,0,0,0,0,1,0,21.4532302,0,1,"$1,000",0,0,1,1,1,0,1,Haiphong,"$1,000",0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,14,0,Flamingo Skylake Villa,0,105.70792283,0,True,0,15,0,0,0,0,0,0,21.33254629,0,1,$300,0,0,0,1,1,0,0,Haiphong,$300,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,2,0,Deluxe Hilltop Villa in Flamingo Dai Lai Resort,0,105.68636477,0,False,0,19,0,0,0,0,1,0,21.25692663,0,1,$150,0,0,1,1,1,0,1,Haiphong,$150,0,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,15,0,E52 Homestay Tam Đảo,0,105.63112319,0,False,0,7,0,0,0,0,0,0,21.41130464,0,0,$363,0,0,0,1,1,0,0,Haiphong,$363,0,0,1,0,0,0,0
