High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,8,1,"★ APT 108m2, 5mins walk to the beach ★",0,107.08356225,0,True,0,11,0,0,0.0,0,1,0,10.33273414,0,0,$60,0,0,0,1,1,0,1,Vungtau,$60,0,1,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,House,0,0,0,0,9,1,High Quality with Reasonable Price,0,106.61241805,0,True,0,33,0,0,0.0,0,1,0,8.69716495,0,1,$35,0,0,1,1,1,0,1,Vungtau,$35,0,1,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,Condo,0,0,0,0,3,1,"Tranquil furnished condo, lake & seaview from bed",0,107.08922393942566,0,True,0,17,0,0,5.0,0,0,0,10.341280323625782,0,0,$20,1,1,0,1,1,0,0,Vungtau,$20,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,Apartment,0,0,0,0,5,0,KHouse with beautiful sea view,0,107.11395884,0,False,0,7,0,0,0.0,0,0,0,10.37654488,0,0,$59,0,0,0,1,1,0,0,Vungtau,$59,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,1,The moon apartment ( Vung Tau ),0,107.0882047,0,True,0,13,0,0,0.0,0,0,0,10.3397288,0,0,$32,0,0,0,1,1,0,0,Vungtau,$32,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,12,1,3 bedroom beach resort apartment,0,107.08480951,1,True,0,9,1,0,0.0,0,1,0,10.33646581,0,1,$80,0,1,1,1,1,0,1,Vungtau,$80,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Condo,0,0,0,0,14,1,The Most Exclusive & Comfortable Beach Front Condo in Vung Tau,0,107.09622651407778,0,True,0,8,0,0,4.0,0,0,0,10.345787814972256,0,0,$218,1,0,0,1,1,0,0,Vungtau,$218,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,10,1,Blue Sapphire Resort Vung Tau,0,107.12794003093268,0,True,0,42,0,0,5.0,0,1,0,10.374180529896266,0,0,$86,1,0,1,0,1,0,1,Vungtau,$86,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Villa,0,0,0,0,8,1,4 Bedrooms Greenhouse Villa,0,107.08002529,1,True,0,10,1,0,0.0,0,0,0,10.333427,0,0,$147,0,1,0,1,1,0,0,Vungtau,$147,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,Apartment,0,0,0,0,6,0,HOMEAWAY - MELODY VUNG TAU,0,107.08583249999992,0,True,0,20,0,0,5.0,0,0,0,10.3343764,0,0,$46,1,0,0,1,1,0,0,Vungtau,$46,0,1,1,0,0,0,0
