High_chair,Workspace,Lock_on_door,Pool,Beach,pdpUrlType,Snowflake,View_ocean,No_detector_co2,Jacuzzi,roomTypeCategory,weeklyPriceFactor,Tv,Surveillance,Bath,maxGuestCapacity,Wash,name,Sauna,Longitude,Smoking_allowed,canInstantBook,listingObjType,contextualPicturesCount,No_detector_smoke,Luggage_drop,avgRatingLocalized,Pets,Cooking_basics,Ev_charger,Latitude,No_lock_on_door,Hair_dryer,price,reviewCount,Elevator,Refrigetor,Wifi,isSuperHost,Toys,Microwave,city,structuredStayDisplayPrice,Patio_Balcony,Dryer,View_city,isVerified,Fire_place,Flower,Car_rental
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,6,0,Welcome to Bon Home!,0,109.23197353,0,True,0,31,0,0,0,0,0,0,13.77854401,0,0,$39,0,0,0,0,1,0,0,Haiphong,$39,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,10,1,Chang Lia Homestay Qui Nhon,0,109.20792237,0,True,0,20,0,0,0,0,0,0,13.74857327,0,0,$58,0,0,0,0,1,0,0,Haiphong,$58,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,60,0,Quy Nhon Hotel - The beautiful beach hotel,0,109.2381361,0,True,0,7,0,0,0,0,0,0,13.77379112,0,0,$40,0,0,0,0,1,0,0,Haiphong,$40,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,6,1,Dorm Room for 5_Yen Vy 32 Hotel,0,109.21352695,1,True,0,8,1,0,0,0,0,0,13.7499209,0,1,$5,0,1,1,1,1,0,0,Haiphong,$5,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Apartment,0,0,0,0,4,1,Newday Travel Condotel- Căn Hộ FLC Sea Tower Quy Nhơn,0,109.21582213,0,True,0,10,0,0,0,0,0,0,13.75409382,0,0,$35,0,0,0,1,1,0,0,Haiphong,$35,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,Apartment,0,0,0,0,8,0,2 bedroom Suit In Altara Quy Nhơn,0,109.2404856,1,True,0,24,1,0,0,0,1,0,13.7734362,0,1,$94,0,0,1,1,1,0,1,Haiphong,$94,0,1,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,Condo,0,0,0,0,4,0,FLC Sea Tower Quy Nhon Enochnguyen Apartment,0,109.2126441,0,True,0,43,0,0,0,0,0,0,13.7562112,0,1,$60,0,0,1,1,1,0,0,Haiphong,$60,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,1,0,Green Villa House (Golden sky villa),0,109.21701200000008,0,False,0,10,0,0,0,0,0,0,13.7550692,0,0,$84,0,0,0,1,1,0,0,Haiphong,$84,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,2,0,"Room for rent, long term_Yen Vy 32 Hotel",0,109.21342364,0,False,0,10,0,0,0,0,0,0,13.75148205,0,0,$10,0,0,0,0,1,0,0,Haiphong,$10,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,Hotel,0,0,0,0,3,0,Biển Hostel,0,109.2266518,1,True,0,27,1,0,0,0,1,0,13.76642375,0,1,$21,0,1,1,1,1,0,0,Haiphong,$21,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,House,0,0,0,0,20,0,"Thành Đạt 2 Hostel, full house, 2minutes walk to the beach",0,109.24322196,0,True,0,26,0,0,0,0,0,0,13.77436973,0,1,$63,0,0,0,1,1,0,0,Haiphong,$63,0,0,1,0,0,0,0
